cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.535	0.495	0.551	0.48	0.411	0.466	0.471	0.423	0.498	0.471	-0.934166	4.74517	-0.796	4.57386	1.05734	0.0219244
20	0.428	0.475	0.536	0.409	0.364	0.496	0.505	0.443	0.53	0.602	-1.00457	4.90604	-0.848	4.74277	1.05676	0.0228063
30	0.49	0.352	0.574	0.433	0.336	0.519	0.548	0.448	0.513	0.568	-1.02249	4.45553	-0.876	4.35966	1.05854	0.0202918
40	0.551	0.29	0.566	0.412	0.294	0.541	0.574	0.427	0.53	0.595	-0.933946	4.64522	-0.88	4.46693	1.05778	0.0210062
50	0.498	0.238	0.464	0.454	0.274	0.524	0.497	0.394	0.566	0.652	-2.04027	4.45224	-1.756	4.32873	1.05705	0.0219104
60	0.465	0.322	0.435	0.472	0.257	0.508	0.469	0.386	0.532	0.743	-1.8079	4.22297	-1.644	4.09815	1.05919	0.0206847
70	0.402	0.334	0.437	0.418	0.247	0.527	0.536	0.483	0.562	0.69	-1.4812	4.42087	-1.456	4.2723	1.05852	0.0210573
80	0.393	0.387	0.452	0.423	0.311	0.535	0.554	0.527	0.532	0.716	-0.76668	4.47641	-0.68	4.2996	1.05924	0.020489
90	0.401	0.4	0.582	0.403	0.354	0.516	0.605	0.518	0.479	0.712	-0.110736	4.45794	-0.12	4.23574	1.05949	0.0202505
100	0.37	0.425	0.649	0.363	0.391	0.51	0.57	0.507	0.426	0.722	-0.326202	4.25577	-0.268	4.05575	1.0607	0.0189379
110	0.32	0.461	0.653	0.384	0.4	0.456	0.544	0.587	0.501	0.782	0.363984	3.97919	0.352	3.91545	1.06227	0.0182885
120	0.294	0.434	0.644	0.355	0.477	0.433	0.565	0.556	0.411	0.819	-0.0494839	4.56296	-0.048	4.44581	1.05894	0.0208314
130	0.276	0.445	0.656	0.418	0.461	0.465	0.592	0.616	0.375	0.796	0.466668	4.34368	0.4	4.16494	1.05985	0.0197171
140	0.328	0.486	0.647	0.365	0.421	0.508	0.567	0.613	0.388	0.798	0.668996	4.12207	0.484	3.99771	1.06069	0.0186854
150	0.321	0.523	0.653	0.311	0.388	0.44	0.613	0.628	0.387	0.848	0.55664	4.37641	0.448	4.14653	1.05928	0.019736
160	0.357	0.489	0.641	0.284	0.418	0.35	0.642	0.601	0.343	0.842	-0.0985733	4.36714	-0.132	4.2665	1.06083	0.0202672
170	0.327	0.573	0.602	0.291	0.455	0.355	0.664	0.593	0.418	0.87	0.669287	4.20816	0.592	4.13421	1.06132	0.0195191
180	0.39	0.567	0.623	0.238	0.472	0.421	0.697	0.567	0.355	0.871	0.973578	4.26771	0.804	4.09917	1.06003	0.0197376
190	0.375	0.656	0.664	0.192	0.422	0.441	0.686	0.457	0.333	0.887	0.419266	4.73652	0.452	4.50292	1.05793	0.0216727
200	0.293	0.606	0.693	0.175	0.378	0.487	0.708	0.361	0.264	0.841	-0.806573	3.96954	-0.776	3.86415	1.06184	0.0185079
210	0.201	0.651	0.691	0.212	0.432	0.559	0.667	0.387	0.308	0.839	-0.213486	3.99529	-0.212	3.84195	1.06216	0.0182618
220	0.196	0.497	0.693	0.21	0.444	0.563	0.692	0.332	0.347	0.857	-0.711533	4.3245	-0.676	4.15904	1.06008	0.0196689
230	0.184	0.456	0.661	0.277	0.45	0.648	0.779	0.284	0.341	0.934	-0.0312185	4.13976	0.056	4.00161	1.06114	0.0191852
240	0.179	0.453	0.599	0.251	0.414	0.634	0.764	0.241	0.397	0.942	-0.548529	3.95479	-0.504	3.80933	1.0622	0.0181133
250	0.197	0.474	0.597	0.248	0.395	0.641	0.739	0.203	0.423	0.917	-0.697388	3.99034	-0.664	3.83935	1.06158	0.018266
260	0.168	0.529	0.705	0.232	0.33	0.649	0.709	0.158	0.451	0.926	-0.701482	3.949	-0.572	3.79653	1.06213	0.0181391
270	0.179	0.492	0.71	0.229	0.485	0.672	0.712	0.171	0.44	0.941	0.163099	4.10653	0.124	3.94865	1.06176	0.0189683
280	0.248	0.545	0.71	0.206	0.474	0.627	0.705	0.129	0.399	0.967	0.0631128	3.98734	0.04	3.81307	1.06216	0.0181103
290	0.268	0.576	0.722	0.134	0.437	0.609	0.69	0.108	0.405	0.931	-0.528466	4.00532	-0.48	3.79769	1.06168	0.0182363
300	0.193	0.547	0.714	0.114	0.545	0.629	0.686	0.168	0.404	0.933	-0.20508	3.97489	-0.268	3.88824	1.06235	0.0184634
310	0.218	0.603	0.694	0.081	0.503	0.632	0.703	0.157	0.362	0.947	-0.417394	3.91466	-0.4	3.75182	1.06296	0.0181878
320	0.277	0.57	0.75	0.076	0.486	0.536	0.675	0.184	0.328	0.95	-0.758773	3.79516	-0.672	3.59865	1.06293	0.0174637
330	0.276	0.59	0.719	0.088	0.537	0.588	0.821	0.166	0.274	0.936	-0.00908605	3.98953	-0.02	3.88301	1.06224	0.0180957
340	0.302	0.625	0.697	0.101	0.509	0.639	0.872	0.156	0.233	0.981	0.642667	3.83967	0.46	3.66815	1.06293	0.0172594
350	0.336	0.669	0.744	0.113	0.471	0.726	0.867	0.102	0.237	0.979	1.09448	3.6477	0.976	3.45243	1.06325	0.0173579
360	0.276	0.74	0.737	0.15	0.451	0.734	0.929	0.059	0.23	0.989	1.33917	3.7124	1.18	3.4802	1.06277	0.0181725
370	0.229	0.746	0.627	0.207	0.391	0.766	0.921	0.069	0.323	0.995	1.15926	3.84773	1.096	3.63445	1.06245	0.0182839
380	0.129	0.702	0.59	0.168	0.405	0.761	0.884	0.07	0.364	0.985	0.214683	3.68732	0.232	3.5081	1.06418	0.0168633
390	0.141	0.685	0.49	0.224	0.353	0.693	0.898	0.071	0.323	0.977	-0.640464	3.58241	-0.58	3.42448	1.06471	0.0166075
400	0.116	0.625	0.488	0.152	0.314	0.583	0.886	0.063	0.302	0.981	-2.15066	3.92426	-1.96	3.74305	1.05896	0.0199672
410	0.157	0.714	0.482	0.123	0.411	0.516	0.875	0.08	0.34	0.951	-1.60308	3.99672	-1.404	3.81811	1.06061	0.0196258
420	0.166	0.722	0.501	0.081	0.394	0.438	0.826	0.086	0.445	0.931	-1.82442	3.79747	-1.64	3.62777	1.06095	0.0190146
430	0.15	0.79	0.48	0.106	0.461	0.44	0.831	0.052	0.461	0.891	-1.44236	3.95191	-1.352	3.7577	1.06127	0.0196508
440	0.146	0.827	0.478	0.138	0.449	0.364	0.836	0.038	0.487	0.905	-1.46743	3.83109	-1.328	3.62529	1.06157	0.0188277
450	0.159	0.84	0.485	0.123	0.37	0.42	0.845	0.042	0.524	0.934	-1.16222	3.43148	-1.032	3.32703	1.06461	0.0167889
460	0.185	0.875	0.553	0.169	0.33	0.37	0.838	0.007	0.539	0.902	-1.01867	3.64467	-0.928	3.47029	1.06356	0.0172291
470	0.148	0.893	0.635	0.129	0.436	0.281	0.853	0.0	0.548	0.921	-0.766076	3.47999	-0.624	3.3396	1.06503	0.0164488
480	0.215	0.844	0.691	0.144	0.497	0.306	0.854	0.0	0.431	0.909	-0.498904	3.44104	-0.436	3.23958	1.06566	0.0158026
490	0.207	0.856	0.686	0.133	0.481	0.382	0.928	0.0	0.482	0.933	0.446963	3.39862	0.352	3.24116	1.06615	0.0159744
500	0.183	0.864	0.682	0.124	0.475	0.413	0.931	0.0	0.528	0.961	0.6177	3.32098	0.644	3.15169	1.06607	0.0150385
510	0.134	0.834	0.671	0.135	0.509	0.338	0.927	0.0	0.543	0.952	0.236371	3.55976	0.172	3.38724	1.06499	0.0164215
520	0.143	0.84	0.637	0.134	0.53	0.389	0.944	0.0	0.547	0.935	0.395841	3.55649	0.396	3.41563	1.06486	0.0162139
530	0.154	0.823	0.635	0.138	0.508	0.433	0.965	0.0	0.481	0.962	0.4543	3.58327	0.396	3.32284	1.06463	0.0160324
540	0.163	0.786	0.628	0.159	0.527	0.37	0.994	0.0	0.491	0.996	0.522081	3.33725	0.456	3.0651	1.06634	0.0158033
550	0.269	0.698	0.653	0.163	0.481	0.364	1.0	0.0	0.463	0.99	0.321686	3.89277	0.324	3.61236	1.06268	0.0179012
560	0.296	0.625	0.69	0.148	0.458	0.334	1.0	0.0	0.566	0.973	0.372341	3.51327	0.36	3.32332	1.06559	0.0162958
570	0.27	0.726	0.699	0.172	0.532	0.304	1.0	0.0	0.646	0.981	1.4572	3.55394	1.32	3.41891	1.06307	0.0175216
580	0.226	0.681	0.715	0.106	0.49	0.333	1.0	0.0	0.633	0.99	0.808401	3.4642	0.696	3.2743	1.06463	0.0155667
590	0.262	0.653	0.727	0.081	0.583	0.356	1.0	0.0	0.648	0.993	1.35395	3.32172	1.212	3.08254	1.06465	0.0162958
600	0.283	0.524	0.682	0.048	0.641	0.307	1.0	0.0	0.586	0.981	0.175415	3.46299	0.208	3.28059	1.06549	0.0157578
610	0.248	0.526	0.672	0.056	0.674	0.27	1.0	0.0	0.64	0.971	0.357762	3.37494	0.228	3.18627	1.06592	0.0154254
