cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.503	0.466	0.516	0.513	0.443	0.556	0.435	0.548	0.468	0.568	0.114188	4.50341	0.064	4.41122	1.05952	0.0205305
20	0.54	0.525	0.41	0.482	0.487	0.537	0.43	0.487	0.414	0.558	-0.630383	4.72738	-0.52	4.67989	1.05724	0.0214111
30	0.539	0.578	0.402	0.598	0.496	0.617	0.505	0.45	0.471	0.531	0.800862	4.51028	0.748	4.30227	1.05874	0.0203922
40	0.541	0.555	0.459	0.588	0.511	0.641	0.493	0.422	0.452	0.511	0.713981	4.29344	0.692	4.17564	1.0599	0.0196374
50	0.537	0.508	0.436	0.631	0.52	0.688	0.532	0.43	0.413	0.487	0.711623	4.35775	0.728	4.14541	1.0596	0.0197017
60	0.574	0.405	0.468	0.625	0.541	0.706	0.533	0.387	0.397	0.486	0.53892	4.42274	0.488	4.2697	1.0592	0.0201703
70	0.554	0.308	0.495	0.631	0.558	0.671	0.546	0.442	0.346	0.435	-0.0617121	4.52443	-0.056	4.29718	1.05946	0.0206618
80	0.627	0.314	0.558	0.714	0.59	0.679	0.527	0.444	0.244	0.394	0.33718	4.37983	0.364	4.28301	1.0602	0.0204037
90	0.516	0.396	0.481	0.696	0.571	0.689	0.467	0.418	0.294	0.352	-0.541934	4.46435	-0.48	4.31356	1.05958	0.0201729
100	0.582	0.323	0.444	0.67	0.521	0.651	0.562	0.425	0.357	0.349	-0.492933	4.59667	-0.464	4.5008	1.0589	0.0211269
110	0.603	0.265	0.507	0.632	0.497	0.66	0.518	0.435	0.302	0.281	-1.31108	4.61281	-1.2	4.4927	1.05722	0.021429
120	0.609	0.312	0.638	0.687	0.488	0.67	0.424	0.536	0.341	0.282	-0.0903151	4.38598	-0.052	4.15401	1.05956	0.0196059
130	0.643	0.339	0.638	0.71	0.444	0.765	0.487	0.52	0.337	0.282	0.701971	3.94837	0.66	3.88053	1.0622	0.0186935
140	0.597	0.341	0.638	0.787	0.495	0.795	0.497	0.443	0.335	0.258	0.795087	4.2588	0.744	4.10563	1.06039	0.0196168
150	0.596	0.417	0.613	0.733	0.506	0.857	0.523	0.41	0.294	0.305	1.14987	4.37261	1.016	4.19463	1.05904	0.0204846
160	0.54	0.437	0.591	0.716	0.496	0.824	0.535	0.472	0.306	0.263	0.788344	4.32796	0.72	4.19676	1.05965	0.0194934
170	0.575	0.432	0.579	0.805	0.491	0.884	0.513	0.5	0.258	0.306	1.59523	4.00279	1.372	3.88172	1.06033	0.019394
180	0.614	0.449	0.524	0.842	0.485	0.76	0.441	0.564	0.325	0.353	1.52931	4.30178	1.428	4.18232	1.05867	0.0204712
190	0.678	0.429	0.501	0.796	0.565	0.771	0.533	0.527	0.351	0.338	2.14187	4.65249	1.956	4.53776	1.05475	0.0223372
200	0.729	0.416	0.57	0.837	0.517	0.714	0.439	0.437	0.325	0.342	1.40225	4.24304	1.304	4.1043	1.0589	0.0199378
210	0.648	0.304	0.49	0.896	0.576	0.765	0.395	0.35	0.291	0.302	0.0963413	4.14988	0.068	3.97025	1.0608	0.0182533
220	0.711	0.299	0.456	0.89	0.545	0.744	0.383	0.393	0.262	0.265	-0.25886	4.36889	-0.208	4.16743	1.06002	0.0203238
230	0.682	0.315	0.454	0.92	0.487	0.798	0.318	0.447	0.358	0.234	0.0353201	4.09431	0.052	3.91151	1.06191	0.0192217
240	0.71	0.29	0.468	0.893	0.515	0.869	0.378	0.423	0.269	0.133	-0.309744	3.78221	-0.208	3.65287	1.06332	0.0171882
250	0.641	0.327	0.392	0.905	0.49	0.874	0.455	0.392	0.286	0.217	-0.10524	4.2393	-0.084	4.04198	1.06044	0.0190079
260	0.601	0.351	0.393	0.885	0.476	0.899	0.443	0.302	0.177	0.216	-1.19068	4.22542	-1.028	4.06254	1.06019	0.0204978
270	0.567	0.356	0.355	0.873	0.47	0.922	0.438	0.302	0.205	0.227	-1.33642	3.9847	-1.14	3.82645	1.0606	0.0189272
280	0.589	0.359	0.37	0.897	0.419	0.927	0.341	0.356	0.235	0.218	-1.31524	4.02114	-1.156	3.81533	1.06094	0.0191466
290	0.568	0.322	0.374	0.906	0.533	0.911	0.414	0.34	0.292	0.276	-0.368296	3.91882	-0.256	3.74306	1.0624	0.0179279
300	0.585	0.266	0.379	0.932	0.649	0.895	0.445	0.34	0.4	0.229	0.497176	4.195	0.48	3.92433	1.06079	0.0189092
310	0.599	0.228	0.497	0.967	0.633	0.856	0.478	0.341	0.277	0.163	0.198284	4.18055	0.156	3.94141	1.0614	0.0195661
320	0.622	0.285	0.497	0.982	0.681	0.843	0.465	0.262	0.301	0.113	0.255333	3.81721	0.204	3.58107	1.06345	0.0177987
