cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.494	0.489	0.529	0.532	0.462	0.475	0.495	0.557	0.495	0.577	0.499625	4.67231	0.42	4.47747	1.05794	0.0211245
20	0.508	0.512	0.552	0.507	0.553	0.415	0.398	0.62	0.511	0.563	0.643084	4.60323	0.556	4.44098	1.05853	0.0206782
30	0.409	0.52	0.487	0.547	0.592	0.394	0.365	0.625	0.556	0.497	0.0412692	4.48096	-0.032	4.2937	1.05906	0.0199691
40	0.386	0.478	0.53	0.579	0.656	0.374	0.378	0.745	0.66	0.475	1.16203	4.24154	1.044	4.09972	1.05955	0.0196383
50	0.332	0.502	0.485	0.563	0.679	0.383	0.38	0.695	0.629	0.441	0.386367	4.57114	0.356	4.48659	1.05867	0.0203845
60	0.387	0.507	0.481	0.534	0.746	0.412	0.29	0.663	0.66	0.478	0.746136	4.32118	0.632	4.08141	1.05943	0.0197894
70	0.38	0.502	0.471	0.499	0.741	0.382	0.328	0.626	0.639	0.489	0.24412	4.45346	0.228	4.34624	1.05947	0.0206378
80	0.463	0.481	0.467	0.555	0.74	0.302	0.291	0.651	0.657	0.5	0.435251	4.32909	0.428	4.17273	1.06034	0.0199703
90	0.521	0.492	0.41	0.52	0.684	0.23	0.244	0.697	0.653	0.447	-0.512342	4.49169	-0.408	4.3321	1.05936	0.0205121
100	0.476	0.52	0.345	0.422	0.707	0.214	0.274	0.709	0.61	0.534	-0.840248	4.37999	-0.756	4.2559	1.05954	0.0200162
110	0.472	0.413	0.401	0.375	0.657	0.27	0.276	0.712	0.607	0.527	-1.34169	4.53959	-1.16	4.364	1.05755	0.0211877
120	0.474	0.39	0.458	0.385	0.665	0.36	0.324	0.656	0.715	0.476	-0.366336	4.06849	-0.388	4.00219	1.06159	0.0181118
130	0.525	0.434	0.574	0.426	0.646	0.365	0.311	0.633	0.731	0.502	0.614818	4.26695	0.588	4.12216	1.06012	0.0196032
140	0.526	0.467	0.566	0.477	0.618	0.359	0.27	0.563	0.638	0.509	-0.0268219	4.59887	-0.028	4.43786	1.05861	0.020872
150	0.502	0.484	0.619	0.504	0.564	0.447	0.274	0.498	0.576	0.442	-0.396949	4.53102	-0.36	4.30668	1.05937	0.0208427
160	0.464	0.502	0.605	0.518	0.634	0.447	0.368	0.464	0.574	0.457	0.0765525	4.25737	0.132	4.13288	1.061	0.0195189
170	0.425	0.487	0.481	0.543	0.669	0.473	0.322	0.55	0.513	0.538	0.0545901	4.20554	0.004	4.09604	1.06077	0.0188434
180	0.482	0.432	0.442	0.578	0.686	0.362	0.359	0.576	0.558	0.455	-0.189712	4.49657	-0.28	4.37354	1.05889	0.0209182
190	0.489	0.486	0.426	0.605	0.775	0.395	0.457	0.508	0.535	0.509	0.833993	4.3226	0.74	4.19805	1.0597	0.0199083
200	0.481	0.439	0.462	0.55	0.705	0.456	0.468	0.517	0.614	0.457	0.697539	4.46616	0.596	4.26441	1.05848	0.0200351
210	0.463	0.432	0.349	0.612	0.725	0.457	0.463	0.519	0.691	0.52	0.937197	4.33152	0.924	4.21685	1.05932	0.0196347
220	0.338	0.468	0.355	0.724	0.694	0.474	0.548	0.421	0.728	0.461	1.02947	4.73115	0.844	4.60544	1.05751	0.0219456
230	0.345	0.483	0.437	0.712	0.742	0.478	0.52	0.396	0.727	0.465	1.33661	4.49038	1.22	4.26849	1.05759	0.0207155
240	0.298	0.478	0.377	0.738	0.663	0.477	0.609	0.391	0.742	0.535	1.37428	4.47246	1.232	4.26598	1.05776	0.0212172
250	0.336	0.484	0.332	0.784	0.517	0.474	0.613	0.424	0.692	0.451	0.438302	4.37416	0.428	4.21858	1.05971	0.0196096
260	0.361	0.544	0.294	0.827	0.479	0.46	0.679	0.475	0.671	0.333	0.60233	4.47691	0.492	4.36854	1.05904	0.020736
270	0.333	0.59	0.326	0.832	0.4	0.335	0.721	0.381	0.615	0.334	-0.557065	4.32259	-0.532	4.19143	1.06014	0.0200356
