cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.498	0.486	0.483	0.495	0.522	0.525	0.493	0.506	0.487	0.506	0.970206	12.7025	0.004	4.5309	1.02741	0.0812766
10	0.503	0.486	0.472	0.545	0.567	0.571	0.512	0.524	0.527	0.452	2.25147	13.623	0.636	4.37193	1.02342	0.0805993
20	0.535	0.473	0.513	0.596	0.701	0.724	0.528	0.523	0.524	0.434	7.1997	12.2436	2.204	4.26929	1.03388	0.091037
30	0.604	0.445	0.467	0.657	0.678	0.668	0.564	0.563	0.522	0.452	9.69042	12.5583	2.48	4.36712	1.02997	0.0866989
40	0.618	0.435	0.505	0.662	0.719	0.638	0.528	0.602	0.594	0.442	9.75308	13.3025	2.972	4.28345	1.03133	0.0914263
50	0.591	0.443	0.513	0.602	0.743	0.617	0.528	0.611	0.62	0.448	9.73714	12.8268	2.864	4.53946	1.03359	0.0944311
60	0.619	0.447	0.549	0.629	0.772	0.572	0.48	0.578	0.655	0.474	10.2828	13.0168	3.1	4.49248	1.03152	0.0851799
70	0.652	0.45	0.552	0.582	0.765	0.564	0.522	0.624	0.637	0.415	9.87569	12.9725	3.052	4.11913	1.02279	0.0734688
80	0.583	0.47	0.558	0.56	0.786	0.594	0.541	0.615	0.667	0.357	9.42787	12.9953	2.924	4.14978	1.02013	0.0681708
90	0.593	0.466	0.492	0.581	0.813	0.588	0.519	0.679	0.7	0.364	10.2227	12.8459	3.18	4.13689	1.02822	0.0847053
100	0.562	0.445	0.488	0.643	0.782	0.568	0.537	0.705	0.611	0.303	9.59046	13.8952	2.576	4.47171	1.02386	0.0778501
110	0.559	0.404	0.466	0.647	0.832	0.631	0.58	0.733	0.633	0.339	10.8621	12.946	3.296	4.29013	1.03639	0.0929078
120	0.591	0.46	0.447	0.685	0.824	0.547	0.429	0.706	0.68	0.33	8.33488	12.4911	2.796	4.28989	1.02837	0.0807509
130	0.585	0.509	0.448	0.672	0.796	0.565	0.387	0.721	0.714	0.261	9.10181	13.4759	2.632	4.08141	1.03667	0.0947881
140	0.483	0.493	0.474	0.67	0.83	0.593	0.413	0.753	0.742	0.274	9.43538	12.765	2.9	4.25985	1.03502	0.0932999
