cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.538	0.565	0.584	0.479	0.524	0.411	0.591	0.483	0.547	0.502	1.03876	4.25548	0.896	4.12786	1.06025	0.0198584
20	0.456	0.547	0.519	0.436	0.487	0.437	0.614	0.468	0.524	0.454	-0.294159	4.61534	-0.232	4.41284	1.05817	0.0207358
30	0.554	0.515	0.5	0.406	0.42	0.468	0.613	0.436	0.578	0.433	-0.315677	4.57443	-0.308	4.43808	1.05939	0.0204127
40	0.535	0.593	0.483	0.422	0.432	0.54	0.552	0.355	0.603	0.354	-0.604978	4.49613	-0.524	4.25507	1.05891	0.0206953
50	0.469	0.49	0.449	0.374	0.422	0.471	0.634	0.323	0.571	0.302	-2.19636	4.70142	-1.98	4.49176	1.05455	0.0227515
60	0.526	0.404	0.411	0.427	0.426	0.488	0.597	0.258	0.62	0.409	-1.9201	4.68567	-1.736	4.45263	1.0559	0.0221635
70	0.542	0.455	0.353	0.319	0.47	0.501	0.532	0.3	0.608	0.352	-2.56481	4.22189	-2.272	4.1425	1.05637	0.0215079
80	0.519	0.442	0.355	0.369	0.508	0.503	0.601	0.294	0.596	0.381	-1.95861	4.45818	-1.728	4.2476	1.05782	0.0218882
90	0.562	0.406	0.394	0.395	0.514	0.504	0.58	0.275	0.611	0.429	-1.43324	4.67292	-1.32	4.52311	1.0561	0.0212546
100	0.535	0.413	0.448	0.438	0.42	0.499	0.579	0.364	0.632	0.363	-1.43739	4.637	-1.236	4.38803	1.05723	0.0221016
110	0.589	0.443	0.57	0.482	0.391	0.446	0.487	0.364	0.596	0.367	-1.18133	4.42734	-1.06	4.26436	1.05922	0.0206001
120	0.548	0.521	0.496	0.525	0.399	0.482	0.505	0.291	0.561	0.293	-1.63521	4.29341	-1.516	4.12405	1.05831	0.020478
130	0.524	0.49	0.44	0.584	0.328	0.523	0.544	0.334	0.523	0.208	-2.07234	4.50203	-2.008	4.3605	1.05631	0.0222541
140	0.546	0.419	0.415	0.577	0.272	0.48	0.568	0.411	0.56	0.224	-2.36626	4.4618	-2.112	4.32954	1.05565	0.0222843
150	0.54	0.481	0.325	0.572	0.259	0.458	0.53	0.376	0.513	0.23	-3.21563	4.41863	-2.864	4.27575	1.05288	0.0229988
160	0.564	0.49	0.314	0.573	0.294	0.367	0.416	0.43	0.443	0.26	-3.79261	4.5251	-3.396	4.38927	1.05133	0.0252868
170	0.541	0.475	0.309	0.581	0.238	0.36	0.407	0.445	0.415	0.263	-4.24512	4.71845	-3.864	4.45659	1.04783	0.0250757
180	0.572	0.519	0.306	0.555	0.239	0.315	0.423	0.445	0.373	0.276	-4.28454	4.55241	-3.908	4.39524	1.04834	0.0253905
190	0.614	0.486	0.278	0.57	0.242	0.354	0.528	0.478	0.383	0.304	-3.40915	4.39362	-3.052	4.19625	1.05358	0.0241074
200	0.654	0.441	0.268	0.64	0.272	0.404	0.566	0.44	0.416	0.327	-2.48468	4.36587	-2.288	4.0947	1.05584	0.0217233
210	0.571	0.495	0.251	0.695	0.325	0.398	0.622	0.469	0.437	0.282	-1.98359	4.29753	-1.82	4.16007	1.05743	0.0208433
220	0.555	0.523	0.214	0.732	0.285	0.402	0.624	0.471	0.478	0.268	-2.00577	4.26661	-1.792	4.09564	1.05813	0.0217415
230	0.618	0.639	0.235	0.626	0.248	0.375	0.676	0.44	0.491	0.307	-1.50153	4.27796	-1.38	4.05073	1.05967	0.0207627
240	0.65	0.671	0.257	0.623	0.24	0.388	0.65	0.421	0.594	0.32	-0.843835	4.30345	-0.744	4.11343	1.06017	0.0200382
250	0.593	0.607	0.263	0.639	0.269	0.294	0.718	0.367	0.643	0.337	-1.16222	4.28063	-1.08	4.21297	1.05921	0.0197237
260	0.473	0.696	0.288	0.605	0.346	0.405	0.763	0.457	0.575	0.328	-0.269791	4.50732	-0.256	4.35113	1.0592	0.0202941
270	0.516	0.74	0.374	0.632	0.356	0.471	0.729	0.493	0.476	0.29	0.398172	4.3436	0.308	4.18906	1.06013	0.0197022
280	0.506	0.73	0.432	0.585	0.326	0.436	0.639	0.506	0.407	0.263	-0.809468	4.32941	-0.68	4.24519	1.05935	0.0197596
290	0.504	0.711	0.484	0.589	0.325	0.504	0.643	0.499	0.407	0.221	-0.494357	4.51045	-0.452	4.36369	1.05888	0.0203873
300	0.569	0.693	0.521	0.541	0.321	0.522	0.646	0.491	0.433	0.246	-0.13416	4.39731	-0.068	4.24162	1.06004	0.0201103
310	0.508	0.671	0.607	0.54	0.318	0.529	0.653	0.494	0.476	0.227	0.169976	4.53325	0.092	4.38063	1.05905	0.020169
320	0.527	0.713	0.64	0.481	0.338	0.551	0.737	0.384	0.451	0.242	0.34098	4.33125	0.256	4.19161	1.06028	0.0200067
330	0.565	0.743	0.611	0.443	0.286	0.432	0.761	0.435	0.456	0.222	-0.272576	4.41028	-0.184	4.32522	1.05945	0.0197689
340	0.643	0.681	0.551	0.452	0.276	0.417	0.803	0.516	0.483	0.219	0.218323	4.2842	0.164	4.13368	1.06056	0.019251
350	0.657	0.731	0.684	0.446	0.266	0.465	0.776	0.486	0.436	0.194	0.642432	4.33503	0.564	4.1642	1.06039	0.0202937
360	0.629	0.72	0.722	0.415	0.206	0.522	0.753	0.417	0.381	0.14	-0.354466	4.27448	-0.38	4.1485	1.06071	0.0196857
370	0.684	0.735	0.689	0.395	0.194	0.602	0.798	0.412	0.362	0.146	0.114616	4.31809	0.068	4.1189	1.0611	0.0200445
380	0.716	0.667	0.696	0.445	0.168	0.574	0.764	0.424	0.347	0.108	-0.423543	4.14651	-0.364	4.05616	1.06175	0.0189725
390	0.778	0.69	0.668	0.41	0.15	0.596	0.784	0.431	0.319	0.121	-0.197832	4.24396	-0.212	4.00339	1.06069	0.0192827
400	0.823	0.748	0.726	0.399	0.142	0.679	0.797	0.452	0.366	0.098	1.08505	4.32159	0.92	4.12646	1.05904	0.0200136
410	0.805	0.759	0.734	0.415	0.117	0.705	0.813	0.469	0.348	0.051	0.900573	3.83294	0.864	3.68791	1.06283	0.0182667
420	0.793	0.679	0.78	0.45	0.193	0.686	0.818	0.44	0.354	0.064	1.15761	3.94559	1.028	3.76345	1.06163	0.0188598
430	0.752	0.656	0.744	0.513	0.202	0.65	0.775	0.411	0.328	0.038	0.340823	3.91209	0.276	3.80431	1.06247	0.0180162
440	0.737	0.583	0.742	0.439	0.23	0.679	0.839	0.453	0.384	0.019	0.528572	4.15725	0.42	4.05469	1.06117	0.019319
450	0.725	0.617	0.649	0.544	0.225	0.733	0.897	0.439	0.373	0.016	0.994385	3.82063	0.872	3.7185	1.06221	0.0176525
460	0.815	0.563	0.64	0.579	0.163	0.568	0.92	0.442	0.369	0.0	0.321274	4.02721	0.236	3.88619	1.06233	0.018916
470	0.817	0.562	0.667	0.568	0.151	0.57	0.93	0.391	0.396	0.0	0.245958	3.82048	0.208	3.71596	1.06339	0.0177543
480	0.882	0.58	0.613	0.634	0.175	0.575	0.933	0.439	0.386	0.0	1.02158	3.90416	0.868	3.72267	1.06226	0.0183988
490	0.875	0.548	0.611	0.576	0.19	0.55	0.944	0.424	0.386	0.0	0.472561	3.93447	0.416	3.77988	1.06251	0.0180785
500	0.846	0.495	0.586	0.571	0.335	0.467	0.916	0.407	0.352	0.0	-0.0560875	3.98868	-0.1	3.90442	1.06267	0.0186069
510	0.839	0.449	0.57	0.59	0.38	0.462	0.933	0.419	0.326	0.0	-0.0979916	4.01757	-0.128	3.89435	1.0616	0.0178295
520	0.872	0.412	0.536	0.559	0.521	0.429	0.933	0.388	0.291	0.0	-0.238721	3.83114	-0.236	3.71536	1.06317	0.0172711
530	0.848	0.448	0.503	0.566	0.503	0.53	0.912	0.427	0.287	0.0	0.0804164	4.09766	0.096	3.99684	1.06203	0.0190226
540	0.852	0.448	0.477	0.496	0.489	0.579	0.916	0.372	0.286	0.0	-0.271712	3.82106	-0.34	3.72668	1.06337	0.017431
550	0.8	0.526	0.522	0.511	0.419	0.703	0.925	0.371	0.241	0.0	0.000982274	4.05185	0.072	3.80207	1.06163	0.0178127
560	0.771	0.484	0.495	0.561	0.439	0.76	0.932	0.347	0.247	0.0	0.262434	3.9971	0.144	3.80634	1.06223	0.0182749
570	0.736	0.403	0.521	0.493	0.45	0.811	0.919	0.351	0.192	0.0	-0.557295	3.94987	-0.496	3.75529	1.06267	0.0185918
580	0.808	0.403	0.467	0.383	0.468	0.822	0.912	0.267	0.234	0.0	-0.994368	3.8625	-0.944	3.72244	1.06247	0.0179662
590	0.808	0.416	0.534	0.325	0.529	0.873	0.933	0.312	0.236	0.0	-0.181221	3.72507	-0.136	3.50401	1.06408	0.0173088
600	0.855	0.422	0.51	0.285	0.55	0.891	0.872	0.283	0.216	0.0	-0.485898	3.76903	-0.464	3.59591	1.06344	0.0172519
610	0.892	0.401	0.561	0.294	0.513	0.86	0.884	0.317	0.226	0.0	-0.218163	3.669	-0.208	3.51418	1.06431	0.0169662
620	0.85	0.412	0.588	0.246	0.531	0.855	0.884	0.31	0.193	0.0	-0.609984	3.86511	-0.524	3.73327	1.06278	0.0178769
630	0.888	0.441	0.597	0.264	0.446	0.831	0.851	0.344	0.217	0.0	-0.610789	3.80714	-0.484	3.56302	1.06313	0.017516
640	0.882	0.478	0.601	0.246	0.435	0.811	0.845	0.32	0.237	0.0	-0.723223	3.78646	-0.58	3.53278	1.06333	0.0181289
650	0.911	0.474	0.517	0.204	0.46	0.76	0.832	0.303	0.198	0.0	-1.53455	3.95113	-1.364	3.73945	1.06062	0.0191341
660	0.958	0.422	0.512	0.251	0.412	0.791	0.854	0.222	0.204	0.0	-1.64384	4.05202	-1.496	3.8345	1.06018	0.0197052
670	0.983	0.567	0.515	0.3	0.425	0.863	0.803	0.301	0.222	0.0	-0.0616825	3.91267	-0.084	3.72622	1.06312	0.0178356
680	0.987	0.688	0.427	0.238	0.426	0.831	0.86	0.273	0.22	0.0	-0.182962	3.50576	-0.2	3.36789	1.06538	0.016127
690	0.977	0.655	0.442	0.227	0.398	0.772	0.844	0.284	0.196	0.0	-0.928637	3.81351	-0.82	3.64227	1.06283	0.0178917
700	0.989	0.757	0.455	0.207	0.401	0.749	0.853	0.23	0.151	0.0	-0.897021	3.68807	-0.832	3.48081	1.06318	0.0172208
710	0.993	0.728	0.423	0.167	0.39	0.742	0.932	0.252	0.147	0.0	-1.02363	3.2425	-0.904	3.01745	1.06594	0.0155024
720	0.995	0.719	0.452	0.204	0.406	0.823	0.921	0.297	0.107	0.0	-0.315294	3.49891	-0.304	3.31445	1.06498	0.0156952
730	0.972	0.743	0.455	0.187	0.409	0.872	0.865	0.227	0.104	0.0	-0.731421	3.41197	-0.664	3.1615	1.06506	0.0153617
740	0.984	0.744	0.439	0.11	0.383	0.904	0.907	0.233	0.1	0.0	-0.843112	3.23848	-0.784	3.10558	1.06624	0.0148606
750	0.987	0.781	0.463	0.079	0.333	0.941	0.967	0.224	0.069	0.0	-0.643317	3.11097	-0.624	2.90577	1.06752	0.0144123
760	1.0	0.795	0.463	0.069	0.27	0.934	0.976	0.284	0.064	0.0	-0.696449	3.08657	-0.58	2.81557	1.06764	0.0143781
770	1.0	0.837	0.401	0.042	0.252	0.951	0.985	0.223	0.056	0.0	-1.08369	2.78279	-1.012	2.59023	1.06843	0.0130944
780	1.0	0.86	0.398	0.061	0.135	0.966	0.989	0.218	0.062	0.0	-1.36151	2.75532	-1.244	2.55058	1.06767	0.0126654
790	1.0	0.833	0.339	0.044	0.144	0.953	0.976	0.182	0.038	0.0	-2.21302	2.71502	-1.964	2.4696	1.06483	0.0150322
800	1.0	0.895	0.348	0.068	0.203	0.983	0.993	0.209	0.036	0.0	-1.13777	2.6033	-1.06	2.36973	1.06905	0.0113114
810	1.0	0.911	0.318	0.103	0.216	0.989	0.988	0.196	0.047	0.0	-1.03958	2.73574	-0.928	2.51385	1.06862	0.0120095
820	1.0	0.939	0.3	0.079	0.251	0.989	0.987	0.183	0.071	0.0	-0.849737	2.6804	-0.804	2.44244	1.0694	0.0116497
830	1.0	0.958	0.291	0.129	0.212	0.995	0.991	0.145	0.039	0.0	-1.09662	2.52	-0.96	2.33952	1.06967	0.0109495
840	1.0	0.929	0.302	0.118	0.247	1.0	0.998	0.192	0.047	0.0	-0.771474	2.57248	-0.668	2.38771	1.07028	0.0113676
850	1.0	0.987	0.262	0.064	0.231	1.0	1.0	0.287	0.029	0.0	-0.607794	2.57338	-0.56	2.32577	1.07058	0.0110457
860	1.0	0.972	0.224	0.059	0.293	1.0	1.0	0.205	0.033	0.0	-1.00664	2.59401	-0.856	2.36272	1.06963	0.0116704
870	1.0	0.961	0.232	0.031	0.26	1.0	1.0	0.155	0.06	0.0	-1.27205	2.38896	-1.204	2.14092	1.06991	0.0107297
