cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.519	0.458	0.521	0.484	0.478	0.508	0.509	0.496	0.488	0.467	-1.10703	8.85483	-0.288	4.39861	1.04039	0.0287286
10	0.494	0.521	0.483	0.539	0.549	0.576	0.513	0.521	0.529	0.457	2.27758	8.90554	0.728	4.42959	1.03747	0.0286146
20	0.42	0.42	0.454	0.42	0.54	0.587	0.508	0.557	0.555	0.498	-0.605841	9.18922	-0.164	4.59994	1.03765	0.0284503
30	0.491	0.37	0.49	0.338	0.57	0.645	0.462	0.577	0.511	0.58	0.421541	8.05333	0.136	4.04552	1.04067	0.0273966
40	0.546	0.384	0.474	0.313	0.637	0.64	0.42	0.537	0.506	0.585	-0.0127644	8.59156	0.168	4.2718	1.0397	0.0280423
50	0.527	0.372	0.518	0.346	0.575	0.705	0.406	0.5	0.472	0.591	-0.106512	8.53727	0.048	4.26921	1.03984	0.0288142
60	0.553	0.378	0.57	0.327	0.497	0.682	0.466	0.543	0.515	0.513	0.67189	8.66115	0.176	4.24323	1.04019	0.028442
70	0.551	0.394	0.571	0.359	0.457	0.735	0.517	0.562	0.48	0.593	3.01589	8.95179	0.876	4.54157	1.03668	0.0295853
80	0.586	0.367	0.6	0.39	0.453	0.78	0.502	0.558	0.44	0.56	3.08445	8.68487	0.944	4.29252	1.03733	0.0289421
90	0.6	0.384	0.567	0.427	0.515	0.759	0.618	0.622	0.447	0.611	7.41825	9.32886	2.2	4.59938	1.02927	0.0286306
100	0.548	0.297	0.608	0.388	0.49	0.773	0.631	0.627	0.418	0.66	5.81209	8.58989	1.76	4.30016	1.03308	0.0295042
110	0.459	0.251	0.568	0.351	0.473	0.85	0.692	0.644	0.343	0.662	3.87027	8.09632	1.172	4.02527	1.03779	0.0285207
120	0.447	0.135	0.583	0.392	0.493	0.835	0.675	0.586	0.347	0.574	0.882939	7.92849	0.268	3.86342	1.04224	0.0279324
130	0.358	0.157	0.552	0.359	0.471	0.862	0.714	0.542	0.306	0.558	-1.53523	8.33319	-0.484	4.11821	1.04032	0.028442
140	0.373	0.154	0.572	0.397	0.46	0.877	0.701	0.52	0.394	0.651	1.4724	8.02775	0.396	3.92249	1.04051	0.028213
150	0.331	0.138	0.555	0.383	0.468	0.909	0.791	0.431	0.318	0.656	0.00337633	8.02367	-0.08	3.94064	1.04128	0.0283084
160	0.361	0.158	0.606	0.342	0.398	0.95	0.846	0.439	0.294	0.707	1.25947	7.75957	0.404	3.83278	1.04206	0.0279839
170	0.333	0.11	0.523	0.411	0.411	0.892	0.857	0.391	0.307	0.768	0.224259	7.74547	0.012	3.82271	1.04313	0.0278356
180	0.34	0.072	0.554	0.525	0.442	0.857	0.833	0.377	0.312	0.8	1.38802	8.17103	0.448	4.09596	1.04082	0.0285038
190	0.401	0.072	0.454	0.558	0.432	0.835	0.918	0.352	0.359	0.779	2.12166	8.06266	0.64	4.06638	1.04049	0.028335
200	0.374	0.06	0.359	0.579	0.534	0.895	0.894	0.403	0.374	0.748	2.93966	7.62812	0.88	3.75524	1.04094	0.0280264
210	0.39	0.097	0.383	0.534	0.569	0.871	0.891	0.412	0.324	0.662	1.54931	8.17491	0.532	4.11812	1.04292	0.0288479
220	0.472	0.112	0.397	0.438	0.578	0.845	0.923	0.356	0.318	0.622	1.00227	7.85763	0.244	3.86709	1.04212	0.0281574
230	0.486	0.059	0.43	0.393	0.63	0.852	0.927	0.267	0.304	0.687	0.602802	8.31407	0.14	4.10342	1.04122	0.0285593
240	0.417	0.042	0.506	0.316	0.624	0.83	0.96	0.264	0.284	0.741	-0.279292	7.52805	-0.064	3.70396	1.04559	0.0272925
250	0.458	0.02	0.582	0.209	0.62	0.791	0.954	0.22	0.247	0.72	-2.29901	7.64567	-0.716	3.74425	1.04167	0.0280706
260	0.477	0.016	0.635	0.22	0.613	0.815	0.975	0.261	0.204	0.713	-1.10314	7.47107	-0.284	3.63342	1.04332	0.0278322
270	0.409	0.014	0.63	0.24	0.612	0.768	0.987	0.222	0.154	0.751	-2.86641	6.99126	-0.852	3.43069	1.04373	0.0280287
280	0.377	0.004	0.71	0.195	0.679	0.823	0.988	0.24	0.18	0.77	-0.614489	6.8577	-0.136	3.37584	1.04669	0.0263805
290	0.413	0.0	0.682	0.134	0.605	0.834	0.999	0.178	0.139	0.799	-2.84046	6.7928	-0.868	3.27843	1.04595	0.0275231
300	0.422	0.0	0.664	0.151	0.672	0.856	1.0	0.161	0.166	0.802	-1.64593	6.81379	-0.424	3.28417	1.04635	0.0271121
310	0.51	0.0	0.675	0.155	0.724	0.895	1.0	0.171	0.147	0.728	-0.0381192	6.82112	0.02	3.2565	1.04705	0.0263993
320	0.52	0.0	0.688	0.11	0.756	0.933	1.0	0.189	0.205	0.779	2.30375	6.64214	0.72	3.1997	1.04689	0.0267672
330	0.453	0.0	0.673	0.054	0.808	0.943	1.0	0.242	0.176	0.734	1.13395	6.34775	0.332	3.10823	1.04963	0.0255474
340	0.479	0.0	0.614	0.05	0.829	0.94	1.0	0.244	0.165	0.726	0.622835	6.48401	0.188	3.0789	1.04801	0.0266205
350	0.536	0.0	0.582	0.054	0.835	0.894	1.0	0.289	0.16	0.664	0.161164	6.28128	0.056	3.08023	1.04919	0.0253748
360	0.528	0.0	0.601	0.048	0.801	0.859	1.0	0.28	0.174	0.658	-0.549085	6.96613	-0.204	3.29911	1.04686	0.0266673
370	0.568	0.0	0.577	0.06	0.836	0.868	1.0	0.282	0.195	0.638	0.266864	6.69984	0.096	3.28578	1.04822	0.0271904
380	0.612	0.0	0.625	0.068	0.839	0.889	1.0	0.28	0.181	0.571	0.923547	6.77712	0.26	3.38161	1.0471	0.0268857
390	0.541	0.0	0.537	0.078	0.867	0.919	1.0	0.325	0.126	0.472	-1.74649	6.7041	-0.54	3.25108	1.04591	0.0265332
400	0.506	0.0	0.599	0.049	0.814	0.941	1.0	0.33	0.132	0.451	-2.29497	6.82233	-0.712	3.26594	1.04459	0.0272079
410	0.551	0.0	0.674	0.022	0.795	0.924	1.0	0.299	0.11	0.413	-2.69424	6.66865	-0.848	3.26776	1.04489	0.0265902
420	0.681	0.0	0.691	0.014	0.8	0.942	1.0	0.225	0.128	0.463	-0.877337	6.19231	-0.224	2.97178	1.04995	0.0258416
430	0.619	0.0	0.741	0.016	0.864	0.939	1.0	0.187	0.126	0.445	-0.506808	6.20879	-0.252	3.00309	1.05038	0.026127
440	0.606	0.0	0.733	0.01	0.851	0.955	1.0	0.22	0.139	0.42	-1.2006	6.26668	-0.264	3.0167	1.04879	0.0256799
450	0.661	0.0	0.731	0.017	0.749	0.965	1.0	0.197	0.097	0.465	-1.68829	6.18324	-0.472	2.98581	1.04882	0.025121
460	0.531	0.0	0.735	0.005	0.811	0.963	1.0	0.163	0.086	0.523	-2.47266	6.24753	-0.732	3.1041	1.04856	0.0269711
470	0.567	0.0	0.763	0.024	0.791	0.97	1.0	0.162	0.125	0.532	-0.712715	6.04218	-0.264	2.89743	1.05157	0.0251365
480	0.669	0.0	0.772	0.032	0.835	0.984	1.0	0.148	0.067	0.546	0.627453	5.79211	0.212	2.88091	1.05138	0.0239711
490	0.683	0.0	0.679	0.057	0.826	0.985	1.0	0.145	0.038	0.564	-0.164873	5.88296	-0.092	2.88169	1.05138	0.024511
500	0.635	0.0	0.724	0.06	0.78	0.982	1.0	0.13	0.041	0.641	-0.130623	6.37786	-0.028	3.11297	1.04871	0.0251023
510	0.558	0.0	0.768	0.059	0.762	0.988	1.0	0.087	0.058	0.535	-2.55245	6.11292	-0.74	2.96209	1.04767	0.0256443
520	0.555	0.0	0.765	0.048	0.734	0.993	1.0	0.104	0.078	0.495	-3.02726	6.06152	-0.912	2.95325	1.0463	0.0263156
530	0.607	0.0	0.835	0.025	0.733	1.0	1.0	0.095	0.102	0.471	-1.89319	5.87913	-0.528	2.81016	1.05055	0.0252557
540	0.628	0.0	0.846	0.015	0.733	1.0	1.0	0.117	0.098	0.48	-0.927574	5.74358	-0.332	2.77582	1.05267	0.024508
550	0.626	0.0	0.865	0.006	0.693	1.0	1.0	0.129	0.132	0.485	-0.53149	5.8325	-0.256	2.82248	1.05136	0.0248037
560	0.654	0.0	0.909	0.013	0.718	1.0	1.0	0.125	0.135	0.407	-0.602584	5.55151	-0.156	2.62248	1.05216	0.023633
570	0.688	0.0	0.916	0.026	0.659	1.0	1.0	0.1	0.105	0.382	-1.47476	5.76006	-0.496	2.70567	1.05205	0.0255375
580	0.735	0.0	0.941	0.009	0.74	1.0	1.0	0.116	0.098	0.409	0.753317	5.28067	0.192	2.52505	1.05514	0.0234188
590	0.733	0.0	0.96	0.011	0.755	1.0	1.0	0.125	0.078	0.456	1.72537	5.82604	0.472	2.68022	1.05137	0.0253513
600	0.723	0.0	0.949	0.008	0.783	1.0	1.0	0.101	0.078	0.374	0.214817	5.15757	0.064	2.48682	1.05593	0.0225152
610	0.642	0.0	0.977	0.011	0.832	1.0	1.0	0.077	0.045	0.434	0.183171	4.97607	0.072	2.3336	1.05618	0.0219737
620	0.678	0.0	0.981	0.021	0.865	1.0	1.0	0.082	0.021	0.367	0.273019	5.19907	0.06	2.47237	1.05488	0.0227704
630	0.622	0.0	0.979	0.021	0.911	1.0	1.0	0.037	0.018	0.327	-1.25003	4.9037	-0.34	2.26952	1.05638	0.0225528
640	0.643	0.0	0.956	0.032	0.947	1.0	1.0	0.014	0.021	0.324	-1.08848	4.86327	-0.252	2.18771	1.05657	0.022043
650	0.724	0.0	0.965	0.068	0.89	1.0	1.0	0.017	0.007	0.347	0.2258	4.66738	0.072	2.14009	1.05802	0.0213963
660	0.774	0.0	0.972	0.044	0.829	1.0	1.0	0.014	0.0	0.295	-1.08372	4.84891	-0.288	2.18142	1.05652	0.0223105
670	0.818	0.0	0.958	0.05	0.875	1.0	0.999	0.004	0.0	0.272	-0.321207	4.7455	-0.096	2.25587	1.05768	0.0216528
680	0.847	0.0	0.975	0.051	0.885	1.0	1.0	0.0	0.0	0.184	-0.664249	4.17303	-0.232	1.90616	1.0609	0.0194463
690	0.843	0.0	0.929	0.038	0.897	1.0	1.0	0.0	0.0	0.163	-1.44598	4.36793	-0.52	1.95787	1.06002	0.0208356
700	0.899	0.0	0.95	0.023	0.875	1.0	1.0	0.0	0.0	0.192	-0.788148	4.14697	-0.244	1.82074	1.06119	0.0193924
710	0.948	0.0	0.97	0.029	0.865	1.0	1.0	0.0	0.0	0.156	-0.3182	3.5422	-0.128	1.59144	1.06529	0.0162188
720	0.946	0.0	0.971	0.05	0.867	1.0	1.0	0.0	0.0	0.152	-0.464034	3.97559	-0.056	1.70725	1.06235	0.0184126
730	0.977	0.0	0.993	0.037	0.928	1.0	1.0	0.0	0.0	0.114	0.793009	3.3883	0.196	1.42747	1.06604	0.0163669
740	0.954	0.0	0.992	0.022	0.951	1.0	1.0	0.0	0.0	0.14	0.990259	3.4328	0.236	1.42139	1.06524	0.0165846
750	0.973	0.0	1.0	0.018	0.959	1.0	1.0	0.0	0.0	0.107	0.72626	3.04319	0.228	1.1622	1.06814	0.0146994
