cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.618	0.528	0.569	0.497	0.475	0.526	0.513	0.534	0.395	0.485	0.572691	4.54506	0.56	4.4522	1.05897	0.0207567
20	0.611	0.558	0.632	0.598	0.394	0.524	0.475	0.602	0.527	0.574	2.12618	4.24581	1.98	4.08031	1.05706	0.0211485
30	0.513	0.528	0.691	0.582	0.297	0.516	0.422	0.506	0.478	0.532	0.315985	4.34382	0.26	4.16547	1.05984	0.0196032
40	0.506	0.459	0.71	0.61	0.314	0.493	0.438	0.53	0.456	0.487	0.0305288	4.62984	0.012	4.40712	1.05805	0.0205126
50	0.47	0.59	0.711	0.592	0.325	0.524	0.365	0.528	0.39	0.531	0.110474	4.21016	0.104	4.10352	1.06072	0.0191481
60	0.566	0.515	0.798	0.569	0.318	0.487	0.324	0.505	0.4	0.504	-0.127704	4.39207	-0.056	4.24085	1.0596	0.0196992
70	0.548	0.586	0.768	0.62	0.345	0.598	0.241	0.554	0.295	0.585	0.645878	4.49841	0.56	4.33359	1.0587	0.0198685
80	0.548	0.539	0.828	0.583	0.336	0.68	0.245	0.581	0.268	0.579	0.837991	4.34405	0.748	4.1273	1.0603	0.0204522
90	0.544	0.528	0.831	0.639	0.285	0.76	0.198	0.608	0.251	0.554	0.908539	3.9596	0.792	3.81705	1.0616	0.0181001
100	0.516	0.596	0.807	0.679	0.244	0.723	0.203	0.663	0.241	0.52	0.837635	4.24496	0.768	4.02225	1.05997	0.0193168
110	0.505	0.524	0.779	0.677	0.23	0.776	0.152	0.639	0.269	0.505	0.206411	4.19233	0.224	4.03365	1.06099	0.0196052
120	0.434	0.464	0.858	0.711	0.193	0.802	0.2	0.694	0.285	0.552	0.838054	4.39779	0.772	4.25679	1.05933	0.0203164
130	0.404	0.522	0.778	0.75	0.168	0.818	0.197	0.671	0.333	0.442	0.381258	3.9467	0.332	3.87088	1.06286	0.0180034
140	0.443	0.449	0.759	0.779	0.182	0.826	0.19	0.605	0.287	0.423	-0.293628	4.24485	-0.228	4.02647	1.06064	0.0194828
150	0.458	0.462	0.8	0.831	0.194	0.819	0.144	0.612	0.246	0.39	-0.206395	4.11436	-0.176	3.97802	1.06131	0.0187129
160	0.374	0.506	0.79	0.825	0.147	0.844	0.12	0.591	0.263	0.394	-0.558745	3.87824	-0.584	3.71248	1.06238	0.0178206
170	0.367	0.525	0.825	0.808	0.156	0.845	0.168	0.535	0.291	0.37	-0.441743	3.95152	-0.44	3.80043	1.06231	0.0180143
180	0.373	0.571	0.779	0.823	0.136	0.855	0.179	0.487	0.317	0.382	-0.362833	4.12685	-0.392	3.94023	1.06105	0.019171
190	0.371	0.596	0.769	0.825	0.108	0.875	0.18	0.507	0.351	0.395	-0.137466	4.01838	-0.092	3.82581	1.06194	0.0181189
200	0.369	0.734	0.77	0.791	0.095	0.834	0.182	0.406	0.343	0.398	-0.476374	4.00476	-0.312	3.80468	1.06184	0.0183253
210	0.354	0.746	0.794	0.807	0.094	0.875	0.193	0.428	0.334	0.372	0.0500503	4.09917	-0.012	3.97485	1.06153	0.0183157
220	0.3	0.733	0.784	0.859	0.093	0.833	0.206	0.333	0.385	0.389	-0.379339	3.78023	-0.34	3.58638	1.06379	0.0173819
230	0.259	0.715	0.79	0.907	0.057	0.845	0.21	0.317	0.365	0.357	-0.833365	4.01648	-0.712	3.84117	1.06211	0.0194336
240	0.189	0.692	0.84	0.954	0.068	0.844	0.256	0.288	0.3	0.458	-0.509818	3.65788	-0.444	3.4378	1.06431	0.0171019
250	0.148	0.655	0.858	0.938	0.076	0.839	0.26	0.308	0.265	0.487	-0.71052	3.55014	-0.664	3.34866	1.06463	0.0169306
260	0.214	0.601	0.784	0.945	0.097	0.884	0.261	0.328	0.195	0.546	-0.645024	3.57024	-0.58	3.45478	1.06442	0.0163121
270	0.233	0.621	0.821	0.959	0.089	0.834	0.244	0.32	0.249	0.571	-0.277283	3.73264	-0.236	3.63245	1.06404	0.0167636
280	0.243	0.612	0.8	0.964	0.107	0.749	0.204	0.263	0.384	0.555	-0.504109	3.87537	-0.476	3.64637	1.06326	0.0186279
290	0.278	0.62	0.793	0.96	0.13	0.762	0.193	0.232	0.282	0.519	-1.00668	3.79363	-0.924	3.54787	1.06278	0.0176329
300	0.313	0.578	0.808	0.975	0.142	0.712	0.163	0.197	0.242	0.589	-1.2807	4.06804	-1.124	3.86037	1.0609	0.0200533
310	0.303	0.652	0.812	0.964	0.184	0.722	0.211	0.232	0.201	0.559	-0.676286	3.97911	-0.64	3.88698	1.06219	0.0184268
320	0.308	0.681	0.865	0.978	0.193	0.703	0.226	0.201	0.226	0.626	0.0661508	3.82376	0.028	3.64002	1.06327	0.017686
330	0.263	0.764	0.852	0.993	0.267	0.699	0.266	0.126	0.273	0.69	0.717513	3.81006	0.772	3.62413	1.06371	0.0182464
340	0.27	0.786	0.876	1.0	0.259	0.746	0.231	0.154	0.236	0.628	0.740664	3.72646	0.744	3.52353	1.06363	0.0170246
350	0.277	0.765	0.882	1.0	0.252	0.856	0.196	0.159	0.284	0.57	1.04223	3.63156	0.964	3.48928	1.06368	0.0172374
360	0.29	0.781	0.827	1.0	0.206	0.875	0.22	0.119	0.308	0.534	0.74647	3.68534	0.64	3.48923	1.06371	0.0166542
