cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.517	0.396	0.523	0.457	0.46	0.499	0.533	0.479	0.52	0.535	-0.919839	8.53489	-0.324	4.30675	1.04117	0.0292723
20	0.515	0.477	0.561	0.555	0.399	0.602	0.621	0.425	0.481	0.486	1.58002	9.11247	0.488	4.51959	1.03747	0.0286297
30	0.461	0.385	0.452	0.609	0.355	0.684	0.577	0.305	0.448	0.493	-3.01581	8.4756	-0.924	4.25658	1.04098	0.0293868
40	0.494	0.368	0.495	0.622	0.356	0.666	0.637	0.281	0.482	0.533	-1.1388	8.92179	-0.264	4.37087	1.03821	0.0287276
50	0.579	0.362	0.405	0.629	0.312	0.72	0.669	0.261	0.58	0.59	1.64935	8.09488	0.428	4.06767	1.04034	0.0283756
60	0.61	0.406	0.438	0.62	0.337	0.788	0.641	0.253	0.491	0.575	2.00335	8.42112	0.636	4.19413	1.03832	0.0282183
70	0.632	0.452	0.421	0.659	0.433	0.754	0.598	0.268	0.433	0.602	3.19939	8.4451	1.008	4.1175	1.03842	0.0286561
80	0.535	0.399	0.41	0.662	0.413	0.722	0.617	0.265	0.437	0.547	0.0707148	8.26751	0.028	4.08615	1.04015	0.0279464
90	0.665	0.371	0.377	0.674	0.366	0.758	0.607	0.338	0.498	0.609	3.58906	8.65923	1.052	4.30934	1.03779	0.0290782
100	0.723	0.382	0.34	0.651	0.324	0.704	0.562	0.295	0.548	0.571	1.471	8.57305	0.4	4.30687	1.04194	0.0286721
110	0.723	0.348	0.291	0.747	0.243	0.664	0.553	0.372	0.535	0.621	1.57952	8.4146	0.388	4.10306	1.04147	0.0292516
120	0.793	0.306	0.248	0.699	0.271	0.673	0.525	0.349	0.504	0.691	1.05849	8.21497	0.236	4.10683	1.04302	0.0284734
130	0.733	0.33	0.227	0.697	0.315	0.631	0.502	0.388	0.476	0.704	-0.0121588	7.72023	0.012	3.84987	1.04405	0.0280951
140	0.763	0.42	0.237	0.708	0.351	0.573	0.443	0.42	0.395	0.728	0.421373	8.30171	0.152	4.14865	1.04137	0.0289063
150	0.767	0.428	0.208	0.673	0.391	0.539	0.372	0.418	0.361	0.762	-1.24621	8.33392	-0.324	4.13972	1.03924	0.0282356
160	0.876	0.419	0.167	0.686	0.368	0.583	0.364	0.436	0.387	0.74	0.56021	7.99414	0.104	3.91764	1.04225	0.0273073
170	0.836	0.442	0.23	0.661	0.402	0.539	0.41	0.388	0.437	0.8	1.88875	8.37507	0.58	4.14656	1.03931	0.0277322
180	0.883	0.449	0.171	0.593	0.313	0.575	0.376	0.418	0.407	0.824	-0.0422858	8.21278	0.036	4.08412	1.03961	0.0283223
190	0.796	0.389	0.126	0.613	0.338	0.638	0.355	0.399	0.425	0.875	-0.796748	8.33255	-0.184	4.15315	1.04152	0.0281757
200	0.84	0.408	0.121	0.605	0.343	0.706	0.305	0.361	0.41	0.887	0.0543468	7.94922	-0.056	3.88987	1.04159	0.0279012
210	0.848	0.416	0.109	0.619	0.278	0.704	0.34	0.315	0.454	0.873	-0.608845	7.17714	-0.176	3.58814	1.04394	0.0264593
220	0.857	0.382	0.116	0.592	0.218	0.739	0.317	0.295	0.435	0.856	-2.54168	7.50779	-0.772	3.67683	1.04061	0.0271982
230	0.929	0.341	0.106	0.609	0.198	0.729	0.215	0.309	0.449	0.908	-2.7412	7.61517	-0.828	3.67988	1.0416	0.028325
240	0.933	0.267	0.14	0.555	0.164	0.782	0.177	0.321	0.51	0.913	-2.97609	6.87342	-0.952	3.3723	1.0437	0.0282469
250	0.943	0.319	0.108	0.555	0.117	0.803	0.172	0.386	0.573	0.924	-1.25497	6.78795	-0.4	3.34999	1.04677	0.0263514
260	0.936	0.342	0.128	0.514	0.129	0.79	0.133	0.438	0.594	0.933	-0.933112	6.93313	-0.252	3.43629	1.04564	0.0263942
270	0.953	0.288	0.154	0.545	0.115	0.875	0.125	0.4	0.683	0.945	0.989677	6.98918	0.332	3.4248	1.04667	0.027122
280	0.97	0.214	0.211	0.561	0.073	0.884	0.131	0.398	0.668	0.948	0.931035	7.01157	0.232	3.3106	1.04612	0.0267089
290	0.979	0.177	0.22	0.498	0.071	0.877	0.114	0.453	0.668	0.926	-0.234157	6.64913	-0.068	3.29987	1.04817	0.0263419
300	0.97	0.167	0.262	0.441	0.106	0.852	0.18	0.528	0.766	0.924	2.54571	7.18014	0.784	3.56015	1.04378	0.0281672
310	0.984	0.114	0.345	0.428	0.079	0.88	0.209	0.483	0.745	0.95	2.91918	6.7206	0.868	3.27108	1.04618	0.0270713
320	0.999	0.151	0.31	0.484	0.053	0.894	0.251	0.416	0.777	0.922	3.62247	6.69085	1.028	3.28341	1.04264	0.0275459
330	1.0	0.138	0.308	0.476	0.046	0.889	0.214	0.358	0.781	0.952	2.34042	6.99557	0.648	3.49005	1.0445	0.0275139
340	1.0	0.113	0.246	0.532	0.084	0.889	0.211	0.332	0.765	0.951	1.59693	6.58881	0.492	3.22657	1.04736	0.0268212
350	1.0	0.107	0.226	0.453	0.089	0.928	0.201	0.265	0.693	0.955	-1.42394	6.45437	-0.332	3.19722	1.04819	0.026293
360	1.0	0.085	0.213	0.52	0.059	0.918	0.239	0.298	0.805	0.943	1.4036	6.10791	0.32	3.05094	1.05011	0.0255881
370	1.0	0.091	0.18	0.5	0.052	0.925	0.296	0.282	0.721	0.953	0.0191315	5.80015	0.0	2.75957	1.05349	0.0245345
380	1.0	0.077	0.161	0.542	0.071	0.872	0.305	0.31	0.664	0.933	-0.823378	6.51551	-0.26	3.17373	1.04824	0.026128
390	1.0	0.104	0.123	0.547	0.07	0.919	0.353	0.368	0.672	0.957	1.2911	6.61277	0.452	3.30599	1.04708	0.0265305
400	1.0	0.112	0.185	0.567	0.07	0.937	0.267	0.351	0.621	0.946	0.91073	6.86874	0.224	3.35206	1.04656	0.0268123
