cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.506	0.443	0.496	0.479	0.513	0.46	0.527	0.543	0.54	0.635	1.26173	6.1444	0.568	4.46736	1.04858	0.0251024
20	0.485	0.413	0.526	0.48	0.446	0.542	0.5	0.43	0.502	0.62	-0.439406	6.22225	-0.224	4.56503	1.0494	0.0256325
30	0.394	0.489	0.543	0.442	0.5	0.621	0.568	0.485	0.509	0.625	1.38838	6.18817	0.704	4.51765	1.04922	0.0255328
40	0.412	0.408	0.629	0.338	0.498	0.573	0.564	0.504	0.517	0.681	1.09081	5.6483	0.496	4.06485	1.05186	0.0242207
50	0.421	0.419	0.634	0.247	0.395	0.674	0.554	0.473	0.485	0.667	-0.316049	6.12574	-0.124	4.46144	1.0494	0.0253024
60	0.454	0.376	0.621	0.298	0.352	0.66	0.548	0.501	0.532	0.661	0.0924268	5.66812	0.012	4.1678	1.05282	0.0245676
70	0.412	0.338	0.602	0.253	0.336	0.679	0.608	0.58	0.555	0.694	0.51025	5.90411	0.228	4.3222	1.05055	0.0244692
80	0.411	0.306	0.583	0.233	0.365	0.649	0.654	0.624	0.528	0.713	0.549622	5.75459	0.264	4.27444	1.05199	0.024689
90	0.426	0.295	0.644	0.25	0.323	0.72	0.589	0.63	0.534	0.686	0.676348	5.50619	0.388	4.01419	1.05417	0.0240415
100	0.38	0.258	0.624	0.217	0.232	0.742	0.611	0.68	0.612	0.619	-0.329308	5.2309	-0.1	3.81722	1.05478	0.0228983
110	0.419	0.217	0.581	0.245	0.249	0.798	0.648	0.671	0.63	0.55	0.017961	5.60562	0.032	4.06152	1.05278	0.0231883
120	0.433	0.277	0.544	0.157	0.17	0.776	0.617	0.647	0.653	0.592	-1.16459	5.64657	-0.536	4.1438	1.05216	0.0246954
130	0.365	0.318	0.534	0.127	0.171	0.773	0.664	0.619	0.677	0.641	-0.871825	5.42506	-0.444	4.03229	1.05309	0.0237005
140	0.458	0.353	0.543	0.16	0.165	0.735	0.719	0.515	0.713	0.638	0.00319273	5.46628	-0.004	3.99699	1.05412	0.0239759
150	0.512	0.352	0.593	0.125	0.135	0.772	0.775	0.444	0.674	0.599	-0.116276	5.31546	-0.076	3.86783	1.05414	0.0234516
160	0.552	0.396	0.579	0.064	0.184	0.737	0.804	0.382	0.686	0.594	-0.036778	5.57609	-0.088	4.03097	1.05347	0.0237804
170	0.592	0.413	0.623	0.047	0.164	0.703	0.854	0.239	0.714	0.519	-0.975836	5.18996	-0.528	3.74878	1.05523	0.0229575
180	0.595	0.434	0.597	0.053	0.122	0.759	0.867	0.226	0.714	0.462	-1.43831	5.21172	-0.684	3.81172	1.05382	0.0231317
190	0.528	0.418	0.569	0.048	0.08	0.76	0.822	0.237	0.758	0.369	-3.34925	5.31094	-1.644	3.88322	1.04889	0.0255283
200	0.602	0.376	0.651	0.037	0.094	0.742	0.865	0.282	0.697	0.343	-2.44551	5.21296	-1.244	3.72347	1.05209	0.0248728
210	0.508	0.293	0.611	0.056	0.057	0.734	0.882	0.232	0.755	0.404	-3.72448	5.42373	-1.872	3.92714	1.04846	0.0261101
220	0.525	0.288	0.584	0.042	0.07	0.724	0.876	0.255	0.814	0.466	-2.84603	4.9896	-1.424	3.56168	1.05243	0.024212
230	0.478	0.199	0.649	0.03	0.076	0.743	0.861	0.325	0.851	0.465	-2.50913	4.94049	-1.292	3.48641	1.05367	0.0240378
240	0.479	0.233	0.715	0.028	0.096	0.708	0.843	0.308	0.896	0.434	-2.26332	5.13864	-1.04	3.71618	1.05217	0.0235856
250	0.46	0.234	0.698	0.031	0.126	0.706	0.861	0.353	0.906	0.467	-1.39073	4.56783	-0.632	3.34768	1.05778	0.0212713
260	0.502	0.278	0.782	0.029	0.132	0.718	0.901	0.318	0.904	0.52	0.526002	4.83593	0.336	3.50652	1.05712	0.0215944
270	0.421	0.219	0.785	0.019	0.14	0.702	0.916	0.329	0.906	0.51	-0.398231	4.7893	-0.212	3.432	1.05766	0.0216824
280	0.392	0.193	0.786	0.044	0.127	0.729	0.959	0.291	0.931	0.443	-0.804239	4.62871	-0.42	3.34155	1.0578	0.0209672
290	0.35	0.184	0.814	0.054	0.113	0.71	0.947	0.293	0.927	0.438	-1.38539	4.45243	-0.68	3.17833	1.05785	0.0212475
300	0.353	0.147	0.772	0.043	0.141	0.671	0.971	0.321	0.949	0.446	-1.51768	4.69191	-0.744	3.39611	1.05606	0.0217968
310	0.415	0.131	0.82	0.033	0.154	0.704	0.963	0.293	0.96	0.417	-0.854415	4.65191	-0.44	3.26492	1.05812	0.0212244
320	0.489	0.164	0.816	0.053	0.218	0.594	0.946	0.348	0.948	0.51	0.670337	4.78078	0.344	3.46434	1.05736	0.0221791
330	0.444	0.16	0.801	0.019	0.199	0.61	0.945	0.412	0.939	0.536	0.298432	5.14673	0.26	3.65721	1.05557	0.0228015
340	0.441	0.184	0.748	0.022	0.213	0.633	0.96	0.412	0.931	0.616	1.38224	4.84507	0.64	3.48233	1.05593	0.0225136
350	0.367	0.147	0.726	0.06	0.197	0.584	0.995	0.391	0.951	0.641	0.586439	5.02783	0.236	3.63024	1.05645	0.0224001
360	0.306	0.159	0.734	0.079	0.176	0.562	0.991	0.316	0.941	0.684	-0.543973	4.50587	-0.208	3.21144	1.0592	0.0205276
370	0.237	0.248	0.749	0.068	0.143	0.576	0.964	0.283	0.914	0.658	-1.27658	4.62248	-0.64	3.24892	1.05818	0.0220237
380	0.212	0.267	0.784	0.037	0.131	0.587	0.966	0.318	0.894	0.64	-1.41953	4.7816	-0.656	3.44694	1.05646	0.0222719
390	0.198	0.261	0.782	0.039	0.096	0.59	0.976	0.264	0.903	0.577	-2.60345	4.53272	-1.256	3.23657	1.05517	0.0226007
400	0.17	0.298	0.805	0.029	0.108	0.597	0.987	0.28	0.905	0.611	-1.65746	4.69933	-0.84	3.39492	1.05627	0.0217927
410	0.192	0.274	0.77	0.046	0.084	0.654	0.994	0.257	0.877	0.638	-1.59785	4.57003	-0.856	3.29742	1.05736	0.0221148
420	0.176	0.301	0.764	0.051	0.076	0.722	1.0	0.204	0.926	0.707	-0.633827	4.51096	-0.292	3.28761	1.05937	0.0202874
430	0.158	0.337	0.841	0.032	0.042	0.718	1.0	0.186	0.935	0.729	-0.0914173	4.3111	-0.088	3.07948	1.06061	0.020013
440	0.11	0.399	0.836	0.054	0.072	0.728	1.0	0.182	0.941	0.766	0.736306	4.34209	0.352	3.10215	1.06046	0.019761
450	0.12	0.429	0.84	0.051	0.038	0.664	1.0	0.249	0.891	0.735	0.154782	4.59708	0.068	3.21871	1.05793	0.020144
460	0.11	0.363	0.845	0.055	0.053	0.576	1.0	0.187	0.922	0.703	-1.40868	4.16998	-0.744	2.92705	1.0597	0.0197186
470	0.089	0.311	0.873	0.06	0.061	0.573	1.0	0.204	0.887	0.628	-2.50414	4.49071	-1.256	3.15124	1.05498	0.0224914
480	0.139	0.309	0.831	0.071	0.05	0.586	1.0	0.214	0.906	0.65	-1.91932	4.75916	-0.976	3.45707	1.05516	0.0225556
490	0.177	0.339	0.872	0.051	0.074	0.569	1.0	0.227	0.93	0.727	-0.30057	4.21625	-0.136	3.01989	1.06073	0.0190672
500	0.152	0.356	0.84	0.063	0.094	0.612	1.0	0.154	0.947	0.685	-0.746111	4.50651	-0.388	3.24569	1.05912	0.0205081
510	0.209	0.43	0.887	0.071	0.092	0.59	1.0	0.126	0.942	0.678	0.194732	4.5415	0.1	3.32085	1.05934	0.0208208
520	0.214	0.315	0.896	0.055	0.059	0.631	1.0	0.115	0.93	0.628	-1.19836	4.22303	-0.628	3.00927	1.05977	0.019546
530	0.157	0.349	0.899	0.025	0.038	0.714	1.0	0.117	0.957	0.587	-1.09914	4.09789	-0.628	2.90353	1.06116	0.0197164
540	0.134	0.395	0.897	0.027	0.023	0.749	1.0	0.141	0.962	0.535	-1.19214	4.0657	-0.548	3.03812	1.06066	0.0191288
550	0.159	0.428	0.933	0.031	0.0	0.789	1.0	0.197	0.992	0.5	0.266163	4.07985	0.116	2.89193	1.06158	0.0186334
560	0.204	0.466	0.846	0.011	0.0	0.815	1.0	0.16	0.988	0.468	-0.151085	4.18143	-0.168	2.95113	1.06156	0.0190585
570	0.265	0.446	0.828	0.018	0.0	0.727	1.0	0.112	0.995	0.493	-0.843606	4.0587	-0.464	2.81862	1.06152	0.0191642
580	0.211	0.482	0.889	0.023	0.0	0.679	1.0	0.123	1.0	0.615	0.0287244	4.24442	0.088	3.00038	1.06075	0.0191648
590	0.195	0.479	0.897	0.016	0.0	0.63	1.0	0.075	1.0	0.626	-0.832784	4.30087	-0.328	3.08406	1.05976	0.0197768
600	0.226	0.489	0.903	0.015	0.0	0.66	1.0	0.155	1.0	0.555	0.0773354	4.16924	0.012	2.84958	1.06103	0.0186246
610	0.221	0.48	0.938	0.0	0.0	0.589	1.0	0.138	1.0	0.607	-0.203154	4.10044	-0.108	2.94715	1.06182	0.0187518
620	0.223	0.574	0.983	0.0	0.0	0.592	1.0	0.166	1.0	0.602	1.09974	4.17399	0.56	2.90228	1.05997	0.0191498
630	0.274	0.561	0.955	0.0	0.0	0.542	1.0	0.214	1.0	0.619	1.38122	4.6532	0.66	3.2683	1.05682	0.0213465
640	0.237	0.632	0.973	0.0	0.0	0.498	1.0	0.158	1.0	0.652	1.33004	4.20443	0.6	2.94913	1.05917	0.0195078
650	0.24	0.607	0.982	0.0	0.0	0.469	1.0	0.152	1.0	0.682	1.08907	4.01642	0.528	2.80445	1.06138	0.0194085
660	0.273	0.612	0.981	0.0	0.0	0.398	1.0	0.101	1.0	0.688	0.578862	3.9351	0.212	2.77894	1.06229	0.017994
670	0.247	0.631	0.985	0.0	0.0	0.358	1.0	0.147	1.0	0.645	0.0277301	4.16805	0.052	2.97574	1.06069	0.0187852
680	0.331	0.636	0.995	0.0	0.0	0.328	1.0	0.147	1.0	0.578	0.158978	4.07873	0.06	2.88532	1.06127	0.0182494
690	0.34	0.505	0.998	0.0	0.0	0.359	1.0	0.186	1.0	0.538	-0.63597	4.13539	-0.296	2.8971	1.06084	0.0185393
700	0.277	0.514	1.0	0.0	0.0	0.321	1.0	0.238	1.0	0.555	-0.777384	4.21736	-0.38	3.0136	1.05984	0.0191912
710	0.232	0.548	1.0	0.0	0.0	0.307	1.0	0.287	1.0	0.603	0.00618304	4.12589	-0.092	2.94498	1.06149	0.0190811
720	0.234	0.555	1.0	0.0	0.0	0.31	1.0	0.246	1.0	0.582	-0.507725	4.10956	-0.292	2.9428	1.06113	0.0189281
730	0.239	0.616	1.0	0.0	0.0	0.297	1.0	0.187	1.0	0.597	-0.470409	4.01008	-0.256	2.79967	1.0619	0.0183352
740	0.266	0.696	1.0	0.0	0.0	0.332	1.0	0.171	1.0	0.518	-0.181051	3.93448	-0.068	2.80341	1.0624	0.0178319
750	0.298	0.725	1.0	0.0	0.0	0.28	1.0	0.172	1.0	0.546	0.233135	3.78657	0.084	2.66216	1.0637	0.0176333
760	0.28	0.676	1.0	0.0	0.0	0.197	0.999	0.19	1.0	0.636	-0.196995	3.9687	-0.088	2.80142	1.06244	0.0181089
770	0.376	0.688	1.0	0.0	0.0	0.184	1.0	0.165	1.0	0.639	0.339387	3.95478	0.208	2.82075	1.06261	0.0182715
780	0.4	0.69	1.0	0.0	0.0	0.185	1.0	0.142	1.0	0.622	0.179172	3.8789	0.156	2.70968	1.06258	0.0173166
790	0.465	0.717	1.0	0.0	0.0	0.172	1.0	0.074	1.0	0.644	0.540453	3.71355	0.288	2.67645	1.06372	0.016992
800	0.425	0.754	1.0	0.0	0.0	0.167	1.0	0.092	1.0	0.672	0.894569	3.54094	0.44	2.38868	1.06449	0.0167208
810	0.4	0.703	1.0	0.0	0.0	0.147	1.0	0.069	1.0	0.651	-0.201957	3.75804	-0.12	2.68328	1.06351	0.0170486
