cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.497	0.47	0.493	0.485	0.477	0.497	0.527	0.494	0.483	0.5	-1.12458	8.75833	-0.308	4.31351	1.04074	0.0288402
10	0.538	0.47	0.53	0.512	0.45	0.467	0.512	0.507	0.491	0.501	-0.108367	8.08256	-0.088	4.09216	1.04207	0.028687
20	0.547	0.515	0.397	0.491	0.454	0.434	0.589	0.519	0.527	0.511	-0.201791	8.88817	-0.064	4.41303	1.03861	0.0285008
30	0.618	0.575	0.323	0.375	0.48	0.473	0.482	0.495	0.584	0.496	-1.26781	9.25446	-0.396	4.5945	1.03706	0.0290741
40	0.669	0.614	0.3	0.343	0.438	0.572	0.498	0.524	0.566	0.493	0.0868522	8.87358	0.068	4.37374	1.03871	0.0290874
50	0.74	0.629	0.273	0.369	0.443	0.555	0.558	0.619	0.592	0.499	3.69282	8.34979	1.108	4.10439	1.03755	0.0288484
60	0.817	0.659	0.266	0.364	0.533	0.607	0.516	0.541	0.547	0.564	5.32308	8.44027	1.656	4.1661	1.03669	0.0294361
70	0.83	0.728	0.235	0.328	0.549	0.518	0.505	0.554	0.484	0.482	2.97011	8.11259	0.852	4.10705	1.04002	0.0280119
80	0.873	0.774	0.271	0.314	0.563	0.54	0.537	0.572	0.507	0.537	6.24185	8.29009	1.952	4.11626	1.03356	0.0292816
90	0.895	0.724	0.258	0.272	0.567	0.532	0.501	0.625	0.364	0.516	3.37215	8.01042	1.016	4.00898	1.03947	0.0288298
100	0.871	0.693	0.24	0.296	0.551	0.512	0.49	0.668	0.406	0.517	3.56636	8.31999	0.976	4.12717	1.03847	0.0290201
110	0.85	0.677	0.19	0.348	0.512	0.455	0.457	0.603	0.434	0.457	-0.0873368	8.12782	-0.068	4.04228	1.04084	0.0279519
120	0.844	0.693	0.179	0.296	0.511	0.49	0.482	0.518	0.464	0.483	-0.0256244	8.58499	-0.16	4.21734	1.03972	0.0284394
130	0.869	0.689	0.185	0.301	0.499	0.462	0.37	0.493	0.473	0.434	-3.29332	8.19032	-0.9	4.10264	1.04026	0.029106
140	0.889	0.691	0.192	0.338	0.571	0.504	0.288	0.539	0.515	0.479	0.0806648	8.40451	0.024	4.22411	1.0418	0.0289007
150	0.879	0.753	0.131	0.376	0.491	0.536	0.255	0.53	0.512	0.543	-0.0327269	8.19394	0.024	4.12619	1.04231	0.0286851
160	0.869	0.738	0.116	0.426	0.482	0.543	0.254	0.47	0.536	0.575	-0.0423662	8.10496	0.036	4.03674	1.04133	0.0280214
170	0.918	0.832	0.094	0.356	0.411	0.536	0.267	0.368	0.522	0.619	-1.22832	7.97747	-0.308	3.82287	1.04224	0.0281705
