cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.484	0.495	0.499	0.505	0.478	0.491	0.498	0.501	0.484	0.487	-1.00607	8.36813	-0.312	4.10663	1.0446	0.102113
10	0.531	0.503	0.535	0.513	0.438	0.455	0.515	0.462	0.547	0.474	-0.211595	9.02592	-0.108	4.40945	1.04506	0.10323
20	0.513	0.491	0.583	0.507	0.407	0.498	0.415	0.426	0.576	0.438	-1.80536	8.83166	-0.584	4.39107	1.0319	0.088294
30	0.549	0.414	0.541	0.589	0.428	0.486	0.496	0.476	0.582	0.47	0.456869	8.93408	0.124	4.51679	1.04563	0.104323
40	0.486	0.372	0.491	0.536	0.396	0.456	0.514	0.6	0.492	0.454	-2.85554	9.10776	-0.812	4.50569	1.03848	0.094801
50	0.485	0.376	0.524	0.513	0.428	0.392	0.554	0.65	0.491	0.409	-2.34606	8.90369	-0.712	4.48434	1.03602	0.0927102
60	0.52	0.405	0.475	0.587	0.382	0.372	0.515	0.714	0.431	0.435	-2.46663	8.10735	-0.656	4.03214	1.04826	0.110232
70	0.485	0.411	0.535	0.596	0.461	0.309	0.522	0.803	0.491	0.375	-0.421375	8.62782	-0.048	4.33628	1.04742	0.10423
80	0.499	0.361	0.573	0.581	0.429	0.295	0.522	0.721	0.589	0.43	0.128918	7.99697	0.0	3.94349	1.0456	0.10285
90	0.567	0.336	0.534	0.569	0.391	0.321	0.574	0.701	0.571	0.509	1.1059	8.23425	0.292	4.15756	1.05185	0.110913
100	0.621	0.293	0.533	0.568	0.311	0.211	0.618	0.74	0.582	0.407	-1.74668	8.25248	-0.464	4.15249	1.04268	0.0995385
110	0.603	0.34	0.456	0.717	0.291	0.276	0.619	0.744	0.6	0.44	0.994655	8.51464	0.344	4.21202	1.04052	0.0950949
120	0.57	0.3	0.461	0.8	0.195	0.354	0.631	0.757	0.587	0.421	0.968053	8.40125	0.304	4.14608	1.04933	0.1091
130	0.497	0.311	0.461	0.842	0.188	0.406	0.57	0.739	0.601	0.386	-0.271843	7.98877	0.004	3.94247	1.05114	0.109664
140	0.517	0.376	0.51	0.886	0.244	0.398	0.553	0.622	0.665	0.443	2.9826	8.55614	0.856	4.23783	1.04653	0.103366
150	0.505	0.412	0.429	0.917	0.246	0.37	0.57	0.628	0.682	0.479	3.13112	8.53541	0.952	4.26263	1.04726	0.105266
160	0.456	0.4	0.431	0.911	0.264	0.372	0.503	0.691	0.723	0.521	3.6655	8.24909	1.088	4.10487	1.04889	0.109973
170	0.449	0.458	0.457	0.906	0.175	0.377	0.435	0.737	0.667	0.52	2.49549	8.04368	0.724	4.00549	1.05059	0.112635
180	0.519	0.504	0.536	0.828	0.169	0.289	0.458	0.739	0.597	0.517	2.01153	8.19946	0.624	4.07871	1.0476	0.10859
190	0.457	0.513	0.574	0.817	0.16	0.266	0.497	0.679	0.587	0.483	0.620779	8.08085	0.132	3.93619	1.05896	0.12068
200	0.507	0.429	0.603	0.801	0.13	0.264	0.507	0.727	0.533	0.495	-0.360705	7.50217	-0.016	3.71529	1.04924	0.108082
210	0.5	0.44	0.554	0.819	0.11	0.271	0.525	0.823	0.579	0.433	0.396028	7.79679	0.216	3.83023	1.05007	0.106646
220	0.604	0.423	0.506	0.783	0.096	0.303	0.58	0.874	0.574	0.373	1.5861	7.3462	0.464	3.69052	1.05531	0.112624
230	0.647	0.409	0.448	0.847	0.156	0.281	0.586	0.847	0.545	0.349	1.68614	7.9209	0.46	3.90524	1.04339	0.101812
240	0.69	0.387	0.447	0.846	0.124	0.228	0.529	0.864	0.52	0.288	-0.920535	8.20042	-0.308	4.04498	1.04769	0.107348
250	0.743	0.336	0.397	0.823	0.161	0.271	0.559	0.88	0.484	0.331	-0.0524798	7.74902	-0.06	3.78643	1.04527	0.0999414
260	0.759	0.427	0.427	0.826	0.143	0.233	0.516	0.845	0.381	0.442	-0.063117	7.90294	-0.004	3.93025	1.04706	0.107211
270	0.852	0.406	0.453	0.839	0.155	0.188	0.555	0.873	0.358	0.51	2.62934	7.64931	0.756	3.82959	1.0514	0.109014
