cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.341	0.496	0.516	0.537	0.535	0.513	0.506	0.503	0.501	0.486	-0.498422	6.02642	-0.264	4.34696	1.05004	0.0244021
20	0.369	0.496	0.551	0.495	0.586	0.542	0.53	0.548	0.456	0.449	0.134978	5.8922	0.088	4.25352	1.05147	0.0243433
30	0.413	0.502	0.469	0.555	0.61	0.627	0.53	0.468	0.503	0.444	1.01464	6.17973	0.484	4.49423	1.04945	0.0253401
40	0.377	0.523	0.461	0.513	0.61	0.606	0.506	0.5	0.561	0.427	0.632476	5.67691	0.336	4.25809	1.05286	0.0244361
50	0.448	0.576	0.485	0.495	0.624	0.578	0.467	0.479	0.542	0.362	0.494752	5.95375	0.224	4.32889	1.05089	0.0250826
60	0.445	0.48	0.483	0.479	0.522	0.599	0.395	0.407	0.516	0.359	-2.53695	5.82773	-1.26	4.28312	1.04881	0.0252426
70	0.485	0.545	0.426	0.44	0.445	0.595	0.389	0.501	0.484	0.332	-2.81717	5.98757	-1.432	4.39864	1.04782	0.0256206
80	0.489	0.464	0.42	0.438	0.464	0.577	0.364	0.532	0.522	0.331	-3.3226	5.93641	-1.596	4.33525	1.04686	0.0265624
90	0.516	0.436	0.419	0.383	0.454	0.599	0.374	0.583	0.635	0.373	-1.75291	5.91828	-0.912	4.31433	1.05016	0.025986
100	0.56	0.453	0.381	0.424	0.375	0.594	0.41	0.569	0.609	0.459	-1.29823	6.02425	-0.664	4.41793	1.05003	0.0251852
110	0.538	0.427	0.369	0.437	0.482	0.666	0.413	0.558	0.613	0.549	0.637125	5.75722	0.208	4.21714	1.05231	0.0246188
120	0.578	0.426	0.385	0.337	0.541	0.688	0.499	0.55	0.628	0.465	0.855804	6.17551	0.388	4.51067	1.04942	0.0252709
130	0.624	0.461	0.341	0.371	0.502	0.715	0.402	0.512	0.658	0.501	0.75785	5.80064	0.348	4.29556	1.05129	0.024577
140	0.57	0.399	0.387	0.322	0.562	0.759	0.301	0.576	0.646	0.466	-0.220859	5.92253	-0.048	4.36024	1.05119	0.0246912
150	0.607	0.403	0.473	0.285	0.55	0.69	0.173	0.564	0.616	0.499	-1.20543	5.59228	-0.56	4.05454	1.05195	0.0245562
160	0.589	0.464	0.452	0.358	0.488	0.629	0.165	0.603	0.7	0.532	-0.182512	5.74885	-0.08	4.16801	1.05217	0.0250857
170	0.588	0.587	0.494	0.358	0.373	0.62	0.212	0.549	0.655	0.475	-0.760717	5.92842	-0.356	4.25552	1.05046	0.024532
180	0.58	0.595	0.521	0.42	0.398	0.565	0.185	0.622	0.635	0.472	-0.160022	6.00598	-0.028	4.32627	1.04984	0.0247096
190	0.555	0.559	0.487	0.508	0.367	0.537	0.222	0.629	0.58	0.446	-0.950836	5.76443	-0.44	4.25424	1.05119	0.0249826
200	0.561	0.588	0.492	0.53	0.301	0.546	0.253	0.672	0.511	0.452	-0.8594	5.80264	-0.376	4.22069	1.05113	0.0240425
210	0.529	0.604	0.542	0.582	0.326	0.494	0.299	0.622	0.554	0.477	0.100685	5.68687	0.116	4.09831	1.05218	0.0243388
220	0.516	0.63	0.524	0.595	0.365	0.552	0.185	0.607	0.528	0.529	0.260645	5.91611	0.124	4.3523	1.05106	0.0245713
230	0.52	0.583	0.465	0.536	0.425	0.566	0.122	0.618	0.538	0.497	-1.05085	5.74795	-0.52	4.18625	1.05141	0.0247959
240	0.587	0.555	0.563	0.579	0.401	0.625	0.127	0.569	0.575	0.495	0.497769	5.56171	0.304	4.09746	1.0532	0.023995
250	0.574	0.603	0.489	0.598	0.353	0.564	0.137	0.547	0.627	0.522	0.0628747	6.04125	0.056	4.3675	1.0501	0.0250356
260	0.608	0.624	0.486	0.58	0.446	0.636	0.196	0.403	0.608	0.55	1.08751	5.85221	0.548	4.32494	1.05139	0.0246136
270	0.571	0.671	0.492	0.545	0.433	0.671	0.183	0.269	0.677	0.623	1.04351	5.90558	0.54	4.3555	1.05156	0.0247925
280	0.59	0.638	0.472	0.575	0.382	0.671	0.172	0.273	0.676	0.611	0.52783	5.82913	0.24	4.20783	1.05081	0.0244922
290	0.553	0.592	0.489	0.569	0.341	0.638	0.22	0.291	0.74	0.666	0.754216	5.57766	0.396	4.03531	1.05276	0.0237392
300	0.456	0.553	0.493	0.594	0.369	0.559	0.284	0.347	0.848	0.659	1.39403	5.92908	0.648	4.3527	1.04948	0.0246715
310	0.514	0.595	0.469	0.65	0.332	0.518	0.301	0.346	0.816	0.639	1.30097	5.69811	0.72	4.14487	1.0518	0.0251289
320	0.446	0.613	0.461	0.716	0.407	0.555	0.234	0.311	0.83	0.65	1.69151	5.54329	0.892	4.01155	1.05349	0.0248818
330	0.356	0.529	0.445	0.604	0.406	0.635	0.188	0.325	0.856	0.695	0.22682	5.83251	0.156	4.27132	1.05189	0.0243663
340	0.31	0.43	0.432	0.649	0.393	0.62	0.157	0.416	0.831	0.681	-0.641237	5.77865	-0.324	4.22027	1.0524	0.0244411
350	0.3	0.42	0.419	0.752	0.441	0.516	0.115	0.409	0.847	0.712	-0.546652	5.269	-0.276	3.85039	1.05486	0.0229181
360	0.282	0.468	0.441	0.701	0.468	0.646	0.083	0.397	0.815	0.763	0.55213	5.48056	0.256	3.94126	1.0538	0.0237533
