cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.486	0.467	0.636	0.468	0.491	0.476	0.523	0.499	0.476	0.446	-0.503126	8.93795	-0.128	4.41345	1.03933	0.0290971
20	0.582	0.546	0.599	0.476	0.469	0.469	0.503	0.564	0.441	0.446	1.39621	8.36326	0.38	4.19652	1.04016	0.0284585
30	0.575	0.587	0.632	0.479	0.474	0.407	0.434	0.533	0.384	0.452	-0.455924	8.43567	-0.172	4.21402	1.04065	0.0284767
40	0.614	0.617	0.626	0.466	0.43	0.42	0.49	0.55	0.476	0.431	1.76869	9.16048	0.48	4.56808	1.03655	0.0285996
50	0.646	0.539	0.694	0.498	0.454	0.32	0.568	0.534	0.513	0.39	2.00801	8.67854	0.624	4.23302	1.03805	0.0281237
60	0.675	0.575	0.644	0.449	0.428	0.369	0.562	0.524	0.562	0.396	2.41307	8.56434	0.736	4.2735	1.03821	0.0282385
70	0.616	0.561	0.661	0.415	0.441	0.365	0.56	0.589	0.582	0.444	3.26128	8.36098	0.936	4.1999	1.04043	0.0294224
80	0.607	0.592	0.642	0.448	0.453	0.321	0.493	0.575	0.588	0.515	2.9162	8.07536	0.936	4.07002	1.04068	0.0287369
90	0.648	0.479	0.592	0.471	0.351	0.341	0.473	0.575	0.53	0.594	0.943915	8.77043	0.216	4.37901	1.04062	0.0286661
100	0.679	0.446	0.649	0.441	0.385	0.319	0.362	0.541	0.534	0.674	0.488146	8.19726	0.12	4.05197	1.04089	0.0277134
110	0.733	0.431	0.677	0.437	0.337	0.329	0.27	0.61	0.494	0.61	-1.09053	8.80911	-0.288	4.28039	1.03814	0.0278769
120	0.817	0.412	0.692	0.474	0.335	0.335	0.33	0.561	0.507	0.57	0.306019	8.67241	0.132	4.22875	1.03828	0.0274288
130	0.832	0.372	0.618	0.544	0.4	0.346	0.354	0.557	0.409	0.647	1.11105	8.78262	0.316	4.35915	1.03778	0.0281095
140	0.891	0.382	0.613	0.509	0.418	0.38	0.367	0.514	0.399	0.667	1.95072	8.55872	0.56	4.27586	1.03875	0.028035
150	0.915	0.412	0.606	0.645	0.44	0.319	0.316	0.502	0.346	0.722	2.70387	8.25285	0.892	4.16064	1.0396	0.0283617
160	0.929	0.264	0.617	0.682	0.38	0.349	0.384	0.451	0.371	0.715	1.97099	7.78099	0.568	3.79185	1.04237	0.0286268
170	0.913	0.325	0.558	0.737	0.392	0.39	0.434	0.377	0.453	0.677	3.40072	8.41828	1.024	4.19841	1.03917	0.0286738
180	0.903	0.334	0.535	0.672	0.426	0.369	0.345	0.276	0.537	0.695	1.34027	8.76968	0.368	4.33569	1.03927	0.0284433
190	0.883	0.397	0.476	0.636	0.457	0.331	0.445	0.314	0.618	0.719	3.65323	8.10142	1.104	4.06722	1.03868	0.0287833
200	0.83	0.327	0.517	0.606	0.431	0.262	0.389	0.359	0.554	0.741	-0.0857041	8.40414	0.064	4.16252	1.04084	0.0284799
210	0.838	0.336	0.553	0.63	0.398	0.229	0.369	0.342	0.662	0.629	-0.384067	7.97104	-0.056	3.97145	1.04168	0.0274302
220	0.825	0.336	0.59	0.66	0.421	0.218	0.394	0.292	0.613	0.649	0.0830666	8.31685	-0.008	4.1437	1.04192	0.0283664
230	0.857	0.262	0.581	0.684	0.53	0.188	0.381	0.263	0.622	0.638	-0.00737019	7.67003	0.024	3.84877	1.04411	0.028083
