cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.507	0.576	0.442	0.586	0.476	0.456	0.521	0.533	0.542	0.534	2.19055	8.51078	0.692	4.26304	1.03997	0.0284749
20	0.398	0.554	0.448	0.595	0.482	0.423	0.59	0.559	0.551	0.515	1.27315	8.36805	0.46	4.13456	1.03994	0.0287455
30	0.444	0.484	0.397	0.55	0.441	0.417	0.615	0.523	0.606	0.497	-0.184023	8.82553	-0.104	4.35006	1.03956	0.0290766
40	0.447	0.522	0.457	0.557	0.452	0.429	0.57	0.537	0.594	0.521	1.20718	8.8181	0.344	4.29308	1.03939	0.0286834
50	0.422	0.619	0.41	0.548	0.496	0.347	0.617	0.623	0.639	0.47	2.24308	8.94009	0.764	4.40808	1.03597	0.0278291
60	0.397	0.506	0.422	0.671	0.493	0.356	0.656	0.563	0.671	0.431	2.3244	8.99887	0.664	4.49528	1.03525	0.0281736
70	0.4	0.449	0.487	0.507	0.459	0.384	0.703	0.516	0.658	0.419	-0.373258	8.533	-0.072	4.29135	1.03943	0.0287128
80	0.454	0.443	0.448	0.483	0.435	0.364	0.707	0.507	0.682	0.513	0.377554	8.69236	0.144	4.35996	1.03997	0.028536
90	0.376	0.433	0.365	0.482	0.436	0.46	0.766	0.42	0.709	0.445	-1.54143	8.64457	-0.432	4.28136	1.03961	0.0286976
100	0.395	0.3	0.362	0.562	0.451	0.495	0.79	0.398	0.697	0.415	-1.98893	8.18308	-0.54	4.06022	1.0405	0.0284543
110	0.402	0.308	0.399	0.607	0.471	0.498	0.785	0.399	0.716	0.351	-0.777175	7.9661	-0.256	3.92496	1.0421	0.0278367
120	0.377	0.381	0.33	0.533	0.475	0.54	0.792	0.367	0.702	0.31	-2.81444	8.21474	-0.772	4.07397	1.03839	0.0277723
130	0.332	0.406	0.315	0.483	0.458	0.533	0.817	0.434	0.629	0.287	-3.92647	8.51436	-1.224	4.12891	1.03758	0.0286768
140	0.321	0.478	0.391	0.407	0.414	0.569	0.879	0.451	0.548	0.343	-2.6013	8.58227	-0.796	4.30109	1.04011	0.0285614
150	0.338	0.415	0.383	0.408	0.412	0.547	0.885	0.533	0.512	0.369	-2.57827	8.4664	-0.792	4.14525	1.03761	0.0285856
160	0.342	0.359	0.278	0.284	0.345	0.597	0.891	0.599	0.553	0.387	-5.10112	7.879	-1.46	3.89908	1.03627	0.0281011
170	0.422	0.413	0.261	0.263	0.36	0.617	0.88	0.576	0.623	0.314	-3.591	8.30627	-1.084	4.10495	1.03792	0.0288703
180	0.506	0.425	0.193	0.243	0.262	0.611	0.883	0.654	0.669	0.326	-2.98962	8.75031	-0.912	4.29571	1.03718	0.0289458
190	0.6	0.446	0.219	0.355	0.255	0.539	0.905	0.734	0.682	0.301	0.616934	7.63109	0.144	3.80424	1.04325	0.0280458
200	0.562	0.416	0.218	0.263	0.206	0.602	0.903	0.732	0.701	0.321	-0.94914	7.34865	-0.304	3.59965	1.04512	0.0276627
210	0.559	0.396	0.163	0.233	0.242	0.635	0.915	0.716	0.676	0.335	-1.80472	7.79584	-0.52	3.7627	1.04388	0.0282948
220	0.564	0.393	0.153	0.234	0.277	0.615	0.916	0.727	0.698	0.344	-0.852539	8.16223	-0.316	3.99651	1.0422	0.0282884
230	0.653	0.415	0.178	0.196	0.198	0.708	0.923	0.8	0.686	0.28	0.710316	7.63945	0.148	3.7967	1.0447	0.0279514
240	0.587	0.428	0.138	0.205	0.13	0.77	0.922	0.741	0.687	0.174	-3.16117	7.08111	-0.872	3.51231	1.04263	0.0276309
250	0.648	0.354	0.152	0.294	0.121	0.783	0.952	0.759	0.712	0.233	0.0749315	7.19218	0.032	3.56095	1.04668	0.0267382
260	0.672	0.335	0.153	0.342	0.102	0.788	0.958	0.783	0.777	0.223	1.63226	7.44615	0.532	3.6824	1.0444	0.0283296
270	0.644	0.362	0.185	0.264	0.092	0.697	0.98	0.781	0.809	0.219	0.586543	7.44358	0.132	3.62005	1.04377	0.0278969
280	0.678	0.328	0.218	0.245	0.057	0.62	0.975	0.809	0.789	0.274	-0.117325	7.28546	-0.028	3.55535	1.04537	0.02743
290	0.647	0.315	0.247	0.298	0.046	0.606	0.965	0.803	0.825	0.321	0.991681	7.38089	0.292	3.65698	1.04535	0.0279566
300	0.584	0.229	0.291	0.242	0.026	0.695	0.946	0.855	0.81	0.265	-0.802604	6.71731	-0.228	3.37918	1.04706	0.0262801
310	0.634	0.203	0.244	0.238	0.049	0.718	0.949	0.869	0.804	0.258	-0.386228	6.881	-0.136	3.28193	1.0471	0.026797
