cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.535	0.481	0.371	0.476	0.554	0.542	0.407	0.401	0.49	0.446	-3.97956	8.8903	-1.188	4.33338	1.03705	0.0294616
20	0.528	0.569	0.368	0.565	0.632	0.554	0.403	0.321	0.533	0.49	-0.465735	8.86988	-0.148	4.33679	1.03868	0.0284372
30	0.49	0.584	0.253	0.556	0.629	0.594	0.388	0.328	0.464	0.46	-3.40061	8.34253	-1.016	4.01896	1.03784	0.028554
40	0.551	0.562	0.183	0.61	0.699	0.545	0.409	0.337	0.465	0.515	-1.48729	9.29881	-0.496	4.53642	1.03687	0.028406
50	0.646	0.667	0.214	0.667	0.657	0.567	0.41	0.301	0.499	0.521	2.06599	8.7533	0.596	4.25123	1.03994	0.0287501
60	0.597	0.608	0.247	0.681	0.588	0.483	0.428	0.275	0.555	0.43	-1.40328	9.18851	-0.432	4.38496	1.03765	0.0286738
70	0.55	0.572	0.216	0.763	0.553	0.499	0.428	0.272	0.566	0.412	-2.02156	8.69155	-0.676	4.17635	1.0395	0.0287889
80	0.545	0.625	0.155	0.763	0.552	0.522	0.401	0.187	0.555	0.422	-3.56247	7.9126	-1.092	3.73463	1.03954	0.028533
90	0.581	0.543	0.182	0.762	0.62	0.469	0.426	0.244	0.633	0.376	-2.20494	8.77668	-0.656	4.20154	1.03818	0.0286434
100	0.504	0.447	0.211	0.837	0.566	0.502	0.388	0.219	0.672	0.417	-2.9984	8.67466	-0.948	4.21531	1.03731	0.0294785
110	0.475	0.357	0.166	0.878	0.509	0.543	0.494	0.204	0.702	0.434	-3.17773	8.79498	-0.952	4.27765	1.03757	0.0283493
120	0.475	0.39	0.092	0.932	0.475	0.515	0.567	0.29	0.689	0.563	-0.387501	8.03591	-0.048	3.83812	1.04049	0.0276133
130	0.449	0.435	0.087	0.92	0.521	0.512	0.617	0.417	0.697	0.614	3.69621	8.09742	1.076	3.90496	1.03962	0.0292188
140	0.482	0.503	0.064	0.951	0.601	0.472	0.585	0.392	0.694	0.476	2.88312	8.51624	0.88	4.12743	1.03767	0.0281131
150	0.457	0.471	0.08	0.983	0.638	0.462	0.567	0.407	0.683	0.46	2.96053	8.08565	0.832	4.00548	1.03932	0.0280404
160	0.483	0.459	0.088	0.987	0.577	0.518	0.482	0.328	0.688	0.45	0.845846	8.79718	0.24	4.30761	1.039	0.0287392
170	0.468	0.473	0.091	0.992	0.572	0.482	0.429	0.32	0.66	0.456	-0.633522	8.47271	-0.228	4.22276	1.04085	0.0286899
180	0.415	0.461	0.112	0.982	0.568	0.354	0.416	0.379	0.707	0.433	-2.52573	8.21197	-0.692	4.01514	1.03907	0.0284448
190	0.411	0.547	0.107	0.985	0.571	0.341	0.373	0.369	0.699	0.441	-1.97353	8.23364	-0.624	4.06493	1.04101	0.0282985
200	0.548	0.523	0.09	0.996	0.617	0.338	0.303	0.344	0.713	0.439	-1.03045	8.04901	-0.356	3.91406	1.04054	0.028015
210	0.577	0.57	0.074	0.999	0.594	0.311	0.326	0.293	0.516	0.398	-4.52196	7.83432	-1.368	3.80704	1.03773	0.0285712
220	0.617	0.595	0.047	1.0	0.599	0.383	0.296	0.214	0.586	0.512	-2.22584	7.44029	-0.604	3.66251	1.0432	0.0275891
230	0.607	0.571	0.081	1.0	0.517	0.381	0.311	0.177	0.594	0.53	-2.91515	7.69349	-0.924	3.71346	1.0429	0.0290341
240	0.657	0.628	0.099	1.0	0.576	0.445	0.213	0.112	0.595	0.482	-2.60141	7.48005	-0.772	3.64398	1.04387	0.0276712
