cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.533	0.518	0.57	0.562	0.523	0.464	0.536	0.392	0.387	0.558	0.321267	6.16532	0.172	4.45804	1.05027	0.0250649
20	0.479	0.566	0.649	0.521	0.612	0.533	0.557	0.337	0.341	0.592	1.53281	5.95693	0.748	4.30971	1.05034	0.0255734
30	0.465	0.513	0.717	0.463	0.569	0.488	0.618	0.432	0.311	0.61	1.40739	5.64395	0.744	4.0723	1.05144	0.02449
40	0.458	0.57	0.636	0.442	0.599	0.553	0.604	0.343	0.299	0.614	0.889356	5.84824	0.472	4.21102	1.05034	0.0237222
50	0.407	0.484	0.653	0.505	0.597	0.564	0.562	0.322	0.256	0.585	-0.508158	5.75816	-0.26	4.11707	1.05159	0.0242346
60	0.405	0.486	0.697	0.479	0.673	0.625	0.548	0.416	0.353	0.572	2.00994	5.99267	1.016	4.35404	1.0489	0.0252158
70	0.404	0.364	0.749	0.365	0.706	0.53	0.672	0.335	0.362	0.645	1.04192	5.7695	0.528	4.16989	1.0512	0.0241256
80	0.404	0.363	0.725	0.24	0.735	0.532	0.623	0.335	0.461	0.645	0.341462	5.54865	0.252	3.95877	1.053	0.0235102
90	0.363	0.351	0.75	0.258	0.732	0.514	0.591	0.342	0.503	0.713	1.22059	5.9699	0.468	4.3913	1.05091	0.0253159
100	0.425	0.412	0.782	0.14	0.766	0.47	0.474	0.374	0.459	0.711	0.0507425	5.72294	0.052	4.16942	1.05177	0.0243868
110	0.445	0.493	0.777	0.175	0.851	0.469	0.548	0.3	0.433	0.695	1.34139	5.38315	0.744	3.94431	1.05359	0.0236004
120	0.489	0.493	0.795	0.198	0.774	0.505	0.463	0.282	0.504	0.731	1.95978	6.08482	0.936	4.41757	1.0488	0.0254735
130	0.469	0.499	0.769	0.17	0.801	0.518	0.438	0.256	0.487	0.719	0.975983	5.35714	0.504	3.88435	1.05424	0.0237903
140	0.447	0.402	0.696	0.143	0.805	0.455	0.41	0.178	0.57	0.79	-1.00565	5.44115	-0.416	3.92553	1.05362	0.0236716
150	0.461	0.467	0.662	0.221	0.807	0.427	0.373	0.148	0.589	0.792	-0.462614	5.63715	-0.212	4.05906	1.05216	0.0240096
160	0.466	0.512	0.703	0.251	0.802	0.467	0.414	0.176	0.602	0.762	1.26331	5.953	0.62	4.27975	1.04977	0.0251814
170	0.362	0.537	0.711	0.225	0.776	0.496	0.418	0.114	0.604	0.784	0.30783	5.61608	0.108	4.09657	1.05282	0.0238144
180	0.331	0.538	0.698	0.195	0.769	0.449	0.47	0.158	0.582	0.799	-0.0436953	5.65441	-0.044	4.0958	1.05287	0.0240883
