cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.467	0.511	0.512	0.583	0.449	0.508	0.511	0.495	0.495	0.535	1.08713	8.94121	0.264	4.38369	1.03874	0.0287683
20	0.456	0.517	0.519	0.521	0.423	0.528	0.611	0.464	0.511	0.521	0.9124	9.42163	0.284	4.57484	1.03544	0.0287808
30	0.485	0.555	0.566	0.528	0.402	0.579	0.584	0.357	0.512	0.454	0.344143	8.82855	0.088	4.27795	1.03881	0.0281481
40	0.42	0.574	0.508	0.56	0.474	0.608	0.571	0.345	0.601	0.565	3.16134	8.50826	0.904	4.13969	1.03929	0.0288006
50	0.437	0.566	0.485	0.609	0.445	0.597	0.516	0.402	0.583	0.555	2.3272	8.51446	0.78	4.11941	1.03874	0.0284493
60	0.453	0.634	0.47	0.554	0.454	0.46	0.514	0.409	0.554	0.551	0.768595	9.15874	0.212	4.37646	1.03726	0.0288081
70	0.431	0.692	0.454	0.547	0.465	0.473	0.509	0.418	0.48	0.636	1.10071	9.14677	0.42	4.33372	1.03607	0.0281166
80	0.473	0.693	0.371	0.539	0.416	0.417	0.482	0.335	0.545	0.689	-0.495731	8.94797	-0.16	4.36859	1.03812	0.0292183
90	0.482	0.757	0.349	0.562	0.47	0.371	0.549	0.265	0.57	0.712	1.20298	8.78191	0.348	4.32902	1.04014	0.028808
100	0.503	0.727	0.311	0.511	0.559	0.376	0.564	0.152	0.6	0.689	0.203324	8.38688	-0.032	4.14359	1.0402	0.0283256
110	0.455	0.759	0.268	0.522	0.61	0.407	0.647	0.147	0.585	0.657	0.894125	8.13268	0.228	4.0145	1.04173	0.0279599
120	0.446	0.785	0.31	0.537	0.587	0.38	0.634	0.157	0.691	0.685	2.69824	8.22061	0.848	4.02608	1.03911	0.0283255
130	0.453	0.829	0.33	0.457	0.526	0.408	0.652	0.17	0.709	0.731	3.52036	8.47321	1.06	4.14811	1.03878	0.0298125
140	0.386	0.857	0.282	0.47	0.586	0.399	0.605	0.155	0.742	0.739	2.80957	8.44163	0.884	4.09635	1.03849	0.0286664
150	0.298	0.804	0.313	0.355	0.58	0.377	0.567	0.211	0.801	0.744	0.789612	8.62674	0.2	4.12529	1.04056	0.0291452
160	0.35	0.883	0.368	0.404	0.643	0.448	0.489	0.201	0.795	0.74	4.60386	8.78206	1.284	4.13686	1.0365	0.0292035
170	0.29	0.917	0.373	0.377	0.62	0.446	0.448	0.235	0.851	0.747	4.18663	7.79655	1.216	3.71874	1.03826	0.0281322
180	0.326	0.881	0.35	0.422	0.656	0.44	0.361	0.242	0.823	0.792	3.84871	8.50217	1.172	4.08065	1.0372	0.0292329
190	0.263	0.894	0.334	0.421	0.741	0.409	0.225	0.214	0.852	0.763	1.31179	7.65548	0.464	3.6314	1.04403	0.0282791
200	0.279	0.916	0.321	0.508	0.786	0.405	0.19	0.165	0.837	0.708	1.36507	8.13043	0.46	3.92571	1.04188	0.0284702
210	0.279	0.905	0.339	0.497	0.795	0.338	0.235	0.113	0.811	0.687	0.101605	7.77859	-0.004	3.81433	1.04512	0.0280514
220	0.314	0.896	0.385	0.528	0.783	0.312	0.259	0.106	0.798	0.668	0.704095	8.30838	0.196	3.98615	1.04152	0.0287385
230	0.391	0.855	0.395	0.617	0.784	0.246	0.286	0.111	0.827	0.658	2.60932	7.4406	0.68	3.70906	1.0422	0.0281406
240	0.34	0.885	0.245	0.586	0.787	0.216	0.258	0.073	0.893	0.691	-0.639076	7.72291	-0.104	3.73109	1.04325	0.0276333
250	0.373	0.896	0.209	0.669	0.732	0.208	0.274	0.073	0.898	0.691	0.148822	7.09599	0.092	3.3998	1.04508	0.0263798
260	0.334	0.86	0.23	0.677	0.686	0.186	0.293	0.054	0.913	0.74	-0.519662	7.14501	-0.108	3.43918	1.04519	0.0270257
270	0.322	0.895	0.228	0.782	0.684	0.217	0.339	0.026	0.927	0.694	1.58843	7.03427	0.456	3.44206	1.04602	0.0274991
280	0.373	0.894	0.172	0.766	0.793	0.17	0.338	0.025	0.925	0.676	1.51274	7.37117	0.528	3.51025	1.04403	0.0273762
290	0.327	0.898	0.136	0.714	0.823	0.183	0.228	0.036	0.932	0.691	-0.162305	6.92942	-0.128	3.25527	1.0473	0.026367
300	0.331	0.906	0.102	0.706	0.792	0.204	0.159	0.033	0.951	0.77	-0.580887	6.82899	-0.184	3.16515	1.04706	0.0262319
310	0.403	0.847	0.111	0.761	0.841	0.194	0.132	0.038	0.968	0.76	0.824161	6.77158	0.22	3.18432	1.047	0.0258976
320	0.43	0.841	0.117	0.757	0.899	0.18	0.099	0.026	0.96	0.826	1.77386	6.32904	0.54	3.00774	1.04852	0.0261413
330	0.473	0.894	0.071	0.781	0.925	0.151	0.069	0.035	0.973	0.785	2.27631	6.32336	0.628	2.86182	1.04668	0.0259892
340	0.508	0.874	0.103	0.717	0.932	0.194	0.059	0.004	0.979	0.829	2.41642	5.90168	0.796	2.81678	1.04803	0.0254348
350	0.482	0.93	0.046	0.727	0.87	0.214	0.048	0.012	0.964	0.768	0.664394	5.95217	0.244	2.86162	1.05147	0.0255172
360	0.459	0.945	0.065	0.734	0.901	0.175	0.045	0.011	0.982	0.712	0.617278	6.0884	0.116	2.88082	1.05077	0.025027
370	0.381	0.974	0.099	0.702	0.88	0.204	0.031	0.006	0.984	0.733	-0.278054	6.21624	-0.024	2.96665	1.05074	0.0254982
380	0.341	0.99	0.108	0.659	0.892	0.199	0.04	0.002	0.995	0.702	-0.830627	6.48762	-0.288	2.98242	1.04817	0.0256385
390	0.413	0.995	0.118	0.645	0.927	0.221	0.023	0.002	0.997	0.755	1.39577	6.03845	0.384	2.8193	1.05075	0.0257039
400	0.463	1.0	0.081	0.75	0.961	0.216	0.009	0.0	0.998	0.802	3.53961	5.48423	1.12	2.61213	1.04773	0.0256929
410	0.381	1.0	0.03	0.682	0.946	0.209	0.02	0.0	1.0	0.786	1.00898	5.48869	0.216	2.5421	1.05292	0.0236699
420	0.418	1.0	0.022	0.696	0.97	0.192	0.011	0.0	1.0	0.768	1.01793	5.59868	0.308	2.53732	1.05298	0.0242447
430	0.369	1.0	0.014	0.725	0.971	0.154	0.011	0.0	1.0	0.809	0.734364	5.49649	0.212	2.64292	1.0536	0.0237643
440	0.338	1.0	0.026	0.715	0.992	0.174	0.004	0.0	1.0	0.856	1.72114	5.32578	0.42	2.49882	1.05375	0.0239295
450	0.346	1.0	0.027	0.699	0.994	0.195	0.0	0.0	1.0	0.836	1.21823	5.52158	0.388	2.53897	1.05295	0.0242593
460	0.349	1.0	0.036	0.69	1.0	0.299	0.0	0.0	1.0	0.871	3.25202	4.75223	0.98	2.23822	1.05184	0.0242419
470	0.335	1.0	0.005	0.704	1.0	0.246	0.0	0.0	1.0	0.864	2.29428	5.03537	0.616	2.28012	1.05348	0.0240814
480	0.261	1.0	0.004	0.724	1.0	0.263	0.0	0.0	1.0	0.879	1.55887	4.74127	0.524	2.23415	1.05687	0.0221647
490	0.244	1.0	0.0	0.684	1.0	0.234	0.0	0.0	1.0	0.863	0.391681	5.04041	0.1	2.2962	1.05578	0.0220633
500	0.212	1.0	0.0	0.667	1.0	0.219	0.0	0.0	1.0	0.903	-0.147604	4.68513	0.004	2.13567	1.05825	0.0214122
510	0.142	1.0	0.0	0.696	1.0	0.25	0.0	0.0	1.0	0.932	-0.101844	4.682	0.08	2.12477	1.05804	0.0209181
520	0.146	1.0	0.0	0.692	1.0	0.238	0.0	0.0	1.0	0.975	0.938686	4.75519	0.204	2.12966	1.05756	0.0220462
