cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.502	0.514	0.488	0.448	0.561	0.553	0.46	0.499	0.504	0.463	-0.121835	6.08461	-0.032	4.48544	1.05086	0.0249984
20	0.5	0.554	0.564	0.434	0.448	0.53	0.576	0.576	0.495	0.463	1.01809	5.84775	0.56	4.2646	1.05143	0.0254148
30	0.548	0.494	0.53	0.347	0.512	0.529	0.499	0.501	0.525	0.403	-0.987629	6.10256	-0.448	4.50421	1.05004	0.0256408
40	0.539	0.593	0.521	0.427	0.498	0.491	0.468	0.49	0.547	0.333	-0.714861	6.01611	-0.372	4.39503	1.05197	0.025411
50	0.469	0.703	0.512	0.39	0.554	0.503	0.486	0.46	0.621	0.356	0.428977	6.06625	0.216	4.4372	1.0496	0.0246121
60	0.46	0.753	0.518	0.38	0.587	0.521	0.437	0.495	0.604	0.382	1.13142	5.67309	0.548	4.12963	1.05333	0.0250561
70	0.395	0.828	0.501	0.323	0.565	0.533	0.455	0.47	0.501	0.352	-0.763019	5.77723	-0.308	4.19097	1.0518	0.0245312
80	0.376	0.901	0.5	0.328	0.488	0.576	0.516	0.555	0.548	0.343	0.920746	5.90886	0.524	4.37215	1.05128	0.0248116
90	0.288	0.91	0.559	0.372	0.537	0.605	0.485	0.582	0.516	0.335	1.5091	5.97128	0.756	4.35642	1.05035	0.0254738
100	0.319	0.854	0.524	0.307	0.568	0.568	0.484	0.605	0.454	0.304	-0.126819	5.69344	-0.052	4.12496	1.05229	0.0235584
110	0.425	0.864	0.569	0.193	0.62	0.552	0.429	0.66	0.429	0.235	-0.0761164	5.79391	-0.096	4.21358	1.05243	0.0243025
120	0.443	0.796	0.648	0.155	0.626	0.494	0.488	0.604	0.473	0.343	0.412174	5.46374	0.28	3.99619	1.05263	0.0231848
130	0.494	0.823	0.706	0.148	0.602	0.422	0.429	0.58	0.567	0.332	0.820562	5.74913	0.412	4.22587	1.05236	0.0250151
140	0.516	0.816	0.723	0.125	0.647	0.44	0.42	0.572	0.636	0.286	1.42416	5.57529	0.724	4.00749	1.05193	0.0243604
150	0.524	0.84	0.762	0.091	0.583	0.419	0.348	0.556	0.656	0.226	0.176108	5.6431	0.02	4.06061	1.05224	0.0238123
160	0.539	0.859	0.756	0.06	0.471	0.418	0.339	0.582	0.687	0.206	-0.730893	5.56903	-0.332	4.03315	1.05261	0.0236328
170	0.516	0.818	0.82	0.059	0.421	0.424	0.342	0.576	0.689	0.193	-1.00033	5.49356	-0.568	3.98361	1.05309	0.0240876
180	0.517	0.801	0.801	0.067	0.398	0.514	0.321	0.591	0.688	0.158	-1.05879	5.44496	-0.576	3.90522	1.05308	0.0235126
190	0.511	0.804	0.823	0.056	0.378	0.495	0.332	0.596	0.629	0.148	-1.61346	5.7517	-0.912	4.11462	1.05051	0.0250712
200	0.659	0.762	0.815	0.025	0.404	0.527	0.398	0.644	0.655	0.171	0.544956	5.24593	0.24	3.75481	1.05449	0.0231454
210	0.63	0.69	0.866	0.008	0.342	0.488	0.401	0.674	0.613	0.134	-1.30923	5.27757	-0.616	3.85776	1.05413	0.0237778
220	0.651	0.612	0.866	0.018	0.287	0.466	0.414	0.757	0.675	0.124	-0.952701	5.20023	-0.52	3.73276	1.05453	0.0235007
230	0.691	0.584	0.884	0.018	0.283	0.403	0.364	0.735	0.579	0.145	-2.44478	4.94428	-1.256	3.60228	1.05308	0.0241384
240	0.755	0.563	0.881	0.014	0.286	0.473	0.321	0.788	0.625	0.114	-1.32561	5.27541	-0.72	3.80612	1.05394	0.0235287
250	0.699	0.552	0.87	0.01	0.34	0.535	0.256	0.719	0.659	0.077	-2.24358	5.34833	-1.132	3.86425	1.05275	0.024342
260	0.752	0.595	0.867	0.004	0.364	0.576	0.291	0.816	0.765	0.09	0.999558	4.73262	0.48	3.39421	1.05752	0.0217281
270	0.78	0.523	0.872	0.0	0.363	0.596	0.239	0.818	0.767	0.08	0.309257	5.09934	0.152	3.66439	1.05568	0.0221435
280	0.758	0.472	0.863	0.0	0.356	0.568	0.228	0.849	0.785	0.039	-0.630573	4.37617	-0.328	3.15346	1.05968	0.0200952
290	0.713	0.437	0.851	0.0	0.402	0.611	0.201	0.812	0.767	0.117	-0.548306	5.1087	-0.356	3.6381	1.05554	0.0223277
300	0.666	0.401	0.873	0.0	0.396	0.655	0.244	0.842	0.739	0.136	-0.216509	4.91196	-0.192	3.57165	1.05666	0.0215387
310	0.562	0.373	0.892	0.0	0.446	0.621	0.225	0.855	0.792	0.169	-0.530565	5.07378	-0.26	3.65721	1.05637	0.0226525
320	0.579	0.328	0.928	0.0	0.408	0.634	0.214	0.913	0.77	0.12	-0.876293	5.01881	-0.424	3.58747	1.05546	0.022
330	0.572	0.3	0.917	0.0	0.367	0.677	0.243	0.888	0.79	0.076	-1.27638	4.77664	-0.68	3.47011	1.05719	0.0222351
340	0.527	0.245	0.884	0.0	0.429	0.668	0.27	0.875	0.792	0.129	-1.38337	5.11671	-0.724	3.66041	1.05468	0.0230903
350	0.484	0.198	0.835	0.0	0.487	0.671	0.218	0.842	0.719	0.141	-3.15828	4.93014	-1.62	3.54411	1.05128	0.0243653
360	0.482	0.218	0.834	0.0	0.59	0.68	0.218	0.858	0.706	0.148	-2.22474	5.07512	-1.064	3.61081	1.05347	0.0233703
370	0.535	0.229	0.816	0.0	0.647	0.681	0.143	0.885	0.723	0.159	-1.42019	4.82914	-0.728	3.46728	1.05581	0.0224178
380	0.616	0.282	0.851	0.0	0.65	0.605	0.127	0.933	0.736	0.14	-0.451422	5.17751	-0.24	3.69889	1.05578	0.0228775
390	0.663	0.246	0.833	0.0	0.66	0.657	0.115	0.933	0.67	0.125	-0.7823	4.50511	-0.392	3.27349	1.05913	0.0208666
400	0.606	0.294	0.879	0.0	0.643	0.623	0.117	0.958	0.688	0.135	-0.43066	4.83504	-0.228	3.47508	1.05803	0.0223305
410	0.591	0.219	0.845	0.0	0.632	0.664	0.123	0.965	0.703	0.112	-1.08092	4.52298	-0.584	3.24716	1.05871	0.021276
420	0.57	0.223	0.818	0.0	0.684	0.733	0.123	0.97	0.69	0.119	-0.556483	4.568	-0.28	3.35023	1.05862	0.0209693
430	0.596	0.203	0.868	0.0	0.712	0.737	0.12	0.974	0.69	0.139	0.222615	4.30816	0.156	3.08069	1.06005	0.0197209
440	0.624	0.172	0.892	0.0	0.7	0.784	0.121	0.979	0.673	0.1	0.349535	4.21281	0.18	3.04535	1.06145	0.0196011
450	0.589	0.138	0.888	0.0	0.751	0.766	0.123	0.975	0.719	0.117	0.59142	4.37812	0.264	3.14676	1.05955	0.0197568
460	0.577	0.139	0.844	0.0	0.802	0.78	0.061	0.991	0.684	0.079	-0.388222	4.38862	-0.172	3.15187	1.06032	0.0196806
470	0.542	0.134	0.88	0.0	0.811	0.753	0.043	0.988	0.606	0.052	-1.44716	4.4111	-0.764	3.13751	1.05827	0.0212161
480	0.556	0.171	0.875	0.0	0.807	0.765	0.047	1.0	0.608	0.042	-1.00418	4.14987	-0.516	2.95825	1.06098	0.0196695
490	0.569	0.133	0.915	0.0	0.798	0.787	0.059	1.0	0.588	0.014	-1.02548	4.21439	-0.548	3.02754	1.06062	0.0200291
500	0.633	0.077	0.935	0.0	0.855	0.682	0.068	1.0	0.615	0.029	-0.747508	3.87772	-0.424	2.78491	1.06279	0.0180524
510	0.574	0.088	0.952	0.0	0.814	0.762	0.094	1.0	0.56	0.019	-1.17379	3.81169	-0.548	2.63697	1.06206	0.0181807
520	0.61	0.066	0.977	0.0	0.816	0.821	0.094	1.0	0.564	0.02	-0.260357	3.96177	-0.128	2.82836	1.06258	0.0184138
530	0.574	0.07	0.992	0.0	0.798	0.802	0.093	1.0	0.552	0.031	-0.729442	4.05625	-0.352	2.85454	1.06144	0.0191448
540	0.603	0.075	0.996	0.0	0.838	0.8	0.066	1.0	0.552	0.084	0.194912	3.81782	0.056	2.70027	1.06336	0.0175503
550	0.584	0.084	0.987	0.0	0.818	0.775	0.039	1.0	0.515	0.105	-0.986536	4.10321	-0.372	2.93101	1.06093	0.0195222
