cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.406	0.444	0.545	0.516	0.433	0.392	0.533	0.499	0.537	0.514	-0.678555	4.32722	-0.724	4.24451	1.05976	0.0198632
20	0.506	0.341	0.502	0.518	0.321	0.426	0.554	0.496	0.513	0.45	-1.48726	4.66872	-1.492	4.58519	1.05694	0.0220724
30	0.617	0.419	0.517	0.428	0.346	0.421	0.603	0.428	0.513	0.414	-1.16865	4.55878	-1.176	4.42178	1.05725	0.0204374
40	0.588	0.439	0.496	0.399	0.355	0.361	0.568	0.418	0.472	0.421	-1.91253	4.40871	-1.932	4.34801	1.05699	0.021806
50	0.588	0.452	0.483	0.492	0.455	0.389	0.565	0.429	0.507	0.425	-0.817553	4.36502	-0.86	4.32595	1.05916	0.0198837
60	0.628	0.454	0.559	0.457	0.427	0.325	0.529	0.312	0.504	0.308	-2.00949	4.5801	-1.988	4.4162	1.05584	0.0220534
70	0.666	0.416	0.556	0.439	0.437	0.299	0.583	0.262	0.514	0.296	-2.08602	4.28583	-2.128	4.13979	1.05802	0.0221216
80	0.651	0.5	0.559	0.504	0.575	0.383	0.508	0.301	0.535	0.328	-0.602413	4.31738	-0.624	4.20833	1.05989	0.0199446
90	0.547	0.493	0.596	0.52	0.569	0.363	0.512	0.272	0.493	0.351	-1.12305	4.25998	-1.136	4.272	1.05955	0.0197656
100	0.518	0.521	0.536	0.568	0.553	0.374	0.603	0.278	0.567	0.382	-0.333984	4.41878	-0.4	4.2826	1.05961	0.0203838
110	0.501	0.522	0.551	0.496	0.589	0.388	0.679	0.281	0.549	0.419	-0.186277	4.1459	-0.1	4.00175	1.06119	0.0187473
120	0.563	0.459	0.616	0.458	0.605	0.42	0.647	0.325	0.635	0.447	0.676128	4.35541	0.7	4.22774	1.05959	0.0198647
130	0.548	0.38	0.65	0.516	0.569	0.324	0.645	0.289	0.646	0.456	0.0465793	4.37366	0.092	4.26379	1.06026	0.0199386
140	0.488	0.398	0.636	0.591	0.509	0.353	0.697	0.286	0.677	0.491	0.521188	4.55245	0.504	4.42098	1.05842	0.0205024
150	0.456	0.523	0.579	0.585	0.503	0.354	0.673	0.355	0.649	0.5	0.76537	4.44254	0.708	4.34609	1.05903	0.0203887
160	0.489	0.5	0.483	0.609	0.495	0.376	0.637	0.253	0.612	0.425	-0.514422	4.12086	-0.484	4.07713	1.06139	0.0187848
170	0.459	0.478	0.493	0.553	0.473	0.379	0.655	0.251	0.542	0.454	-0.98775	4.14501	-1.052	4.01466	1.06059	0.0193298
180	0.577	0.422	0.44	0.585	0.542	0.419	0.633	0.271	0.554	0.433	-0.570707	4.54978	-0.496	4.41463	1.05847	0.0210043
190	0.542	0.461	0.427	0.448	0.573	0.462	0.673	0.295	0.532	0.499	-0.408271	4.32885	-0.352	4.25303	1.06018	0.0195566
200	0.524	0.437	0.359	0.481	0.624	0.408	0.626	0.353	0.565	0.498	-0.572839	4.5815	-0.5	4.41509	1.05882	0.0204209
