cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.424	0.494	0.499	0.575	0.519	0.495	0.487	0.552	0.497	0.523	0.335767	4.60682	0.26	4.43031	1.05773	0.0203423
20	0.476	0.37	0.529	0.562	0.533	0.524	0.477	0.535	0.512	0.486	-0.00295579	4.47648	0.016	4.3217	1.05899	0.0203745
30	0.491	0.286	0.515	0.622	0.496	0.554	0.455	0.509	0.504	0.473	-0.439746	4.47252	-0.38	4.31333	1.05929	0.020517
40	0.474	0.176	0.54	0.631	0.544	0.585	0.56	0.555	0.527	0.534	0.537385	4.59245	0.504	4.40281	1.05877	0.0207393
50	0.494	0.088	0.512	0.638	0.485	0.55	0.58	0.541	0.463	0.557	-0.380101	4.44971	-0.368	4.32828	1.0594	0.0198753
60	0.494	0.087	0.501	0.597	0.5	0.522	0.618	0.456	0.486	0.657	-0.386492	3.98702	-0.328	3.78432	1.06236	0.0184982
70	0.491	0.089	0.564	0.658	0.457	0.526	0.602	0.444	0.541	0.679	0.211169	4.56716	0.204	4.43506	1.05916	0.0209934
80	0.515	0.101	0.523	0.673	0.487	0.592	0.528	0.444	0.515	0.686	0.314424	4.52898	0.256	4.33267	1.05872	0.0203814
90	0.531	0.124	0.532	0.686	0.525	0.484	0.462	0.495	0.513	0.681	0.16508	4.62524	0.132	4.41424	1.05847	0.0204257
100	0.546	0.123	0.47	0.584	0.518	0.568	0.524	0.491	0.479	0.772	0.321949	4.39586	0.3	4.21824	1.05964	0.0199462
110	0.531	0.153	0.432	0.607	0.567	0.656	0.529	0.489	0.472	0.742	0.732031	4.8453	0.712	4.67684	1.05664	0.0217563
120	0.49	0.181	0.418	0.603	0.629	0.696	0.517	0.52	0.496	0.816	1.69359	4.03998	1.464	3.88831	1.05995	0.0201106
130	0.486	0.155	0.424	0.594	0.541	0.675	0.463	0.598	0.505	0.779	0.985916	4.5155	0.88	4.36161	1.05823	0.0205904
140	0.442	0.156	0.482	0.682	0.544	0.705	0.43	0.638	0.476	0.735	1.34521	4.28355	1.16	4.15704	1.05949	0.0200369
150	0.509	0.152	0.457	0.649	0.558	0.747	0.433	0.61	0.405	0.721	1.07452	4.46488	0.964	4.32807	1.0587	0.0208974
160	0.519	0.187	0.345	0.56	0.542	0.732	0.388	0.705	0.388	0.681	0.150414	4.12073	0.188	3.96435	1.06199	0.0189084
170	0.514	0.185	0.449	0.483	0.622	0.772	0.45	0.657	0.348	0.668	0.620812	4.23502	0.592	4.09525	1.06091	0.0197553
180	0.447	0.145	0.426	0.442	0.676	0.816	0.425	0.639	0.293	0.706	0.113096	4.42758	0.06	4.22849	1.05995	0.020276
190	0.478	0.176	0.394	0.409	0.733	0.76	0.307	0.659	0.291	0.776	-0.0682612	4.2671	-0.068	4.13056	1.06066	0.01971
