cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.54	0.467	0.559	0.567	0.486	0.563	0.479	0.496	0.458	0.51	1.18524	6.03093	0.5	4.41872	1.05019	0.0254398
20	0.568	0.563	0.63	0.512	0.459	0.615	0.457	0.519	0.443	0.521	2.22208	6.00414	1.148	4.26597	1.04867	0.0262078
30	0.539	0.615	0.511	0.502	0.525	0.597	0.497	0.467	0.437	0.521	1.66459	6.03125	0.844	4.21844	1.04846	0.0251962
40	0.549	0.609	0.541	0.462	0.534	0.662	0.426	0.407	0.393	0.533	0.960936	5.9166	0.464	4.35415	1.05139	0.0253191
50	0.536	0.565	0.619	0.444	0.6	0.647	0.473	0.305	0.325	0.558	0.41225	6.1749	0.288	4.45654	1.049	0.0253003
60	0.544	0.636	0.574	0.415	0.546	0.63	0.465	0.256	0.344	0.497	-0.714787	6.08052	-0.372	4.39503	1.05107	0.025384
70	0.564	0.619	0.516	0.49	0.473	0.665	0.387	0.287	0.363	0.522	-0.816772	6.2447	-0.456	4.44608	1.04954	0.0254026
80	0.537	0.661	0.494	0.486	0.486	0.629	0.416	0.217	0.353	0.54	-1.40765	5.93811	-0.724	4.33606	1.05128	0.0258068
90	0.531	0.681	0.505	0.597	0.557	0.598	0.347	0.144	0.475	0.485	-0.667855	5.61724	-0.32	4.05691	1.05331	0.0237707
100	0.642	0.783	0.559	0.667	0.51	0.598	0.331	0.171	0.443	0.463	1.3455	5.50773	0.668	3.95285	1.05302	0.0249483
110	0.69	0.751	0.589	0.63	0.491	0.691	0.327	0.183	0.497	0.481	2.63558	5.44289	1.32	3.96801	1.05022	0.0251782
120	0.691	0.648	0.59	0.585	0.48	0.698	0.381	0.152	0.435	0.458	0.718242	5.69942	0.472	4.12835	1.05154	0.0241263
130	0.751	0.649	0.661	0.587	0.449	0.653	0.388	0.161	0.554	0.485	2.68321	5.82566	1.352	4.17024	1.0487	0.0257225
140	0.754	0.649	0.629	0.546	0.543	0.592	0.334	0.132	0.486	0.445	0.948363	5.60301	0.44	4.03968	1.0533	0.0243208
150	0.772	0.677	0.65	0.515	0.587	0.619	0.323	0.121	0.457	0.381	0.856767	5.78392	0.408	4.20439	1.05153	0.0242216
160	0.756	0.53	0.611	0.515	0.632	0.646	0.29	0.098	0.502	0.356	-0.606822	5.60131	-0.256	4.04366	1.05394	0.0234914
170	0.745	0.574	0.568	0.519	0.571	0.715	0.249	0.146	0.483	0.291	-1.03326	5.42091	-0.556	3.93164	1.05472	0.0242844
180	0.782	0.518	0.515	0.506	0.579	0.715	0.368	0.189	0.471	0.26	-0.971785	5.83649	-0.388	4.18431	1.05079	0.0249903
190	0.759	0.513	0.56	0.502	0.594	0.788	0.323	0.224	0.41	0.281	-0.296606	5.51171	-0.184	3.92287	1.05358	0.0237661
200	0.784	0.489	0.703	0.547	0.562	0.837	0.323	0.266	0.345	0.309	1.16364	5.71207	0.66	4.09168	1.05202	0.0249303
210	0.842	0.466	0.717	0.542	0.578	0.881	0.296	0.279	0.352	0.343	2.29067	5.55604	1.184	4.05055	1.05057	0.0250372
220	0.842	0.521	0.683	0.587	0.605	0.903	0.255	0.217	0.386	0.303	2.50248	5.6418	1.208	3.99558	1.05035	0.0257353
230	0.778	0.553	0.682	0.545	0.536	0.898	0.26	0.265	0.422	0.295	1.87172	5.35576	0.936	3.93992	1.05252	0.0245718
240	0.776	0.58	0.699	0.524	0.489	0.914	0.221	0.267	0.465	0.202	1.0703	5.54635	0.548	4.00547	1.05351	0.024426
250	0.806	0.586	0.659	0.484	0.485	0.917	0.173	0.283	0.44	0.191	0.177604	5.34286	0.096	3.83513	1.05408	0.0234135
260	0.825	0.596	0.591	0.49	0.51	0.905	0.158	0.284	0.439	0.223	0.252655	5.47225	0.084	3.89658	1.05366	0.0233021
270	0.763	0.634	0.611	0.455	0.469	0.902	0.197	0.269	0.44	0.162	-0.632968	5.53246	-0.392	3.91574	1.05261	0.0234127
280	0.814	0.645	0.7	0.391	0.404	0.909	0.219	0.269	0.539	0.171	0.343082	5.38045	0.244	3.84213	1.05447	0.023536
290	0.781	0.599	0.715	0.438	0.401	0.961	0.291	0.23	0.592	0.132	1.17787	4.92382	0.56	3.58219	1.05569	0.0219904
300	0.846	0.505	0.761	0.355	0.334	0.968	0.311	0.203	0.589	0.101	-0.364038	5.09315	-0.108	3.60976	1.05589	0.0230002
310	0.859	0.535	0.767	0.382	0.237	0.983	0.295	0.18	0.661	0.074	-0.216376	5.03282	-0.108	3.53346	1.05639	0.0224986
320	0.894	0.511	0.799	0.453	0.248	0.989	0.255	0.173	0.628	0.101	0.406779	4.84883	0.204	3.52921	1.05695	0.0220468
330	0.914	0.5	0.734	0.465	0.248	1.0	0.205	0.191	0.646	0.118	0.418681	5.1202	0.084	3.65234	1.05522	0.0229877
340	0.911	0.572	0.844	0.526	0.228	1.0	0.148	0.282	0.575	0.105	1.50696	4.9365	0.764	3.55437	1.05622	0.022301
350	0.946	0.515	0.863	0.514	0.22	1.0	0.125	0.236	0.575	0.103	0.755748	4.57939	0.388	3.29472	1.05871	0.0211874
360	0.973	0.589	0.882	0.498	0.247	1.0	0.174	0.238	0.591	0.11	2.41665	4.81403	1.208	3.35429	1.05438	0.0235078
370	0.986	0.545	0.912	0.367	0.264	1.0	0.158	0.301	0.462	0.091	0.708744	4.98942	0.344	3.6005	1.05705	0.0222737
380	0.99	0.487	0.891	0.286	0.254	1.0	0.169	0.323	0.511	0.136	0.425466	4.94337	0.188	3.53463	1.05744	0.0219672
390	1.0	0.57	0.86	0.327	0.253	1.0	0.168	0.318	0.484	0.087	0.555876	5.02546	0.268	3.5408	1.05598	0.0224127
400	1.0	0.635	0.815	0.336	0.226	1.0	0.069	0.374	0.449	0.108	0.0421957	4.37612	0.048	3.11916	1.05997	0.0199795
410	1.0	0.515	0.785	0.431	0.221	1.0	0.049	0.398	0.46	0.097	-0.236054	4.70562	-0.176	3.41179	1.05796	0.0210016
420	1.0	0.485	0.861	0.423	0.269	1.0	0.004	0.442	0.552	0.064	0.896478	4.25724	0.4	3.00167	1.06013	0.0198253
430	1.0	0.537	0.834	0.392	0.203	1.0	0.0	0.411	0.495	0.071	-0.517305	4.62778	-0.228	3.27069	1.05844	0.0212641
440	1.0	0.556	0.866	0.314	0.136	1.0	0.0	0.472	0.402	0.05	-1.55785	4.5266	-0.816	3.2808	1.05795	0.0222032
