cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.573	0.432	0.514	0.461	0.431	0.509	0.55	0.571	0.471	0.505	0.0535424	6.12857	0.068	4.38473	1.05028	0.0253295
20	0.564	0.585	0.552	0.477	0.383	0.547	0.581	0.53	0.492	0.542	2.14326	6.02011	1.012	4.39072	1.04848	0.0257723
30	0.555	0.628	0.565	0.439	0.408	0.647	0.612	0.462	0.47	0.555	2.84086	6.39455	1.364	4.6076	1.04492	0.0260157
40	0.606	0.579	0.634	0.412	0.403	0.61	0.617	0.426	0.42	0.518	1.8665	5.68038	0.9	4.18581	1.05169	0.0259224
50	0.63	0.494	0.705	0.395	0.337	0.57	0.609	0.358	0.444	0.474	0.0668063	6.04723	0.064	4.39483	1.05067	0.0251778
60	0.628	0.438	0.818	0.485	0.313	0.633	0.585	0.298	0.349	0.555	0.791949	6.03073	0.408	4.2912	1.05036	0.0250665
70	0.615	0.45	0.835	0.377	0.332	0.689	0.534	0.314	0.31	0.568	0.0360128	5.86223	0.096	4.27403	1.0521	0.0255827
80	0.569	0.482	0.792	0.368	0.317	0.638	0.542	0.278	0.335	0.573	-0.874404	5.51554	-0.424	4.00554	1.05332	0.023845
90	0.599	0.492	0.866	0.367	0.41	0.592	0.498	0.258	0.374	0.531	-0.274766	6.04545	-0.052	4.3703	1.05113	0.0251474
100	0.634	0.467	0.92	0.346	0.398	0.623	0.446	0.219	0.381	0.457	-0.794726	6.09667	-0.436	4.43816	1.05038	0.0251811
110	0.629	0.413	0.927	0.393	0.392	0.56	0.346	0.221	0.32	0.524	-2.15959	5.44064	-1.1	3.97563	1.05231	0.0247716
120	0.632	0.578	0.961	0.533	0.361	0.455	0.347	0.261	0.319	0.567	0.286627	5.57275	0.056	4.05731	1.05296	0.0244331
130	0.644	0.568	0.966	0.553	0.325	0.423	0.372	0.298	0.331	0.559	0.199924	5.52391	0.156	3.99795	1.05319	0.0237151
140	0.696	0.552	0.976	0.655	0.249	0.381	0.318	0.367	0.305	0.57	0.604316	5.47458	0.276	4.00549	1.05321	0.0241927
150	0.674	0.579	0.983	0.727	0.308	0.325	0.364	0.309	0.33	0.554	1.3112	5.29932	0.612	3.76055	1.05339	0.0236371
160	0.659	0.652	0.993	0.707	0.28	0.353	0.395	0.305	0.384	0.572	2.44373	5.44573	1.2	3.80697	1.05189	0.0252324
170	0.625	0.679	0.995	0.723	0.201	0.285	0.344	0.336	0.451	0.575	1.69052	5.4121	0.856	3.87004	1.05248	0.0236792
180	0.633	0.666	0.99	0.646	0.145	0.322	0.357	0.356	0.423	0.484	0.00678749	5.28983	0.088	3.79117	1.05508	0.0230954
190	0.722	0.681	0.971	0.646	0.148	0.313	0.285	0.288	0.479	0.516	0.370436	5.4338	0.196	3.8843	1.05324	0.0235087
200	0.711	0.58	0.979	0.657	0.071	0.278	0.275	0.364	0.548	0.472	-0.615635	5.35998	-0.26	3.92367	1.05396	0.023137
210	0.709	0.554	0.964	0.7	0.088	0.258	0.265	0.48	0.472	0.487	-0.311675	5.71645	-0.092	4.06159	1.05187	0.0242268
220	0.651	0.581	0.991	0.717	0.137	0.162	0.263	0.489	0.469	0.483	-0.500913	5.1758	-0.228	3.70506	1.05407	0.0222999
230	0.641	0.495	1.0	0.779	0.177	0.127	0.26	0.427	0.458	0.433	-1.5029	5.33299	-0.812	3.86815	1.05394	0.0242668
240	0.589	0.483	1.0	0.793	0.224	0.104	0.261	0.449	0.454	0.506	-1.17449	5.36831	-0.548	3.90618	1.05393	0.0243447
250	0.595	0.471	1.0	0.754	0.25	0.118	0.23	0.557	0.53	0.565	0.679772	5.46094	0.28	3.95992	1.05335	0.0234587
260	0.59	0.45	1.0	0.71	0.223	0.124	0.205	0.55	0.551	0.637	0.395299	5.38541	0.16	3.83089	1.05446	0.0237698
270	0.725	0.429	1.0	0.626	0.295	0.073	0.31	0.433	0.566	0.596	0.156795	5.06447	0.212	3.65373	1.05575	0.0226235
280	0.732	0.346	1.0	0.595	0.328	0.06	0.301	0.426	0.541	0.576	-0.675476	5.52717	-0.38	3.89743	1.05342	0.0241624
290	0.731	0.313	1.0	0.552	0.33	0.046	0.365	0.433	0.483	0.566	-1.44976	5.18275	-0.724	3.63404	1.05451	0.0236349
300	0.808	0.226	1.0	0.545	0.37	0.033	0.449	0.418	0.53	0.57	-0.494476	5.59399	-0.204	3.93922	1.05241	0.0239901
310	0.817	0.275	1.0	0.489	0.3	0.058	0.499	0.412	0.61	0.485	-0.218759	5.20195	-0.22	3.74856	1.0551	0.0224452
320	0.826	0.325	1.0	0.564	0.313	0.033	0.423	0.365	0.548	0.507	-0.686121	5.00289	-0.384	3.62088	1.05527	0.0220713
330	0.802	0.287	1.0	0.559	0.339	0.036	0.446	0.344	0.554	0.506	-1.08627	5.22119	-0.508	3.84128	1.05428	0.0232897
340	0.797	0.294	1.0	0.512	0.296	0.028	0.516	0.378	0.58	0.524	-0.652102	5.45887	-0.3	3.86936	1.05358	0.02427
350	0.81	0.278	1.0	0.532	0.306	0.021	0.593	0.401	0.516	0.528	-0.212247	5.29364	-0.06	3.81175	1.05471	0.0231911
360	0.839	0.298	1.0	0.519	0.321	0.043	0.527	0.391	0.485	0.555	-0.184737	5.1264	-0.088	3.70996	1.05584	0.0223774
370	0.834	0.252	1.0	0.507	0.386	0.031	0.488	0.476	0.445	0.521	-0.355738	5.42982	-0.24	3.78458	1.05369	0.0241583
380	0.867	0.277	1.0	0.472	0.429	0.043	0.429	0.472	0.481	0.458	-0.389927	4.99171	-0.288	3.60986	1.05569	0.0218489
390	0.85	0.352	1.0	0.48	0.477	0.064	0.34	0.534	0.396	0.541	0.276569	5.34396	0.136	3.85477	1.05482	0.0233802
400	0.854	0.265	1.0	0.488	0.394	0.017	0.408	0.547	0.343	0.581	-0.936824	5.51281	-0.412	3.89623	1.05221	0.0237773
410	0.846	0.349	1.0	0.495	0.381	0.011	0.488	0.598	0.33	0.488	-0.222771	5.23834	-0.056	3.7407	1.05475	0.0231658
420	0.842	0.385	1.0	0.536	0.471	0.0	0.442	0.603	0.359	0.518	1.19435	5.16892	0.624	3.71675	1.05465	0.0231612
430	0.81	0.394	1.0	0.504	0.534	0.0	0.488	0.634	0.367	0.501	1.88952	5.66902	0.928	3.99233	1.05043	0.0247199
440	0.789	0.351	1.0	0.459	0.526	0.0	0.517	0.723	0.415	0.416	1.43323	5.27581	0.784	3.79132	1.05403	0.023804
450	0.851	0.3	1.0	0.471	0.509	0.0	0.438	0.644	0.352	0.389	-0.155829	5.35985	-0.184	3.81093	1.0533	0.0227776
460	0.88	0.262	1.0	0.391	0.505	0.0	0.41	0.681	0.343	0.396	-1.22084	5.00478	-0.528	3.62926	1.05584	0.0231408
470	0.884	0.297	1.0	0.443	0.476	0.0	0.494	0.668	0.253	0.402	-0.443455	5.28785	-0.332	3.81876	1.05408	0.023313
480	0.899	0.201	1.0	0.448	0.475	0.0	0.486	0.616	0.246	0.367	-2.25394	5.21636	-1.048	3.76538	1.05243	0.023479
490	0.883	0.224	1.0	0.479	0.462	0.005	0.504	0.628	0.255	0.418	-0.971362	5.1624	-0.568	3.70849	1.05572	0.0236333
