cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.535	0.489	0.477	0.43	0.437	0.459	0.461	0.521	0.496	0.437	-3.47914	9.08124	-1.032	4.4774	1.03727	0.0290125
20	0.587	0.493	0.549	0.488	0.44	0.485	0.435	0.507	0.424	0.398	-2.60763	8.61544	-0.776	4.30196	1.03878	0.0290674
30	0.558	0.495	0.588	0.454	0.512	0.524	0.423	0.487	0.417	0.389	-2.04886	9.19437	-0.612	4.61085	1.03542	0.0286846
40	0.475	0.504	0.602	0.485	0.536	0.528	0.382	0.497	0.408	0.427	-2.11044	8.60354	-0.624	4.26697	1.03889	0.0287091
50	0.46	0.571	0.564	0.595	0.498	0.562	0.345	0.427	0.417	0.442	-1.49721	7.82836	-0.476	3.85995	1.04197	0.0278268
60	0.552	0.642	0.564	0.713	0.45	0.521	0.319	0.461	0.378	0.473	0.891266	9.04986	0.292	4.52855	1.03726	0.0285484
70	0.578	0.621	0.63	0.703	0.531	0.554	0.266	0.499	0.394	0.546	4.02429	8.61604	1.288	4.22478	1.03662	0.028735
80	0.515	0.635	0.625	0.698	0.529	0.591	0.234	0.557	0.354	0.512	3.25822	9.28075	1.0	4.55208	1.03579	0.0288753
90	0.556	0.647	0.593	0.691	0.57	0.53	0.202	0.499	0.368	0.507	2.19041	8.61667	0.652	4.1974	1.03875	0.0287468
100	0.642	0.609	0.493	0.713	0.575	0.55	0.189	0.55	0.342	0.561	2.75698	8.61554	0.896	4.21435	1.03828	0.0285439
110	0.581	0.574	0.538	0.722	0.649	0.505	0.147	0.526	0.306	0.613	2.08478	8.0359	0.644	3.95481	1.04074	0.0279868
120	0.642	0.592	0.553	0.764	0.625	0.392	0.096	0.491	0.283	0.666	1.41073	8.4163	0.416	4.17874	1.04009	0.0285903
130	0.696	0.53	0.556	0.775	0.564	0.345	0.06	0.534	0.324	0.649	0.377577	8.00538	0.132	3.92803	1.04272	0.0282629
140	0.707	0.541	0.541	0.738	0.541	0.266	0.05	0.5	0.322	0.605	-2.43385	7.87479	-0.756	3.91447	1.03999	0.0277127
150	0.651	0.565	0.52	0.756	0.395	0.28	0.023	0.618	0.34	0.578	-3.54246	7.8941	-1.096	3.90041	1.03819	0.0282293
160	0.581	0.584	0.495	0.705	0.429	0.247	0.036	0.599	0.332	0.573	-5.60644	8.06739	-1.676	4.00989	1.03369	0.027981
170	0.616	0.575	0.502	0.665	0.473	0.353	0.01	0.699	0.302	0.56	-3.34382	8.26233	-0.98	4.09208	1.03897	0.0285612
180	0.595	0.684	0.54	0.739	0.536	0.364	0.0	0.675	0.221	0.595	-0.521394	7.80172	-0.204	3.83821	1.04362	0.0283088
190	0.648	0.682	0.493	0.724	0.506	0.436	0.0	0.693	0.201	0.563	-0.742438	7.8757	-0.216	3.84068	1.04105	0.0276706
200	0.665	0.703	0.452	0.805	0.558	0.47	0.0	0.667	0.173	0.567	0.805891	7.90699	0.24	3.92597	1.04214	0.0276372
210	0.66	0.705	0.473	0.855	0.588	0.468	0.0	0.615	0.142	0.515	0.301322	7.78234	0.084	3.83645	1.04328	0.0273677
220	0.713	0.757	0.412	0.846	0.542	0.45	0.0	0.61	0.091	0.583	0.171393	7.7374	0.016	3.7837	1.04192	0.0281854
230	0.717	0.793	0.406	0.837	0.596	0.424	0.0	0.572	0.097	0.523	-0.395918	7.91271	-0.14	3.84734	1.04261	0.0279776
240	0.687	0.875	0.393	0.789	0.595	0.444	0.0	0.608	0.101	0.441	-0.898452	8.17023	-0.268	4.11656	1.04255	0.0291551
250	0.649	0.945	0.437	0.788	0.651	0.443	0.0	0.64	0.086	0.535	2.54772	7.2158	0.696	3.60966	1.04415	0.0275146
260	0.746	0.971	0.398	0.752	0.544	0.539	0.0	0.684	0.103	0.542	3.672	7.33951	1.116	3.69945	1.04009	0.0277754
270	0.746	0.945	0.281	0.74	0.577	0.599	0.0	0.729	0.055	0.508	2.61053	7.21046	0.72	3.60049	1.04319	0.0277774
280	0.8	0.961	0.229	0.631	0.649	0.536	0.0	0.79	0.061	0.438	1.44014	7.23099	0.38	3.5237	1.0438	0.0273732
290	0.821	0.969	0.295	0.605	0.615	0.454	0.0	0.795	0.062	0.498	1.60456	7.06571	0.456	3.50666	1.0469	0.0275343
300	0.763	0.976	0.356	0.53	0.659	0.429	0.0	0.793	0.067	0.503	0.839547	7.27162	0.304	3.58179	1.04538	0.0270013
310	0.713	0.987	0.341	0.502	0.639	0.426	0.0	0.797	0.078	0.476	-0.722848	7.11132	-0.164	3.50624	1.04692	0.0277338
320	0.689	0.987	0.327	0.568	0.619	0.428	0.0	0.767	0.122	0.525	0.306744	6.70052	0.128	3.39746	1.04676	0.0261068
330	0.699	0.992	0.329	0.619	0.658	0.4	0.0	0.756	0.149	0.537	1.90189	7.46312	0.556	3.73507	1.04256	0.0277185
340	0.678	0.979	0.265	0.705	0.658	0.428	0.0	0.759	0.164	0.49	1.71468	7.20212	0.504	3.50007	1.04454	0.0272008
350	0.642	0.96	0.242	0.694	0.65	0.515	0.0	0.774	0.178	0.459	1.3846	7.68005	0.456	3.83216	1.04256	0.0280504
360	0.641	0.936	0.2	0.737	0.706	0.497	0.0	0.741	0.261	0.38	1.4193	6.85492	0.396	3.42968	1.04698	0.0273977
370	0.615	0.943	0.207	0.762	0.661	0.451	0.0	0.682	0.243	0.312	-1.48214	7.57568	-0.496	3.74032	1.04304	0.0275004
380	0.68	0.943	0.249	0.716	0.77	0.358	0.0	0.711	0.255	0.348	0.49036	7.50123	0.12	3.65024	1.04308	0.0274591
390	0.615	0.946	0.247	0.812	0.763	0.294	0.0	0.755	0.225	0.394	0.681495	6.91778	0.204	3.4161	1.04512	0.0264604
400	0.674	0.943	0.237	0.868	0.718	0.189	0.0	0.718	0.238	0.398	-0.260243	6.87693	-0.068	3.44021	1.04796	0.0275064
410	0.683	0.945	0.239	0.94	0.815	0.093	0.0	0.755	0.183	0.376	0.213684	6.81687	0.116	3.31308	1.04605	0.0262969
420	0.669	0.988	0.244	0.969	0.847	0.087	0.0	0.767	0.147	0.3	0.292482	6.30305	0.072	3.0825	1.04948	0.0254712
430	0.623	0.992	0.236	0.966	0.848	0.059	0.0	0.816	0.141	0.272	-0.748798	6.05247	-0.188	2.87144	1.04996	0.0252014
440	0.585	0.97	0.231	0.98	0.919	0.064	0.0	0.84	0.132	0.269	0.0793442	6.03131	-0.04	2.8926	1.0508	0.0249438
450	0.587	0.988	0.215	0.946	0.871	0.081	0.0	0.848	0.127	0.238	-1.26754	6.06941	-0.396	2.94424	1.05123	0.0258982
460	0.607	0.997	0.293	0.936	0.848	0.048	0.0	0.848	0.121	0.248	-0.4557	6.62484	-0.216	3.20592	1.04772	0.0264234
470	0.604	0.999	0.389	0.926	0.879	0.08	0.0	0.827	0.126	0.22	0.384632	6.25669	0.2	3.04278	1.04965	0.0255232
480	0.68	1.0	0.506	0.933	0.841	0.048	0.0	0.87	0.143	0.147	2.2503	5.75574	0.672	2.7993	1.05001	0.0253731
490	0.671	1.0	0.52	0.959	0.891	0.032	0.0	0.837	0.11	0.087	1.58915	5.61733	0.428	2.67416	1.05245	0.0248407
500	0.683	1.0	0.479	0.957	0.8	0.03	0.0	0.882	0.084	0.072	-0.299528	6.04931	-0.052	2.84631	1.04994	0.0248001
510	0.629	1.0	0.488	0.972	0.771	0.042	0.0	0.914	0.082	0.079	-0.44081	5.6812	-0.092	2.70373	1.05348	0.0241474
520	0.565	1.0	0.5	0.986	0.75	0.047	0.0	0.942	0.095	0.044	-0.839105	5.19196	-0.284	2.53381	1.05512	0.0232557
530	0.537	1.0	0.531	1.0	0.765	0.024	0.0	0.949	0.089	0.038	-0.726937	5.41124	-0.268	2.59493	1.05373	0.0236154
540	0.577	1.0	0.476	1.0	0.724	0.024	0.0	0.951	0.102	0.018	-1.5341	5.34469	-0.512	2.58131	1.05294	0.0236822
550	0.683	1.0	0.404	1.0	0.759	0.019	0.0	0.993	0.095	0.006	-1.01354	5.11219	-0.164	2.42174	1.05484	0.0229482
560	0.665	1.0	0.348	1.0	0.761	0.006	0.0	0.976	0.149	0.0	-1.46623	5.07895	-0.38	2.38053	1.05437	0.0231579
570	0.678	1.0	0.293	1.0	0.779	0.003	0.0	0.988	0.196	0.0	-0.829604	5.12219	-0.252	2.49579	1.05532	0.0228585
580	0.679	1.0	0.309	1.0	0.801	0.0	0.0	0.976	0.176	0.0	-0.744038	5.22136	-0.236	2.44546	1.05445	0.0229522
590	0.685	1.0	0.337	1.0	0.785	0.0	0.0	0.997	0.16	0.0	-0.341497	5.17827	-0.144	2.50915	1.0547	0.0225484
600	0.661	1.0	0.306	1.0	0.841	0.0	0.0	1.0	0.129	0.0	-0.900814	5.29367	-0.252	2.40417	1.05533	0.0239099
610	0.692	1.0	0.31	1.0	0.882	0.0	0.0	1.0	0.082	0.0	-0.285501	4.93911	-0.136	2.2926	1.05717	0.0227771
620	0.777	1.0	0.2	1.0	0.926	0.0	0.0	1.0	0.055	0.0	-0.817805	4.15074	-0.168	1.83153	1.06125	0.0198302
630	0.73	1.0	0.253	1.0	0.918	0.0	0.0	1.0	0.065	0.0	-0.210728	4.34538	-0.136	2.05669	1.05964	0.0196015
640	0.748	1.0	0.268	1.0	0.93	0.0	0.0	1.0	0.056	0.0	-0.227289	4.54328	0.008	2.07667	1.05926	0.0206479
650	0.809	1.0	0.239	1.0	0.973	0.0	0.0	1.0	0.081	0.0	1.17227	4.12259	0.408	1.85915	1.0605	0.0199226
660	0.804	1.0	0.225	1.0	0.957	0.0	0.0	1.0	0.043	0.0	0.530725	4.2553	0.116	1.8421	1.06152	0.0199439
670	0.814	1.0	0.228	1.0	0.988	0.0	0.0	1.0	0.055	0.0	0.894679	3.69519	0.34	1.73274	1.06396	0.0174457
680	0.731	1.0	0.251	1.0	0.99	0.0	0.0	1.0	0.049	0.0	0.0860908	4.05557	0.084	1.91213	1.06178	0.0185753
690	0.674	1.0	0.258	1.0	1.0	0.0	0.0	1.0	0.04	0.0	-0.268316	4.4647	-0.112	1.95425	1.05987	0.0202124
700	0.642	1.0	0.29	1.0	1.0	0.0	0.0	1.0	0.015	0.0	-0.694096	4.36829	-0.212	1.9356	1.0594	0.0202059
710	0.759	1.0	0.25	1.0	1.0	0.0	0.0	1.0	0.017	0.0	0.569012	4.09947	0.104	1.76959	1.0615	0.0189116
720	0.667	1.0	0.222	1.0	1.0	0.0	0.0	1.0	0.022	0.0	-1.14974	4.11791	-0.356	1.81986	1.06015	0.0194578
730	0.637	1.0	0.237	1.0	1.0	0.0	0.0	1.0	0.008	0.0	-1.42576	4.04658	-0.472	1.85691	1.0606	0.0197796
740	0.723	1.0	0.291	1.0	1.0	0.0	0.0	1.0	0.002	0.0	0.152645	4.13105	0.064	1.81176	1.06163	0.0193038
750	0.797	1.0	0.235	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.360691	3.86897	0.128	1.64104	1.06304	0.0181808
760	0.813	1.0	0.186	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0368262	3.84963	-0.004	1.58398	1.06344	0.0178294
770	0.838	1.0	0.217	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.553648	3.59195	0.22	1.56349	1.06456	0.0167148
780	0.821	1.0	0.192	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.354046	3.68054	0.052	1.55761	1.06449	0.017044
790	0.855	1.0	0.123	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.181673	3.16428	-0.088	1.34904	1.0675	0.014363
800	0.88	1.0	0.09	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.338374	3.09829	-0.12	1.16804	1.06785	0.0142307
810	0.889	1.0	0.091	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.185044	3.19902	-0.08	1.21843	1.06762	0.0153025
820	0.89	1.0	0.155	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.254306	3.32303	0.18	1.34284	1.06671	0.0154322
830	0.896	1.0	0.172	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.988075	3.21345	0.272	1.31204	1.06672	0.0159564
840	0.928	1.0	0.186	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.24402	3.23507	0.456	1.30977	1.06617	0.0164906
850	0.918	1.0	0.248	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2.2293	3.5766	0.664	1.52175	1.06101	0.0195027
860	0.927	1.0	0.21	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2.03654	3.30084	0.548	1.28958	1.06315	0.0181695
870	0.87	1.0	0.14	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.287604	3.27462	0.04	1.3334	1.0668	0.0148751
880	0.865	1.0	0.118	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.165965	3.29886	-0.068	1.32925	1.06694	0.0154495
890	0.889	1.0	0.093	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.37436	2.91746	-0.072	1.12309	1.06926	0.013983
900	0.934	1.0	0.107	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.74796	3.13807	0.164	1.16611	1.06725	0.0149729
910	0.93	1.0	0.122	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.900455	2.96941	0.208	1.17622	1.06825	0.0145322
920	0.909	1.0	0.11	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.399976	3.11554	0.076	1.16143	1.06803	0.0144894
930	0.915	1.0	0.081	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.146358	2.84458	-0.016	1.08909	1.06979	0.0131786
940	0.92	1.0	0.078	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.274229	2.83205	-0.008	1.05933	1.06971	0.0130375
950	0.9	1.0	0.11	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.127462	3.07824	0.04	1.20719	1.06841	0.0145477
960	0.932	1.0	0.104	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.731104	2.8314	0.144	1.07963	1.06933	0.0137081
970	0.958	1.0	0.095	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.970803	2.77442	0.212	1.01049	1.06885	0.0131884
980	0.933	1.0	0.071	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0677222	2.82198	0.016	1.02852	1.06973	0.012734
990	0.967	1.0	0.046	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.125906	2.41099	0.052	0.741887	1.07221	0.0108105
1000	0.958	1.0	0.05	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.150495	2.46431	0.032	0.867457	1.07195	0.0111625
1010	0.951	1.0	0.058	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0209841	2.60982	0.036	0.907939	1.07089	0.0113356
1020	0.936	1.0	0.086	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.41594	2.94316	0.088	1.08564	1.06912	0.0141947
1030	0.94	1.0	0.061	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.076825	2.57807	0.004	0.951733	1.07127	0.0114414
1040	0.93	1.0	0.029	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.446839	2.43985	-0.164	0.847668	1.07161	0.0107952
1050	0.938	1.0	0.034	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.279662	2.56681	-0.112	0.841946	1.07129	0.0118731
1060	0.96	1.0	0.015	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.309778	2.31012	-0.1	0.680387	1.07251	0.00993585
1070	0.935	1.0	0.006	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.726952	2.34375	-0.236	0.716471	1.0717	0.010247
1080	0.939	1.0	0.032	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.32872	2.47364	-0.116	0.855575	1.07161	0.0108035
1090	0.95	1.0	0.042	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.188983	2.46529	-0.032	0.839276	1.07172	0.0105321
1100	0.97	1.0	0.044	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.265846	2.59603	0.056	0.788738	1.07103	0.0112348
1110	0.946	1.0	0.005	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.63902	2.31068	-0.196	0.671182	1.07229	0.0106888
1120	0.969	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.125519	2.01518	-0.124	0.482794	1.07402	0.0075685
1130	0.98	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.44545	2.04919	-0.08	0.392311	1.07363	0.00801744
1140	0.988	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.414238	2.12379	-0.048	0.306405	1.07324	0.00824442
1150	0.99	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.187742	2.05061	-0.04	0.28028	1.07386	0.00803613
1160	0.998	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0430635	1.87687	-0.008	0.126364	1.0747	0.00658597
1170	0.994	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.188433	2.01612	-0.024	0.217989	1.07408	0.00787845
1180	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.146252	2.01755	0.0	0.0	1.07393	0.00715496
1190	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.00967157	1.9221	0.0	0.0	1.07446	0.00664128
1200	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0722894	1.96659	0.0	0.0	1.07425	0.00702412
1210	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0614035	1.92227	0.0	0.0	1.07452	0.00707672
1220	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0843197	1.99289	0.0	0.0	1.07412	0.00730457
1230	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.156308	1.98568	0.0	0.0	1.07414	0.00724471
1240	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.118696	1.94153	0.0	0.0	1.07436	0.00693783
1250	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.147202	1.90283	0.0	0.0	1.07456	0.00680811
1260	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0851346	1.90918	0.0	0.0	1.07459	0.00709017
1270	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.159511	1.94271	0.0	0.0	1.07434	0.0068889
1280	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0955946	1.97698	0.0	0.0	1.07417	0.00700839
1290	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.083992	1.88737	0.0	0.0	1.0746	0.0062149
1300	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.028962	1.98827	0.0	0.0	1.07413	0.00708948
1310	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.00523044	1.9966	0.0	0.0	1.07403	0.00666657
1320	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.177753	1.98226	0.0	0.0	1.07414	0.00726222
1330	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0401053	1.94675	0.0	0.0	1.07437	0.00709284
1340	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.111439	1.95702	0.0	0.0	1.07431	0.00716548
1350	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.170093	1.95211	0.0	0.0	1.07427	0.0068416
1360	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0249931	2.01004	0.0	0.0	1.07405	0.00742811
1370	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0700445	1.96758	0.0	0.0	1.07426	0.00717177
1380	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0313673	1.8991	0.0	0.0	1.07459	0.00668667
1390	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0270543	1.95726	0.0	0.0	1.07429	0.0069657
1400	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0766455	1.91301	0.0	0.0	1.07452	0.00669748
1410	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.00474218	1.91293	0.0	0.0	1.07455	0.00685617
1420	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0264693	1.94943	0.0	0.0	1.07436	0.00709995
1430	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0397048	1.85742	0.0	0.0	1.07481	0.00658927
1440	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0455938	1.97926	0.0	0.0	1.07425	0.00728081
1450	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0376139	2.05854	0.0	0.0	1.07382	0.00791057
1460	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.220662	1.94199	0.0	0.0	1.07431	0.00697277
1470	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.176216	1.96957	0.0	0.0	1.07427	0.00746814
1480	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0368281	1.96808	0.0	0.0	1.07428	0.00725014
1490	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0639079	1.99637	0.0	0.0	1.07404	0.0066901
1500	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0220444	1.83813	0.0	0.0	1.07488	0.0061641
1510	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.004	-0.0219109	2.10088	0.016	0.178347	1.07358	0.00801368
1520	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.126593	1.96699	0.0	0.0	1.0742	0.006883
1530	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.236069	1.99332	0.0	0.0	1.0741	0.00756755
1540	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0544479	1.9586	0.0	0.0	1.07426	0.0067409
1550	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0276659	1.99015	0.0	0.0	1.07409	0.00690314
1560	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.034976	1.95348	0.0	0.0	1.07429	0.00684982
1570	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.999	0.0	0.0	-0.0738325	1.92459	-0.004	0.0894427	1.07444	0.00672883
1580	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.120146	1.92695	0.0	0.0	1.0744	0.00661279
1590	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0563001	1.93657	0.0	0.0	1.07436	0.00665423
1600	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.124772	1.92949	0.0	0.0	1.0745	0.00734798
1610	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0443209	2.0009	0.0	0.0	1.07414	0.0074677
1620	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0215467	2.00659	0.0	0.0	1.0741	0.00763003
1630	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0606842	2.09876	0.0	0.0	1.07357	0.0078937
1640	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0223426	1.85706	0.0	0.0	1.07483	0.00667583
1650	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.105786	1.98009	0.0	0.0	1.07416	0.00710241
1660	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.270791	1.91791	0.0	0.0	1.07444	0.00716109
1670	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0937591	1.99553	0.0	0.0	1.07408	0.00709754
1680	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.164472	2.02365	0.0	0.0	1.07394	0.00758973
1690	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.13974	1.99138	0.0	0.0	1.07413	0.00738052
1700	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0169586	1.93618	0.0	0.0	1.0744	0.00681854
1710	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0700038	1.874	0.0	0.0	1.0747	0.00644714
1720	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0488181	1.93868	0.0	0.0	1.07438	0.006835
1730	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0095594	2.05804	0.0	0.0	1.07382	0.00777475
1740	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.125793	1.87791	0.0	0.0	1.07467	0.00650886
1750	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.00705547	1.95024	0.0	0.0	1.07437	0.00716842
1760	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.125565	1.97196	0.0	0.0	1.07424	0.00732096
1770	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.161266	1.91424	0.0	0.0	1.07446	0.00666896
