cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.463	0.523	0.531	0.554	0.571	0.492	0.526	0.49	0.512	0.503	1.41707	5.99729	0.66	4.31296	1.04993	0.024516
20	0.373	0.51	0.528	0.634	0.559	0.502	0.481	0.535	0.504	0.559	1.42497	6.1545	0.74	4.48784	1.0498	0.0256033
30	0.368	0.524	0.481	0.549	0.558	0.49	0.41	0.579	0.459	0.59	-0.0870461	5.88091	0.032	4.3179	1.05131	0.0242838
40	0.362	0.486	0.451	0.602	0.634	0.446	0.404	0.564	0.476	0.628	0.414485	5.37003	0.212	3.91839	1.05472	0.0232435
50	0.488	0.419	0.496	0.579	0.732	0.483	0.307	0.559	0.413	0.646	0.873719	5.51493	0.488	4.0737	1.05354	0.024236
60	0.458	0.463	0.437	0.596	0.716	0.472	0.289	0.568	0.445	0.653	0.724567	5.77542	0.388	4.19388	1.05073	0.0243328
70	0.461	0.432	0.553	0.619	0.639	0.488	0.414	0.532	0.464	0.585	1.40773	6.15021	0.748	4.46861	1.04841	0.0255342
80	0.432	0.366	0.467	0.643	0.586	0.528	0.403	0.528	0.446	0.532	-0.582305	6.51349	-0.276	4.79435	1.04833	0.026375
90	0.501	0.393	0.424	0.584	0.628	0.442	0.403	0.505	0.477	0.546	-0.734931	5.74793	-0.388	4.20343	1.05202	0.0243369
100	0.419	0.396	0.425	0.651	0.617	0.47	0.315	0.519	0.456	0.547	-1.5912	5.73756	-0.74	4.19805	1.05055	0.0242915
110	0.335	0.384	0.313	0.611	0.645	0.522	0.361	0.558	0.423	0.533	-2.4513	5.96953	-1.26	4.34444	1.04876	0.0262302
120	0.306	0.447	0.37	0.614	0.606	0.552	0.427	0.554	0.482	0.543	-0.704683	6.11115	-0.396	4.47249	1.05048	0.0254345
130	0.302	0.467	0.362	0.656	0.535	0.531	0.477	0.622	0.558	0.43	-0.438847	5.68952	-0.24	4.20402	1.05261	0.0240538
140	0.265	0.524	0.331	0.704	0.574	0.556	0.465	0.58	0.532	0.358	-0.855528	6.17231	-0.444	4.5321	1.04996	0.0260923
150	0.229	0.51	0.268	0.693	0.624	0.546	0.478	0.491	0.479	0.306	-3.10305	6.08324	-1.504	4.46518	1.04679	0.026276
160	0.167	0.519	0.275	0.752	0.647	0.615	0.498	0.501	0.456	0.242	-2.64841	5.51827	-1.312	4.00884	1.05055	0.0255004
170	0.184	0.474	0.249	0.791	0.612	0.583	0.467	0.472	0.503	0.262	-3.11235	5.74817	-1.612	4.20533	1.04731	0.0260316
180	0.223	0.49	0.242	0.829	0.683	0.577	0.541	0.47	0.502	0.322	-1.04491	5.44681	-0.484	3.98365	1.05375	0.0236268
190	0.23	0.561	0.28	0.802	0.686	0.528	0.569	0.431	0.54	0.288	-0.689264	5.72928	-0.34	4.07401	1.0512	0.0242676
200	0.283	0.524	0.286	0.812	0.744	0.488	0.535	0.463	0.512	0.318	-0.154152	5.83266	-0.14	4.23039	1.05183	0.0243907
210	0.331	0.539	0.318	0.822	0.831	0.445	0.527	0.474	0.469	0.336	0.821375	5.7412	0.368	4.18133	1.0522	0.0242957
220	0.334	0.605	0.29	0.742	0.849	0.457	0.553	0.431	0.514	0.275	0.521774	5.62809	0.2	4.09213	1.05341	0.0242942
230	0.33	0.48	0.304	0.768	0.865	0.467	0.512	0.417	0.498	0.301	-0.342624	5.75236	-0.232	4.20447	1.05343	0.024267
240	0.387	0.493	0.319	0.713	0.902	0.418	0.485	0.433	0.496	0.321	-0.197194	5.77104	-0.132	4.08999	1.05221	0.0245743
250	0.368	0.46	0.352	0.688	0.911	0.434	0.406	0.469	0.522	0.344	-0.400607	6.118	-0.184	4.4151	1.04945	0.025494
260	0.372	0.561	0.349	0.69	0.872	0.442	0.361	0.477	0.52	0.301	-0.287442	5.62061	-0.22	4.02691	1.05279	0.0246186
270	0.462	0.609	0.429	0.673	0.874	0.493	0.444	0.462	0.521	0.259	1.73896	6.13822	0.904	4.40427	1.0496	0.0261334
280	0.576	0.629	0.462	0.572	0.882	0.504	0.474	0.549	0.452	0.215	2.45809	6.12763	1.26	4.52696	1.04798	0.0265975
290	0.589	0.652	0.399	0.558	0.881	0.506	0.516	0.563	0.431	0.163	1.93838	5.67698	1.032	4.13293	1.05154	0.0248053
300	0.564	0.579	0.461	0.639	0.876	0.476	0.481	0.598	0.421	0.197	2.11576	5.95156	1.168	4.38203	1.04975	0.0255339
310	0.605	0.539	0.428	0.581	0.879	0.517	0.476	0.598	0.482	0.198	2.47575	5.45775	1.212	3.97324	1.05103	0.0246653
320	0.569	0.468	0.44	0.608	0.876	0.486	0.458	0.608	0.458	0.173	1.21502	5.57302	0.576	4.08774	1.05206	0.023959
330	0.64	0.492	0.408	0.622	0.89	0.526	0.486	0.526	0.464	0.126	1.34438	5.70661	0.72	4.19294	1.0521	0.0246576
340	0.589	0.525	0.365	0.615	0.899	0.511	0.452	0.553	0.414	0.086	0.0671749	5.77525	0.036	4.18111	1.05208	0.0240721
350	0.644	0.524	0.338	0.576	0.909	0.456	0.446	0.538	0.421	0.092	-0.260463	5.48114	-0.224	3.9917	1.05373	0.0241183
360	0.553	0.445	0.216	0.643	0.946	0.455	0.443	0.433	0.432	0.089	-2.62751	5.42	-1.38	3.92612	1.05009	0.0246885
370	0.636	0.493	0.249	0.608	0.955	0.477	0.44	0.422	0.467	0.094	-1.1413	5.46227	-0.636	3.96218	1.05314	0.0240854
380	0.584	0.551	0.239	0.63	0.933	0.572	0.472	0.398	0.383	0.084	-1.26457	5.41741	-0.616	3.9704	1.0529	0.0236199
390	0.595	0.52	0.218	0.624	0.928	0.566	0.466	0.389	0.351	0.048	-2.45558	5.58346	-1.18	4.04479	1.05025	0.025127
400	0.611	0.57	0.159	0.685	0.93	0.621	0.479	0.39	0.312	0.022	-1.75419	5.55861	-0.884	3.93873	1.05265	0.0248808
410	0.622	0.565	0.168	0.715	0.902	0.658	0.524	0.411	0.293	0.015	-1.14055	5.27566	-0.508	3.79298	1.05397	0.0236573
420	0.611	0.543	0.164	0.722	0.942	0.627	0.499	0.384	0.336	0.004	-1.37727	5.23029	-0.672	3.84838	1.05394	0.0232479
430	0.567	0.491	0.186	0.745	0.945	0.625	0.474	0.371	0.318	0.003	-2.18602	5.20197	-1.1	3.74514	1.05214	0.0243354
440	0.643	0.494	0.102	0.843	0.903	0.64	0.443	0.433	0.336	0.0	-1.22286	5.04878	-0.652	3.59008	1.05574	0.0229795
450	0.695	0.451	0.114	0.901	0.857	0.656	0.475	0.443	0.318	0.0	-0.762668	4.75288	-0.36	3.47888	1.05853	0.0216109
460	0.652	0.397	0.054	0.913	0.822	0.67	0.463	0.415	0.314	0.0	-2.45863	5.31169	-1.2	3.86962	1.05154	0.0246157
470	0.664	0.472	0.04	0.919	0.841	0.674	0.499	0.521	0.291	0.0	-0.739554	4.73741	-0.316	3.44265	1.05811	0.0210974
480	0.74	0.515	0.03	0.859	0.82	0.707	0.505	0.427	0.323	0.0	-0.576277	5.11904	-0.296	3.7401	1.05592	0.0226296
490	0.701	0.544	0.103	0.891	0.833	0.695	0.55	0.438	0.347	0.0	0.764158	5.3513	0.408	3.8313	1.05382	0.0235719
500	0.73	0.556	0.139	0.892	0.846	0.696	0.526	0.509	0.317	0.0	1.56498	5.04876	0.844	3.7088	1.05396	0.0230617
510	0.785	0.511	0.1	0.898	0.85	0.725	0.555	0.386	0.247	0.0	0.395318	5.15132	0.228	3.68988	1.05489	0.0222864
520	0.874	0.528	0.064	0.874	0.844	0.754	0.542	0.389	0.316	0.0	1.66862	4.64114	0.74	3.36021	1.05705	0.0218908
530	0.851	0.533	0.041	0.834	0.877	0.736	0.55	0.3	0.307	0.0	0.123537	5.05248	0.116	3.55582	1.05607	0.0220507
540	0.881	0.608	0.044	0.786	0.812	0.734	0.509	0.298	0.209	0.0	-0.913689	4.74652	-0.476	3.36036	1.05792	0.0220414
550	0.901	0.66	0.031	0.797	0.792	0.826	0.576	0.211	0.161	0.0	-0.321249	4.36862	-0.18	3.11303	1.0599	0.0195834
560	0.903	0.697	0.069	0.798	0.805	0.848	0.636	0.185	0.093	0.0	0.289711	4.56127	0.136	3.30626	1.05889	0.0206246
570	0.914	0.649	0.037	0.803	0.857	0.831	0.647	0.167	0.098	0.0	0.0844517	4.34031	0.012	3.09241	1.06033	0.0199788
580	0.93	0.622	0.026	0.839	0.857	0.852	0.659	0.137	0.124	0.0	0.391944	4.25619	0.184	3.02795	1.06078	0.0195427
590	0.944	0.666	0.026	0.864	0.858	0.862	0.656	0.122	0.163	0.0	1.14582	4.31306	0.644	3.10557	1.05926	0.0194939
600	0.962	0.672	0.082	0.902	0.843	0.905	0.639	0.129	0.178	0.0	2.55302	4.10654	1.248	2.90575	1.05707	0.0214778
610	0.956	0.605	0.084	0.947	0.829	0.902	0.628	0.058	0.106	0.0	0.947151	3.93285	0.46	2.74289	1.062	0.0187185
620	0.937	0.584	0.084	0.902	0.804	0.892	0.59	0.085	0.093	0.0	-0.263138	4.11661	-0.116	2.90024	1.06135	0.0186698
