cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.475	0.48	0.502	0.478	0.515	0.502	0.495	0.457	0.488	0.493	-1.54206	9.5532	-0.46	4.69388	1.0351	0.0936904
10	0.513	0.477	0.48	0.482	0.541	0.432	0.51	0.52	0.536	0.489	-0.266965	8.92927	-0.08	4.4164	1.04485	0.104696
20	0.508	0.571	0.542	0.545	0.463	0.43	0.586	0.398	0.558	0.483	1.20186	8.69848	0.336	4.36592	1.04824	0.104691
30	0.464	0.551	0.564	0.586	0.374	0.366	0.582	0.418	0.572	0.537	0.294043	8.68325	0.056	4.39859	1.04479	0.104024
40	0.467	0.509	0.507	0.547	0.351	0.412	0.603	0.479	0.581	0.575	0.488256	8.3258	0.124	4.10589	1.04172	0.101791
50	0.363	0.63	0.502	0.488	0.343	0.425	0.672	0.46	0.551	0.604	0.299628	8.35994	0.152	4.09224	1.04197	0.100037
60	0.343	0.628	0.476	0.43	0.361	0.38	0.63	0.434	0.633	0.635	-0.705138	8.25934	-0.2	4.10581	1.04816	0.105506
70	0.297	0.537	0.533	0.422	0.459	0.4	0.65	0.436	0.661	0.681	1.03065	8.3142	0.304	4.10918	1.04898	0.109599
80	0.304	0.501	0.485	0.397	0.538	0.446	0.694	0.393	0.615	0.768	2.18571	8.84586	0.564	4.33954	1.04326	0.10323
90	0.299	0.389	0.461	0.436	0.445	0.435	0.619	0.343	0.635	0.806	-1.8864	8.64911	-0.528	4.28742	1.04208	0.102746
100	0.239	0.375	0.41	0.448	0.448	0.563	0.539	0.386	0.614	0.828	-2.10025	7.93486	-0.6	3.97487	1.04816	0.105402
110	0.219	0.497	0.512	0.405	0.45	0.631	0.548	0.386	0.612	0.812	0.929683	8.47718	0.288	4.2029	1.04326	0.10137
120	0.173	0.54	0.525	0.426	0.474	0.7	0.537	0.344	0.607	0.746	1.22206	8.05182	0.288	4.02162	1.04645	0.104405
130	0.175	0.498	0.556	0.358	0.419	0.755	0.573	0.353	0.619	0.764	1.01763	8.42964	0.28	4.1632	1.04594	0.103421
140	0.238	0.466	0.488	0.276	0.486	0.735	0.662	0.359	0.609	0.738	1.19888	8.78019	0.228	4.30361	1.0481	0.108355
150	0.214	0.449	0.463	0.215	0.446	0.732	0.685	0.306	0.722	0.737	-0.44007	7.88629	-0.124	3.88727	1.05421	0.115808
160	0.165	0.397	0.441	0.324	0.491	0.695	0.654	0.305	0.705	0.726	-1.05524	8.19564	-0.388	4.0638	1.05047	0.106589
170	0.174	0.451	0.478	0.449	0.518	0.74	0.653	0.389	0.653	0.748	3.07291	8.25668	1.012	4.02296	1.03938	0.0980185
180	0.201	0.424	0.485	0.342	0.554	0.731	0.631	0.395	0.68	0.729	2.2185	7.97865	0.688	4.03276	1.05388	0.113128
190	0.236	0.338	0.479	0.356	0.586	0.767	0.598	0.328	0.656	0.76	1.49594	7.97318	0.416	3.9153	1.04985	0.104462
200	0.233	0.319	0.497	0.386	0.63	0.772	0.579	0.343	0.636	0.791	2.63618	8.51544	0.744	4.15801	1.04788	0.109321
210	0.218	0.323	0.406	0.378	0.499	0.74	0.646	0.39	0.626	0.757	-0.190707	8.00232	-0.068	4.01043	1.05033	0.108061
220	0.13	0.295	0.434	0.417	0.488	0.706	0.658	0.391	0.644	0.8	-0.567906	8.15908	-0.148	3.98219	1.04575	0.100494
230	0.159	0.212	0.523	0.43	0.491	0.64	0.714	0.474	0.609	0.802	0.516895	8.17431	0.216	4.09131	1.04643	0.106648
240	0.107	0.201	0.549	0.498	0.444	0.649	0.762	0.441	0.597	0.762	0.127452	7.85148	0.04	3.91677	1.05369	0.114862
250	0.158	0.178	0.513	0.559	0.47	0.671	0.789	0.538	0.608	0.754	3.26626	8.29636	0.952	4.09967	1.04295	0.100783
260	0.176	0.127	0.395	0.54	0.435	0.68	0.821	0.535	0.523	0.72	-0.522746	8.64619	-0.192	4.2217	1.05145	0.110093
270	0.203	0.108	0.435	0.512	0.515	0.625	0.849	0.524	0.476	0.728	-0.303568	8.26201	-0.1	4.03765	1.05867	0.118063
280	0.179	0.113	0.425	0.493	0.555	0.663	0.841	0.543	0.478	0.736	0.194397	7.61016	0.104	3.79288	1.04594	0.102729
290	0.19	0.119	0.352	0.461	0.573	0.652	0.809	0.59	0.442	0.807	0.0172712	8.00758	-0.02	4.00896	1.0465	0.103509
300	0.176	0.112	0.388	0.423	0.622	0.657	0.802	0.594	0.473	0.869	1.59291	7.68147	0.464	3.74014	1.05046	0.109621
310	0.186	0.07	0.31	0.391	0.653	0.718	0.824	0.571	0.421	0.908	0.589979	7.38755	0.208	3.59759	1.05338	0.111834
320	0.199	0.046	0.215	0.323	0.721	0.687	0.884	0.556	0.434	0.943	0.034992	7.17612	0.032	3.52247	1.0524	0.109879
330	0.195	0.012	0.251	0.338	0.703	0.726	0.892	0.494	0.437	0.923	-0.323631	6.98798	-0.116	3.45984	1.05949	0.116434
340	0.197	0.011	0.276	0.362	0.75	0.794	0.89	0.495	0.465	0.868	1.45771	7.32515	0.432	3.53474	1.04826	0.102423
350	0.199	0.01	0.255	0.342	0.713	0.758	0.903	0.482	0.441	0.928	0.28009	7.46667	0.124	3.57354	1.05642	0.114044
360	0.204	0.0	0.229	0.318	0.721	0.818	0.951	0.485	0.464	0.915	1.5375	6.71851	0.42	3.35113	1.05649	0.113098
370	0.222	0.0	0.228	0.37	0.744	0.856	0.972	0.487	0.417	0.875	2.07431	7.11091	0.684	3.46817	1.05355	0.109636
380	0.208	0.0	0.223	0.426	0.756	0.861	0.968	0.425	0.38	0.916	2.07453	6.64213	0.652	3.19049	1.0575	0.109602
390	0.198	0.0	0.176	0.418	0.77	0.852	0.973	0.438	0.405	0.951	2.51185	6.82496	0.724	3.32535	1.05847	0.116549
400	0.195	0.0	0.167	0.357	0.756	0.872	0.976	0.415	0.357	0.97	0.946068	6.59388	0.26	3.18381	1.05681	0.116041
410	0.19	0.0	0.182	0.367	0.715	0.805	0.987	0.411	0.419	0.975	0.78085	6.58147	0.204	3.26492	1.04962	0.105048
420	0.213	0.0	0.235	0.357	0.757	0.871	0.99	0.375	0.376	0.968	2.02935	7.02234	0.568	3.44865	1.05558	0.113318
430	0.203	0.0	0.258	0.344	0.821	0.806	0.991	0.361	0.34	0.969	1.3112	6.5945	0.372	3.24263	1.05981	0.118153
440	0.274	0.0	0.199	0.313	0.776	0.858	0.994	0.316	0.351	0.966	0.682078	6.70392	0.188	3.31703	1.06533	0.121397
450	0.265	0.0	0.244	0.281	0.783	0.818	0.999	0.361	0.316	0.969	0.402006	6.76947	0.144	3.2718	1.05061	0.107105
460	0.239	0.0	0.169	0.258	0.835	0.85	0.996	0.415	0.326	0.982	1.01142	6.45964	0.28	3.16316	1.06085	0.118384
470	0.224	0.0	0.197	0.263	0.831	0.84	1.0	0.427	0.311	0.996	1.25458	6.53592	0.356	3.22212	1.06292	0.119832
480	0.226	0.0	0.229	0.221	0.811	0.877	1.0	0.441	0.335	0.988	1.76717	6.28266	0.512	3.08495	1.05994	0.117078
490	0.199	0.0	0.123	0.227	0.845	0.888	1.0	0.489	0.306	0.996	1.03367	6.35352	0.292	3.14046	1.06003	0.116678
500	0.262	0.0	0.06	0.28	0.816	0.913	1.0	0.512	0.257	1.0	1.43456	6.36769	0.4	3.10407	1.06392	0.121244
510	0.233	0.0	0.068	0.264	0.781	0.948	1.0	0.527	0.267	1.0	1.21092	6.27211	0.352	3.04477	1.07178	0.125622
520	0.265	0.0	0.031	0.167	0.823	0.932	1.0	0.527	0.21	1.0	-0.52502	5.40495	-0.18	2.64833	1.07064	0.122099
530	0.234	0.0	0.014	0.161	0.836	0.903	1.0	0.54	0.188	1.0	-1.79631	5.7523	-0.496	2.69676	1.05972	0.117007
540	0.291	0.0	0.009	0.15	0.849	0.879	1.0	0.547	0.226	1.0	-0.900016	5.79145	-0.196	2.8088	1.06402	0.120212
550	0.309	0.0	0.038	0.09	0.843	0.878	1.0	0.651	0.272	1.0	0.944471	5.96799	0.324	2.88438	1.07865	0.13218
560	0.328	0.0	0.028	0.073	0.894	0.928	1.0	0.56	0.257	1.0	0.780123	5.55752	0.272	2.61758	1.0722	0.12578
570	0.355	0.0	0.029	0.055	0.879	0.936	1.0	0.637	0.201	1.0	1.36773	5.17018	0.368	2.45369	1.07489	0.128961
580	0.343	0.0	0.063	0.082	0.942	0.912	1.0	0.644	0.173	1.0	2.07589	5.55883	0.636	2.62016	1.06475	0.121618
590	0.272	0.0	0.038	0.096	0.942	0.93	1.0	0.644	0.167	1.0	1.35742	5.18231	0.356	2.41763	1.07568	0.125079
600	0.254	0.0	0.021	0.097	0.978	0.945	1.0	0.679	0.143	1.0	1.61636	5.01881	0.468	2.28899	1.08651	0.133242
610	0.173	0.0	0.012	0.053	0.975	0.968	1.0	0.737	0.112	1.0	0.253571	4.58356	0.12	2.14168	1.08119	0.126534
620	0.196	0.0	0.005	0.04	0.969	0.991	1.0	0.778	0.066	1.0	0.81369	4.24329	0.18	1.8758	1.09157	0.13441
630	0.236	0.0	0.0	0.027	0.959	0.972	1.0	0.825	0.078	1.0	1.32264	4.19132	0.388	1.80443	1.10695	0.143477
640	0.204	0.0	0.0	0.004	0.98	0.981	1.0	0.846	0.049	1.0	1.00593	3.79153	0.256	1.72639	1.10308	0.135615
650	0.129	0.0	0.0	0.003	0.997	0.987	1.0	0.89	0.054	1.0	0.569675	3.32735	0.24	1.3951	1.1084	0.136718
660	0.157	0.0	0.0	0.0	1.0	0.989	1.0	0.921	0.025	1.0	1.07133	3.2995	0.368	1.30075	1.11697	0.138696
670	0.073	0.0	0.0	0.0	1.0	0.995	1.0	0.957	0.016	1.0	0.5615	2.73605	0.164	0.995533	1.14737	0.147818
680	0.025	0.0	0.0	0.0	1.0	1.0	1.0	0.982	0.02	1.0	0.354132	2.30848	0.108	0.702369	1.16545	0.147503
690	0.004	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.003	1.0	0.301103	2.01183	0.028	0.235216	1.1679	0.145269
700	0.004	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.005	1.0	0.074594	2.04278	0.036	0.266169	1.16401	0.149954
710	0.001	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.003	1.0	0.0713906	1.92531	0.016	0.178347	1.16854	0.1479
720	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.156669	2.00895	0.0	0.0	1.16854	0.148941
730	0.0	0.0	0.004	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.140743	2.01654	0.016	0.178347	1.1609	0.147553
740	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.250276	1.9648	0.0	0.0	1.15258	0.14726
750	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0676753	1.97798	0.0	0.0	1.15777	0.145613
760	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0893341	1.89707	0.0	0.0	1.17502	0.146734
770	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.187916	1.99589	0.0	0.0	1.15249	0.147004
780	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0286972	1.89823	0.0	0.0	1.16606	0.149067
790	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.116104	1.93913	0.0	0.0	1.16932	0.148215
800	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0957417	1.9442	0.0	0.0	1.16699	0.144441
810	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0342333	1.8854	0.0	0.0	1.17055	0.148666
820	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.120275	2.0552	0.0	0.0	1.15595	0.144608
830	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0219162	2.00754	0.0	0.0	1.17221	0.148422
840	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0957382	1.90604	0.0	0.0	1.15981	0.142645
850	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0452189	1.96292	0.0	0.0	1.16318	0.144904
860	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.286415	1.95491	0.0	0.0	1.15761	0.147199
870	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.116621	1.91757	0.0	0.0	1.16593	0.141849
880	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0121132	2.0843	0.0	0.0	1.16359	0.148015
890	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0815778	1.97056	0.0	0.0	1.16901	0.147831
900	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0759232	2.05526	0.0	0.0	1.16299	0.147239
910	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.339892	2.04531	0.0	0.0	1.14273	0.143388
920	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0264272	1.96625	0.0	0.0	1.15263	0.141684
930	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.354251	1.94098	0.0	0.0	1.1742	0.146683
940	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.084699	2.03008	0.0	0.0	1.15802	0.147506
950	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.057227	1.89779	0.0	0.0	1.16315	0.145461
960	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0342977	1.94912	0.0	0.0	1.16797	0.148984
970	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0488243	2.00986	0.0	0.0	1.1628	0.145271
980	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.21038	1.88149	0.0	0.0	1.15871	0.144802
990	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.146612	2.01457	0.0	0.0	1.15315	0.147081
1000	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.225131	1.9085	0.0	0.0	1.17019	0.14636
1010	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.288651	1.8978	0.0	0.0	1.17625	0.145082
1020	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.222952	1.99747	0.0	0.0	1.16708	0.14475
1030	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.015798	1.86936	0.0	0.0	1.16714	0.147837
1040	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.160072	1.95529	0.0	0.0	1.16701	0.145885
1050	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.218478	2.03528	0.0	0.0	1.16181	0.148009
1060	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0640334	1.98291	0.0	0.0	1.16496	0.14829
1070	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0822463	1.9882	0.0	0.0	1.1732	0.149949
1080	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0549946	2.03027	0.0	0.0	1.15798	0.144392
1090	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.121929	1.93318	0.0	0.0	1.15832	0.145741
1100	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.077633	1.96028	0.0	0.0	1.15879	0.1465
1110	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0132727	1.8579	0.0	0.0	1.16167	0.143799
1120	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.0723246	1.95977	0.0	0.0	1.16443	0.144302
1130	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	-0.109833	1.95874	0.0	0.0	1.1554	0.146411
