cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.455	0.5	0.464	0.528	0.489	0.458	0.502	0.507	0.569	0.509	-0.0433639	5.63306	-0.076	4.14011	1.05257	0.0234003
20	0.489	0.518	0.475	0.464	0.567	0.374	0.502	0.508	0.591	0.489	-0.0676994	6.04149	-0.092	4.38794	1.05008	0.0244904
30	0.562	0.52	0.419	0.55	0.569	0.325	0.503	0.463	0.555	0.47	-0.420617	6.2815	-0.256	4.62095	1.04889	0.0254645
40	0.633	0.467	0.366	0.579	0.515	0.308	0.63	0.44	0.582	0.469	-0.13828	5.86173	-0.044	4.30943	1.05134	0.0238461
50	0.623	0.479	0.333	0.532	0.593	0.377	0.648	0.49	0.539	0.367	-0.188903	5.75718	-0.076	4.19588	1.05211	0.0240392
60	0.715	0.489	0.256	0.597	0.755	0.374	0.682	0.414	0.646	0.284	1.67388	5.75754	0.848	4.23755	1.05127	0.024759
70	0.791	0.504	0.284	0.514	0.748	0.407	0.655	0.399	0.578	0.294	1.33468	5.61946	0.696	4.12573	1.05208	0.0244364
80	0.782	0.409	0.305	0.455	0.804	0.475	0.722	0.372	0.544	0.221	0.831374	5.37105	0.356	3.90997	1.05346	0.0231918
90	0.865	0.341	0.315	0.402	0.779	0.499	0.675	0.376	0.556	0.221	0.248606	5.3875	0.116	3.93873	1.05447	0.0237506
100	0.846	0.327	0.365	0.443	0.779	0.346	0.618	0.405	0.533	0.278	-0.68062	5.77252	-0.24	4.28896	1.05143	0.0240501
110	0.812	0.354	0.381	0.558	0.737	0.338	0.647	0.369	0.56	0.305	0.570517	5.37257	0.244	3.92266	1.05395	0.0238289
120	0.795	0.351	0.419	0.592	0.712	0.371	0.631	0.361	0.49	0.217	-0.469544	5.71023	-0.244	4.12972	1.05194	0.0244791
130	0.803	0.375	0.457	0.601	0.744	0.356	0.661	0.344	0.498	0.201	0.466036	5.48125	0.16	4.07032	1.05341	0.0238967
140	0.79	0.403	0.431	0.652	0.779	0.325	0.7	0.363	0.467	0.172	0.67681	5.35114	0.328	3.98248	1.05353	0.0237172
150	0.765	0.423	0.401	0.702	0.692	0.298	0.761	0.344	0.48	0.184	0.480112	5.547	0.2	3.96073	1.05271	0.0240301
160	0.86	0.408	0.479	0.72	0.707	0.304	0.778	0.253	0.498	0.248	1.94552	5.60062	1.02	4.07441	1.05247	0.0253628
170	0.901	0.359	0.481	0.744	0.71	0.282	0.746	0.23	0.501	0.238	1.47018	5.36906	0.768	3.90085	1.05302	0.0243513
180	0.846	0.299	0.511	0.782	0.705	0.202	0.809	0.225	0.538	0.204	0.903537	5.41815	0.484	3.97358	1.054	0.0238769
190	0.815	0.332	0.496	0.756	0.647	0.238	0.822	0.193	0.523	0.212	0.377137	5.28502	0.136	3.75362	1.05401	0.0229871
