cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.478	0.498	0.506	0.495	0.505	0.493	0.531	0.463	0.5	0.508	0.368014	13.4888	-0.092	4.76623	1.01635	0.0642358
10	0.515	0.541	0.543	0.476	0.543	0.61	0.559	0.438	0.553	0.533	4.55528	12.5941	1.244	4.37112	1.02561	0.0800317
20	0.568	0.535	0.613	0.524	0.574	0.679	0.539	0.42	0.521	0.46	6.50049	12.845	1.732	4.19373	1.03384	0.0917027
30	0.654	0.522	0.58	0.614	0.582	0.706	0.57	0.421	0.498	0.535	9.2818	13.0226	2.728	4.4169	1.03305	0.0905227
40	0.639	0.521	0.644	0.656	0.583	0.76	0.508	0.401	0.51	0.601	11.4619	13.1257	3.292	4.50904	1.02732	0.0837723
50	0.74	0.561	0.653	0.594	0.529	0.787	0.462	0.36	0.496	0.656	10.3455	12.4938	3.352	4.15483	1.03398	0.094843
60	0.764	0.558	0.649	0.635	0.571	0.827	0.547	0.294	0.486	0.656	13.4999	13.0314	3.948	4.61995	1.0256	0.0803606
70	0.764	0.623	0.614	0.676	0.625	0.877	0.546	0.305	0.531	0.674	16.9072	12.831	4.94	4.13844	1.02647	0.0818375
80	0.778	0.606	0.526	0.703	0.627	0.869	0.441	0.284	0.519	0.735	13.8863	12.3808	4.352	3.94807	1.02411	0.0742572
90	0.845	0.616	0.497	0.681	0.638	0.889	0.423	0.269	0.502	0.664	14.0042	12.3757	4.096	3.99283	1.03225	0.0904391
100	0.883	0.541	0.597	0.692	0.636	0.849	0.348	0.266	0.521	0.705	12.6785	12.7679	4.152	3.99309	1.03533	0.0973943
110	0.857	0.558	0.581	0.668	0.622	0.819	0.275	0.276	0.503	0.698	11.0976	12.0509	3.428	4.11469	1.03179	0.0882221
120	0.875	0.526	0.618	0.718	0.57	0.865	0.347	0.229	0.496	0.63	11.3477	12.5098	3.496	4.16132	1.02495	0.0787667
130	0.855	0.5	0.551	0.72	0.597	0.887	0.372	0.286	0.488	0.577	10.0422	12.2731	3.332	4.051	1.02701	0.0773587
140	0.887	0.429	0.547	0.703	0.579	0.935	0.45	0.31	0.561	0.599	13.3049	12.1605	4.0	4.018	1.02698	0.0831292
150	0.866	0.425	0.517	0.769	0.525	0.929	0.425	0.369	0.493	0.55	11.3591	12.7428	3.472	3.90381	1.02675	0.0813147
160	0.796	0.382	0.647	0.708	0.53	0.873	0.399	0.309	0.561	0.491	9.45512	12.7769	2.784	4.05885	1.03326	0.0933795
170	0.861	0.431	0.637	0.76	0.51	0.819	0.438	0.29	0.538	0.523	8.86832	12.9042	3.228	4.21706	1.03227	0.0896217
180	0.82	0.4	0.6	0.732	0.406	0.804	0.446	0.384	0.501	0.565	7.4179	12.8351	2.632	3.97998	1.03675	0.0963517
190	0.79	0.383	0.575	0.678	0.352	0.742	0.578	0.421	0.596	0.604	9.08609	13.4723	2.876	4.36701	1.02945	0.0896138
200	0.769	0.448	0.545	0.71	0.308	0.769	0.522	0.367	0.622	0.625	9.15368	13.3823	2.74	4.11123	1.0241	0.0763815
210	0.781	0.476	0.528	0.671	0.312	0.723	0.567	0.276	0.652	0.595	6.399	12.9646	2.324	4.26749	1.02081	0.0717575
220	0.806	0.451	0.598	0.717	0.324	0.731	0.705	0.253	0.619	0.62	11.8332	11.7992	3.296	4.15728	1.0338	0.0894521
230	0.699	0.429	0.627	0.745	0.341	0.747	0.659	0.209	0.658	0.633	11.1161	13.0177	2.988	4.06262	1.02628	0.0806511
240	0.844	0.419	0.652	0.754	0.411	0.749	0.656	0.26	0.64	0.6	13.8845	12.8028	3.94	4.13068	1.03353	0.0946387
250	0.828	0.376	0.663	0.73	0.368	0.799	0.666	0.324	0.71	0.612	15.2355	12.8226	4.304	4.00846	1.02426	0.0747331
260	0.798	0.325	0.696	0.707	0.349	0.764	0.691	0.219	0.754	0.607	11.5688	12.1728	3.64	3.62777	1.03931	0.099016
270	0.832	0.341	0.732	0.632	0.294	0.758	0.701	0.22	0.817	0.606	13.1681	12.1146	3.732	3.94148	1.0425	0.103903
280	0.866	0.413	0.703	0.589	0.326	0.79	0.69	0.21	0.833	0.689	14.0398	12.3509	4.436	3.77869	1.03838	0.100278
290	0.837	0.44	0.756	0.502	0.303	0.772	0.656	0.168	0.772	0.698	11.485	12.31	3.616	3.83588	1.02995	0.0850952
300	0.841	0.455	0.731	0.514	0.283	0.711	0.68	0.141	0.693	0.663	11.3911	12.6941	2.848	4.09713	1.03369	0.0932204
310	0.83	0.439	0.778	0.413	0.322	0.706	0.722	0.123	0.662	0.64	8.1536	12.2562	2.54	3.83691	1.03808	0.10015
320	0.887	0.459	0.729	0.356	0.302	0.693	0.66	0.128	0.651	0.642	7.98443	12.1249	2.028	3.84562	1.03711	0.0963446
330	0.931	0.525	0.735	0.322	0.392	0.701	0.646	0.114	0.633	0.649	7.84614	12.5504	2.592	4.03014	1.03059	0.0837719
340	0.963	0.511	0.698	0.258	0.328	0.689	0.664	0.168	0.703	0.648	9.47222	12.6691	2.52	3.89254	1.03289	0.0898559
350	0.93	0.548	0.71	0.263	0.385	0.731	0.704	0.217	0.803	0.723	12.944	12.087	4.056	3.92883	1.03474	0.0961866
360	0.928	0.548	0.715	0.231	0.432	0.722	0.792	0.155	0.736	0.749	14.5567	12.268	4.032	3.74741	1.02738	0.0832856
370	0.886	0.568	0.73	0.244	0.438	0.689	0.73	0.161	0.721	0.796	12.8325	12.2991	3.852	3.80724	1.03047	0.090809
380	0.824	0.676	0.677	0.199	0.424	0.794	0.662	0.157	0.666	0.75	10.6041	11.5978	3.316	3.95214	1.03952	0.0961435
390	0.796	0.72	0.635	0.221	0.395	0.782	0.708	0.205	0.675	0.811	13.0961	12.3637	3.792	3.92371	1.03863	0.0970979
400	0.78	0.637	0.628	0.224	0.319	0.797	0.578	0.193	0.661	0.763	8.02513	13.0481	2.32	4.07859	1.03411	0.0935751
410	0.734	0.652	0.567	0.221	0.346	0.819	0.619	0.155	0.589	0.801	6.74791	12.3217	2.012	3.99898	1.03071	0.0879878
420	0.723	0.58	0.522	0.199	0.371	0.845	0.627	0.164	0.528	0.829	5.08792	12.7315	1.552	4.03284	1.02202	0.0728211
430	0.748	0.659	0.583	0.208	0.411	0.87	0.647	0.124	0.525	0.815	7.12741	13.4381	2.36	3.98172	1.03274	0.0908335
440	0.744	0.594	0.544	0.176	0.427	0.894	0.619	0.098	0.514	0.905	5.22878	11.9838	2.06	3.84942	1.02884	0.084471
450	0.73	0.621	0.631	0.16	0.463	0.875	0.621	0.107	0.48	0.914	8.30269	12.3805	2.408	3.64254	1.0325	0.0939785
460	0.76	0.643	0.678	0.173	0.489	0.914	0.689	0.07	0.495	0.917	12.2767	12.3657	3.312	3.51901	1.0259	0.0794998
470	0.739	0.649	0.693	0.172	0.518	0.938	0.762	0.057	0.461	0.935	13.4795	11.8058	3.696	3.60188	1.0348	0.0947456
480	0.668	0.678	0.606	0.161	0.493	0.962	0.749	0.062	0.511	0.938	10.9361	12.0104	3.312	3.47315	1.03069	0.0881432
490	0.669	0.719	0.543	0.174	0.42	0.948	0.717	0.054	0.442	0.934	7.52265	12.1167	2.48	3.84593	1.0317	0.0883906
500	0.678	0.761	0.594	0.138	0.425	0.956	0.772	0.028	0.489	0.941	10.3202	11.389	3.128	3.37734	1.03749	0.0980309
