cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.547	0.442	0.545	0.472	0.488	0.567	0.515	0.51	0.503	0.531	0.930404	5.75866	0.48	4.20249	1.05194	0.0245927
20	0.529	0.399	0.502	0.455	0.451	0.519	0.544	0.567	0.51	0.494	-0.413924	6.23148	-0.12	4.51779	1.05043	0.0258873
30	0.565	0.317	0.526	0.418	0.392	0.647	0.581	0.601	0.492	0.583	1.13201	5.72111	0.488	4.10311	1.05104	0.0248361
40	0.48	0.325	0.489	0.478	0.425	0.65	0.494	0.504	0.574	0.518	-0.666237	6.08057	-0.252	4.46681	1.04962	0.0247402
50	0.495	0.288	0.472	0.507	0.409	0.611	0.483	0.452	0.568	0.507	-1.54763	5.82544	-0.832	4.27461	1.05102	0.0252773
60	0.486	0.282	0.462	0.633	0.372	0.622	0.508	0.497	0.633	0.496	-0.0455905	5.90301	-0.036	4.25899	1.0512	0.0249536
70	0.472	0.298	0.451	0.647	0.383	0.571	0.558	0.524	0.591	0.524	0.253196	6.25378	0.076	4.51963	1.04998	0.0252373
80	0.494	0.291	0.362	0.664	0.389	0.494	0.601	0.511	0.485	0.575	-1.11511	6.07509	-0.536	4.46773	1.05004	0.0254094
90	0.571	0.248	0.344	0.725	0.329	0.541	0.602	0.512	0.509	0.574	-0.315075	5.82513	-0.18	4.29844	1.0517	0.0246259
100	0.601	0.211	0.281	0.841	0.344	0.644	0.627	0.465	0.558	0.533	0.917015	5.45207	0.42	3.91795	1.05281	0.0232858
110	0.546	0.222	0.295	0.837	0.266	0.687	0.586	0.441	0.569	0.518	-0.403783	5.51172	-0.132	3.99079	1.0533	0.0237297
120	0.501	0.228	0.311	0.828	0.23	0.739	0.628	0.417	0.596	0.525	0.0174877	5.68311	0.012	4.14273	1.05247	0.0243684
130	0.407	0.327	0.266	0.825	0.237	0.745	0.666	0.442	0.617	0.536	0.439024	5.82791	0.272	4.26079	1.05263	0.024637
