cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.498	0.516	0.497	0.474	0.502	0.516	0.503	0.498	0.5	0.513	0.351056	9.22484	0.068	4.57266	1.03703	0.0285581
10	0.44	0.538	0.497	0.523	0.606	0.513	0.534	0.47	0.427	0.536	1.16468	9.41762	0.336	4.68647	1.03703	0.0292404
20	0.48	0.442	0.455	0.564	0.604	0.532	0.5	0.497	0.311	0.582	-0.473202	8.71979	-0.132	4.38875	1.03915	0.0288883
30	0.499	0.487	0.447	0.544	0.661	0.563	0.507	0.546	0.302	0.607	2.62167	8.44278	0.652	4.26559	1.03701	0.0290525
40	0.518	0.546	0.401	0.538	0.682	0.513	0.499	0.564	0.255	0.654	2.14149	8.94192	0.68	4.46604	1.03702	0.0282551
50	0.505	0.525	0.376	0.475	0.715	0.517	0.489	0.609	0.27	0.628	1.69516	8.66269	0.436	4.31917	1.03869	0.0282417
60	0.507	0.452	0.413	0.512	0.727	0.554	0.448	0.588	0.217	0.677	1.32006	8.83971	0.38	4.38521	1.03976	0.0284455
70	0.611	0.386	0.423	0.61	0.697	0.453	0.427	0.565	0.203	0.689	0.917307	8.39845	0.256	4.16475	1.03852	0.027904
80	0.566	0.343	0.364	0.661	0.71	0.436	0.402	0.619	0.216	0.66	-0.00953129	8.5336	-0.092	4.19938	1.04086	0.0290116
90	0.626	0.319	0.333	0.566	0.619	0.359	0.422	0.624	0.261	0.712	-2.24331	8.33884	-0.636	4.20367	1.04016	0.0287489
100	0.701	0.245	0.392	0.544	0.577	0.291	0.406	0.742	0.239	0.721	-1.74865	8.43844	-0.568	4.21437	1.03831	0.0284927
110	0.694	0.227	0.411	0.466	0.65	0.231	0.406	0.735	0.313	0.729	-2.12758	8.39988	-0.552	4.15907	1.03978	0.0289514
120	0.745	0.244	0.451	0.505	0.577	0.224	0.358	0.751	0.404	0.692	-0.893801	8.87666	-0.196	4.35517	1.04046	0.0286047
130	0.754	0.262	0.518	0.422	0.612	0.313	0.353	0.827	0.435	0.686	2.36427	7.88057	0.728	3.90237	1.04081	0.027888
140	0.812	0.229	0.538	0.292	0.624	0.249	0.3	0.852	0.456	0.725	1.16993	7.85001	0.308	3.92632	1.04253	0.0275333
